date,confirmed,deaths,recovered,confirmed_diff,deaths_diff,recovered_diff,last_update,active,active_diff,fatality_rate,iso,name,province,lat,long,cities
2020-01-28,4,0,0,0,0,0,2020-01-28 23:00:00,4,0,0.0,DEU,Germany,Bavaria,,,[]
2020-01-29,4,0,0,0,0,0,2020-01-29 19:30:00,4,0,0.0,DEU,Germany,Bavaria,,,[]
2020-01-30,4,0,0,0,0,0,2020-01-30 16:00:00,4,0,0.0,DEU,Germany,Bavaria,,,[]
2020-01-31,5,0,0,1,0,0,2020-01-31 23:59:00,5,1,0.0,DEU,Germany,Bavaria,,,[]
2020-02-01,8,0,0,0,0,0,2020-02-01 18:33:00,8,0,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-02,10,0,0,2,0,0,2020-02-02 18:03:05,10,2,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-03,12,0,0,2,0,0,2020-02-03 20:53:02,12,2,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-04,12,0,0,0,0,0,2020-02-03 20:53:02,12,0,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-05,12,0,0,0,0,0,2020-02-03 20:53:02,12,0,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-06,12,0,0,0,0,0,2020-02-03 20:53:02,12,0,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-07,13,0,0,1,0,0,2020-02-07 16:33:03,13,1,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-08,13,0,0,0,0,0,2020-02-07 16:33:03,13,0,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-09,14,0,0,1,0,0,2020-02-09 06:13:11,14,1,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-10,14,0,0,0,0,0,2020-02-09 06:13:11,14,0,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-11,16,0,0,2,0,0,2020-02-11 19:33:03,16,2,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-12,16,0,0,0,0,0,2020-02-11 19:33:03,16,0,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-13,16,0,1,0,0,1,2020-02-13 15:13:11,15,-1,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-14,16,0,1,0,0,0,2020-02-13 15:13:11,15,0,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-15,16,0,1,0,0,0,2020-02-13 15:13:11,15,0,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-16,16,0,1,0,0,0,2020-02-13 15:13:11,15,0,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-17,16,0,1,0,0,0,2020-02-13 15:13:11,15,0,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-18,16,0,12,0,0,11,2020-02-18 17:03:03,4,-11,0.0,DEU,Germany,,51.1657,10.4515,[]
2020-02-19,16,0,12,0,0,0,2020-02-18 17:03:03,4,0,0.0,DEU,Germany,,51.1657,10.4515,[]
