date,confirmed,deaths,recovered,confirmed_diff,deaths_diff,recovered_diff,last_update,active,active_diff,fatality_rate,iso,name,province,lat,long,cities
2020-03-11,1,0,0,0,0,0,2020-03-11 03:33:05,1,0,0.0,TUR,Turkey,,38.9637,35.2433,[]
2020-03-12,1,0,0,0,0,0,2020-03-11 03:33:05,1,0,0.0,TUR,Turkey,,38.9637,35.2433,[]
2020-03-13,5,0,0,4,0,0,2020-03-11 20:00:00,5,4,0.0,TUR,Turkey,,38.9637,35.2433,[]
2020-03-14,5,0,0,0,0,0,2020-03-13 23:33:06,5,0,0.0,TUR,Turkey,,38.9637,35.2433,[]
2020-03-15,6,0,0,1,0,0,2020-03-15 18:20:18,6,1,0.0,TUR,Turkey,,38.9637,35.2433,[]
2020-03-16,18,0,0,12,0,0,2020-03-16 01:13:13,18,12,0.0,TUR,Turkey,,38.9637,35.2433,[]
2020-03-17,47,1,0,29,1,0,2020-03-17 22:13:16,46,28,0.0213,TUR,Turkey,,38.9637,35.2433,[]
2020-03-18,98,1,0,51,0,0,2020-03-18 02:33:06,97,51,0.0102,TUR,Turkey,,38.9637,35.2433,[]
2020-03-19,192,3,0,94,2,0,2020-03-19 16:43:03,189,92,0.0156,TUR,Turkey,,38.9637,35.2433,[]
2020-03-20,359,4,0,167,1,0,2020-03-20 01:43:03,355,166,0.0111,TUR,Turkey,,38.9637,35.2433,[]
2020-03-21,670,9,0,311,5,0,2020-03-21 01:43:03,661,306,0.0134,TUR,Turkey,,38.9637,35.2433,[]
2020-03-22,1236,30,0,566,21,0,2020-03-22 23:45:00,1206,545,0.0243,TUR,Turkey,,38.9637,35.2433,[]
2020-03-23,1529,37,0,293,7,0,2020-03-23 23:19:21,1492,286,0.0242,TUR,Turkey,,38.9637,35.2433,[]
2020-03-24,1872,44,0,343,7,0,2020-03-24 23:37:15,1828,336,0.0235,TUR,Turkey,,38.9637,35.2433,[]
2020-03-25,2433,59,26,561,15,26,2020-03-25 23:33:04,2348,520,0.0242,TUR,Turkey,,38.9637,35.2433,[]
2020-03-26,3629,75,26,1196,16,0,2020-03-26 23:48:18,3528,1180,0.0207,TUR,Turkey,,38.9637,35.2433,[]
2020-03-27,5698,92,42,2069,17,16,2020-03-27 23:23:03,5564,2036,0.0161,TUR,Turkey,,38.9637,35.2433,[]
2020-03-28,7402,108,70,1704,16,28,2020-03-28 23:05:00,7224,1660,0.0146,TUR,Turkey,,38.9637,35.2433,[]
2020-03-29,9217,131,105,1815,23,35,2020-03-29 23:08:00,8981,1757,0.0142,TUR,Turkey,,38.9637,35.2433,[]
2020-03-30,10827,168,162,1610,37,57,2020-03-30 22:52:00,10497,1516,0.0155,TUR,Turkey,,38.9637,35.2433,[]
2020-03-31,13531,214,243,2704,46,81,2020-03-31 23:43:43,13074,2577,0.0158,TUR,Turkey,,38.9637,35.2433,[]
2020-04-01,15679,277,333,2148,63,90,2020-04-01 21:58:34,15069,1995,0.0177,TUR,Turkey,,38.9637,35.2433,[]
2020-04-02,18135,356,415,2456,79,82,2020-04-02 23:25:00,17364,2295,0.0196,TUR,Turkey,,38.9637,35.2433,[]
2020-04-03,20921,425,484,2786,69,69,2020-04-03 22:46:20,20012,2648,0.0203,TUR,Turkey,,38.9637,35.2433,[]
