table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 110,Marital Status,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 110,Marital Status,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 110,Marital Status,ONLINE Fieldwork: 9th to 13th April 2020,Single,657,336,322,242,208,135,96,94,55,35,183,198,86,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 110,Marital Status,ONLINE Fieldwork: 9th to 13th April 2020,NET: Married/ Civil partnership/ co habiting,1193,600,593,46,46,209,209,217,200,311,334,321,308,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 110,Marital Status,ONLINE Fieldwork: 9th to 13th April 2020,Married,885,465,420,7,7,103,146,171,175,284,254,234,234,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 110,Marital Status,ONLINE Fieldwork: 9th to 13th April 2020,Civil Partnership,16,7,9,5,5,2,6,2,-,-,3,1,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 110,Marital Status,ONLINE Fieldwork: 9th to 13th April 2020,Co Habiting,292,128,164,34,34,104,57,44,26,27,77,86,69,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 110,Marital Status,ONLINE Fieldwork: 9th to 13th April 2020,NET: Widowed/ separated/ divorced,259,94,165,1,1,7,22,52,49,128,53,78,38,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 110,Marital Status,ONLINE Fieldwork: 9th to 13th April 2020,Widowed,84,24,60,-,-,-,3,11,11,58,18,31,8,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 110,Marital Status,ONLINE Fieldwork: 9th to 13th April 2020,Separated,32,15,17,-,-,3,10,9,7,4,8,5,8,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 110,Marital Status,ONLINE Fieldwork: 9th to 13th April 2020,Divorced,143,56,87,1,1,3,10,32,31,66,27,42,21,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 110,Marital Status,ONLINE Fieldwork: 9th to 13th April 2020,Prefer not to answer,17,10,8,4,3,4,2,3,2,3,8,3,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 160,Marital Status,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 160,Marital Status,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 160,Marital Status,ONLINE Fieldwork: 11th to 13th September 2020,Single,677,344,332,232,195,147,104,98,60,35,189,220,100,167,66,27,61,50,57,50,27,50,144,81,51,13,570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 160,Marital Status,ONLINE Fieldwork: 11th to 13th September 2020,NET: Married/ Civil partnership/ co habiting,1131,583,548,50,50,200,204,213,180,284,316,276,291,248,91,44,142,99,100,87,57,107,92,166,105,41,942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 160,Marital Status,ONLINE Fieldwork: 11th to 13th September 2020,Married,819,436,383,16,16,103,133,161,152,253,226,190,216,188,60,28,104,67,70,65,42,76,61,126,85,34,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
