table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 104,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,2105,1038,1067,258,227,355,349,371,307,465,608,570,407,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,2105,1029,1076,290,248,351,326,362,303,472,573,594,427,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 15th to 17th May 2020,NET: Working,1185,634,551,132,130,293,263,278,175,44,317,364,299,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 15th to 17th May 2020,NET: Employed,1057,568,489,128,126,275,235,238,148,34,293,323,264,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 15th to 17th May 2020,Working full time working 30 hours per week or more,851,524,327,92,92,237,199,199,107,18,252,262,211,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 15th to 17th May 2020,Working part-time working between 8 and 29 hours per week,206,45,161,35,34,37,36,40,41,16,41,61,53,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 15th to 17th May 2020,NET: Self-employed,128,66,62,4,4,19,28,40,27,10,23,41,35,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 15th to 17th May 2020,Self-employed - working 30 hours per week or more,83,50,33,1,1,15,21,31,10,5,14,28,18,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 15th to 17th May 2020,Self-employed - working between 8 and 29 hours per week,45,16,29,3,3,4,7,9,17,5,10,12,16,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 104,"Please indicate which of the following best describes your working status before March 2020 (Pre-Covid 19), taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 15th to 17th May 2020,NET: Not working,920,395,525,159,117,58,63,84,128,428,256,230,128,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
