table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,Currently furloughed / reduced hours / employer imposed temporary leave of absence as a result of the Coronavirus,135,64,71,23,23,22,36,24,18,11,31,44,35,25,9,2,14,16,9,11,7,11,28,16,8,4,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,NET: Working,1000,542,458,135,132,251,212,229,138,35,311,314,220,154,85,34,102,84,91,72,44,92,142,134,88,34,838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,NET: Employed,892,485,407,125,123,233,196,193,120,25,285,282,190,135,76,29,92,77,86,63,40,83,122,115,76,31,745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,Working full time working 30 hours per week or more,720,430,290,93,93,212,161,164,83,5,242,238,143,96,63,26,72,63,68,46,36,73,100,88,58,27,594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,Working part-time working between 8 and 29 hours per week,172,56,117,32,30,20,35,29,36,19,43,44,46,39,13,3,20,14,19,17,4,10,22,27,19,5,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,NET: Self-employed,108,57,51,10,8,18,16,36,18,10,26,32,30,19,9,4,9,6,5,9,3,9,20,19,12,2,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,Self-employed - working 30 hours per week or more,54,40,14,3,2,9,6,21,8,7,12,10,22,10,5,2,4,5,3,6,-,6,8,8,6,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,Self-employed - working between 8 and 29 hours per week,54,17,37,7,7,9,10,15,10,3,14,23,8,9,4,2,5,2,2,3,3,3,11,11,6,2,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,NET: Not working,963,419,543,131,94,77,77,107,146,425,228,233,171,331,82,48,116,71,83,68,49,94,107,137,83,25,807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,Not working but seeking work or temporarily unemployed or sick,130,65,65,22,22,35,27,29,15,2,23,17,17,73,16,8,22,9,10,1,6,10,22,16,8,3,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,Not working and not seeking work,102,50,52,3,3,5,16,28,41,9,6,6,14,77,6,5,14,7,5,12,6,9,14,16,5,5,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,Student,124,57,67,104,66,14,4,2,-,-,42,55,11,16,11,6,5,12,13,14,3,9,16,23,12,-,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,Retired on a state pension only,107,25,82,-,-,-,-,-,2,105,8,13,19,67,6,5,8,7,9,6,9,16,9,18,9,4,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,Retired with a private pension,377,208,169,-,-,-,2,9,64,302,141,126,73,37,31,21,44,29,35,23,16,39,36,52,41,10,320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 156,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 11th to 13th September 2020,"House person, housewife, househusband, etc.",122,15,107,2,2,23,29,39,23,7,9,16,37,60,11,3,24,7,11,11,9,12,9,12,9,4,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 17th to 19th April 2020,Currently furloughed / reduced hours / employer imposed temporary leave of absence as a result of the Coronavirus,480,253,227,77,75,97,107,107,61,30,128,117,139,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 17th to 19th April 2020,NET: Working,723,399,323,96,95,183,168,162,89,25,224,261,135,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 17th to 19th April 2020,NET: Employed,659,369,290,93,92,175,150,145,76,19,204,238,120,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 17th to 19th April 2020,Working full time working 30 hours per week or more,550,333,217,83,83,160,127,118,54,8,186,199,95,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 17th to 19th April 2020,Working part-time working between 8 and 29 hours per week,109,35,74,10,9,15,24,27,22,11,18,39,25,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 17th to 19th April 2020,NET: Self-employed,64,31,33,3,3,8,17,17,12,6,20,23,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 17th to 19th April 2020,Self-employed - working 30 hours per week or more,32,15,17,-,-,5,9,9,8,-,9,11,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 17th to 19th April 2020,Self-employed - working between 8 and 29 hours per week,32,16,16,3,3,3,8,8,4,6,11,12,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 17th to 19th April 2020,NET: Not working,933,392,542,122,97,76,56,98,158,423,229,225,160,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 17th to 19th April 2020,Not working but seeking work or temporarily unemployed or sick,109,56,53,24,22,21,17,24,19,4,19,10,19,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,"Please indicate which of the following best describes your working status today, taking into account any changes due to the impact of the Coronavirus pandemic",ONLINE Fieldwork: 17th to 19th April 2020,Not working and not seeking work,134,51,83,10,8,15,14,39,45,12,19,20,13,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
