table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 99,Q10b. How theory that the origin or cause of Coronavirus is in some way linked to 5G technology has been reported,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,383,199,184,58,53,59,60,64,51,91,108,109,71,95,29,26,41,36,26,27,15,42,60,52,26,3,336,,,
Table 99,Q10b. How theory that the origin or cause of Coronavirus is in some way linked to 5G technology has been reported,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,382,194,188,66*,58*,61*,56*,59*,50*,90*,97*,116*,76*,92*,28**,27**,46*,39*,28**,24**,14**,39*,51*,52*,31**,2**,338,,,
Table 99,Q10b. How theory that the origin or cause of Coronavirus is in some way linked to 5G technology has been reported,ONLINE Fieldwork: 6th to 8th November 2020,Reported / described as a true theory,146,71,75,26,22,29,28,19,19,26,44,42,27,34,15,10,11,13,15,6,3,19,20,18,12,2,126,,,
Table 99,Q10b. How theory that the origin or cause of Coronavirus is in some way linked to 5G technology has been reported,ONLINE Fieldwork: 6th to 8th November 2020,Reported / described as a false theory,190,115,75,32,29,26,23,29,29,52,52,61,36,41,19,9,19,18,12,14,10,18,24,29,16,2,159,,,
Table 99,Q10b. How theory that the origin or cause of Coronavirus is in some way linked to 5G technology has been reported,ONLINE Fieldwork: 6th to 8th November 2020,Unclear whether true or false,110,42,67,15,14,23,16,20,11,24,19,32,25,33,2,11,18,12,11,7,3,10,14,11,12,-,106,,,
Table 99,Q10b. How theory that the origin or cause of Coronavirus is in some way linked to 5G technology has been reported,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,348,194,154,43,42,82,51,65,42,65,98,108,56,86,36,11,37,21,30,16,16,32,67,48,23,11,285,12,160,100
Table 99,Q10b. How theory that the origin or cause of Coronavirus is in some way linked to 5G technology has been reported,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,338,183,155,45*,43*,78*,48*,72*,33*,63*,94*,96*,68*,80*,33**,8**,44**,22**,24**,17**,16**,28**,59*,47*,30**,10**,280,18**,146,104*
Table 99,Q10b. How theory that the origin or cause of Coronavirus is in some way linked to 5G technology has been reported,ONLINE Fieldwork: 4th to 6th December 2020,Reported / described as a true theory,115,50,65,15,15,28,18,30,5,20,32,31,24,28,10,2,10,6,8,7,7,7,22,21,13,2,96,13,48,32
Table 99,Q10b. How theory that the origin or cause of Coronavirus is in some way linked to 5G technology has been reported,ONLINE Fieldwork: 4th to 6th December 2020,Reported / described as a false theory,163,101,63,24,23,39,17,33,19,32,54,48,26,35,18,3,26,9,11,9,13,11,29,21,8,6,127,3,67,49
Table 99,Q10b. How theory that the origin or cause of Coronavirus is in some way linked to 5G technology has been reported,ONLINE Fieldwork: 4th to 6th December 2020,Unclear whether true or false,113,61,53,12,12,21,19,24,13,24,24,31,25,33,14,3,11,10,7,4,2,15,18,15,10,4,94,2,56,33
