table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 101,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,416,200,216,58,53,71,66,65,63,93,120,117,80,99,58,21,47,31,27,34,22,33,55,44,31,13,323
Table 101,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,410,199,212,61*,55*,73*,65*,62*,59*,90*,114,118*,76*,103*,53*,17**,50*,30**,28**,31**,18**,37**,54*,47*,33**,12**,327
Table 101,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 11th to 13th September 2020,Reported / described as a true claim,189,92,97,31,30,39,31,31,25,31,55,52,40,42,26,9,26,11,12,14,9,17,29,16,16,3,151
Table 101,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 11th to 13th September 2020,Reported / described as a false claim,93,57,36,23,21,13,12,9,17,19,34,31,16,12,13,7,9,4,5,11,4,2,13,13,9,2,74
Table 101,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 11th to 13th September 2020,Unclear whether true or false,195,93,103,27,24,26,36,27,31,49,48,56,33,59,28,9,23,18,13,11,7,21,20,24,13,9,152
Table 91,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,302,130,172,46,41,56,46,54,42,58,83,87,61,71,,,,,,,,,,,,,
Table 91,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,300,137,163,50*,43*,62*,43*,48*,35*,62*,87*,79*,61*,74*,,,,,,,,,,,,,
Table 91,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 29th to 31st May 2020,Reported / described as a true claim,114,54,61,24,22,29,14,13,12,23,38,30,22,25,,,,,,,,,,,,,
Table 91,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 29th to 31st May 2020,Reported / described as a false claim,112,67,45,23,22,24,12,15,17,21,37,35,19,22,,,,,,,,,,,,,
Table 91,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 29th to 31st May 2020,Unclear whether true or false,149,56,93,17,13,21,23,34,15,38,34,35,31,49,,,,,,,,,,,,,
Table 91,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,289,133,156,48,46,48,69,47,31,46,92,77,57,63,,,,,,,,,,,,,
Table 91,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,286,129,157,59*,56*,49*,57*,40*,30**,51*,88*,73*,56*,70*,,,,,,,,,,,,,
Table 91,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 5th to 7th June 2020,Reported / described as a true claim,116,54,63,26,25,20,28,17,12,13,38,28,24,27,,,,,,,,,,,,,
Table 91,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 5th to 7th June 2020,Reported / described as a false claim,81,48,33,16,16,19,16,8,6,16,31,26,8,15,,,,,,,,,,,,,
Table 91,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 5th to 7th June 2020,Unclear whether true or false,142,55,87,23,21,22,26,19,19,32,38,28,34,42,,,,,,,,,,,,,
Table 91,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,247,111,136,57,51,48,43,39,29,31,73,78,35,61,,,,,,,,,,,,,
Table 91,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,253,112*,140,65*,58*,51*,44*,38*,26**,29**,76*,78*,39**,59*,,,,,,,,,,,,,
Table 91,Q10d. How claims about the potential dangers of a Coronavirus vaccine have been reported,ONLINE Fieldwork: 12th to 15th June 2020,Reported / described as a true claim,103,47,55,22,18,22,20,19,9,11,27,35,19,22,,,,,,,,,,,,,
