table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n)
Table 93,Q10f. How claims about injecting disinfectant have been reported,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,458,221,237,64,53,65,54,82,70,123,106,135,95,122
Table 93,Q10f. How claims about injecting disinfectant have been reported,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,449,221,229,76*,61*,65*,52*,75*,60*,122,112*,129,86*,122
Table 93,Q10f. How claims about injecting disinfectant have been reported,ONLINE Fieldwork: 29th to 31st May 2020,Reported / described as a true claim,88,44,44,10,7,10,17,12,11,28,24,21,17,25
Table 93,Q10f. How claims about injecting disinfectant have been reported,ONLINE Fieldwork: 29th to 31st May 2020,Reported / described as a false claim,350,178,172,60,49,43,38,61,51,96,84,110,71,85
Table 93,Q10f. How claims about injecting disinfectant have been reported,ONLINE Fieldwork: 29th to 31st May 2020,Unclear whether true or false,70,25,45,9,8,20,6,11,8,16,20,12,13,25
Table 93,Q10f. How claims about injecting disinfectant have been reported,ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,361,167,194,54,49,55,84,58,44,66,110,106,68,77
Table 93,Q10f. How claims about injecting disinfectant have been reported,ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,359,166,193,72*,65*,55*,68*,52*,41*,72*,105*,105*,66*,82*
Table 93,Q10f. How claims about injecting disinfectant have been reported,ONLINE Fieldwork: 5th to 7th June 2020,Reported / described as a true claim,59,30,29,5,5,4,12,10,9,18,18,18,11,12
Table 93,Q10f. How claims about injecting disinfectant have been reported,ONLINE Fieldwork: 5th to 7th June 2020,Reported / described as a false claim,263,124,139,60,53,42,46,35,30,49,82,77,45,59
Table 93,Q10f. How claims about injecting disinfectant have been reported,ONLINE Fieldwork: 5th to 7th June 2020,Unclear whether true or false,76,34,43,8,8,14,18,14,8,15,18,19,17,23
Table 93,Q10f. How claims about injecting disinfectant have been reported,ONLINE Fieldwork: 12th to 15th June 2020,Unweighted base,297,152,145,61,53,63,45,32,36,60,97,81,52,67
Table 93,Q10f. How claims about injecting disinfectant have been reported,ONLINE Fieldwork: 12th to 15th June 2020,Weighted base,297,151,146,65*,55*,63*,47*,33**,31**,58*,95*,78*,58*,65*
Table 93,Q10f. How claims about injecting disinfectant have been reported,ONLINE Fieldwork: 12th to 15th June 2020,Reported / described as a true claim,45,27,18,3,3,12,13,2,3,12,9,9,12,14
Table 93,Q10f. How claims about injecting disinfectant have been reported,ONLINE Fieldwork: 12th to 15th June 2020,Reported / described as a false claim,212,107,105,52,44,42,24,24,26,44,68,65,39,40
Table 93,Q10f. How claims about injecting disinfectant have been reported,ONLINE Fieldwork: 12th to 15th June 2020,Unclear whether true or false,64,31,33,12,10,18,12,7,4,11,25,11,14,14
