table,question,date,response,The amount of false or misleading information you may be getting about Coronavirus,The amount of false or misleading information that others in society may be getting about Coronavirus
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,2098
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,2098
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 11th to 13th September 2020,NET: Top 2 box,764,1277
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 11th to 13th September 2020,5 - Very concerned,293,571
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 11th to 13th September 2020,4,471,706
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 11th to 13th September 2020,3,635,558
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 11th to 13th September 2020,2,375,144
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 11th to 13th September 2020,1 - Not at all concerned,325,119
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 11th to 13th September 2020,NET: Bottom 2 box,700,263
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 11th to 13th September 2020,Mean,3.02,3.7
Table 110,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,1.26,1.11
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,2121,2121
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2121,2121
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 5th to 11th April 2021,NET: Top 2 box,671,1249
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 5th to 11th April 2021,5 - Very concerned,246,493
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 5th to 11th April 2021,4,425,756
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 5th to 11th April 2021,3,616,575
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 5th to 11th April 2021,2,414,160
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 5th to 11th April 2021,1 - Not at all concerned,420,136
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 5th to 11th April 2021,NET: Bottom 2 box,835,296
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 5th to 11th April 2021,Mean,2.84,3.62
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,1.28,1.11
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,2144,2144
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,2144,2144
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th March 2021,NET: Top 2 box,679,1300
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th March 2021,5 - Very concerned,237,547
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th March 2021,4,442,753
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th March 2021,3,615,568
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th March 2021,2,423,162
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th March 2021,1 - Not at all concerned,428,114
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th March 2021,NET: Bottom 2 box,851,276
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th March 2021,Mean,2.83,3.68
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,1.27,1.09
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2101,2101
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,2101
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 6th to 8th November 2020,NET: Top 2 box,820,1277
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 6th to 8th November 2020,5 - Very concerned,300,578
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 6th to 8th November 2020,4,519,699
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 6th to 8th November 2020,3,630,549
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 6th to 8th November 2020,2,359,176
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 6th to 8th November 2020,1 - Not at all concerned,292,98
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 6th to 8th November 2020,NET: Bottom 2 box,651,275
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 6th to 8th November 2020,Mean,3.08,3.71
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 6th to 8th November 2020,Standard deviation Standard error,1.24,1.1
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,2135,2135
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,2135,2135
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th June 2021,NET: Top 2 box,660,1258
Table 126,Q10k. To what extent are you concerned or not concerned about the following statements? - Summary,ONLINE Fieldwork: 4th to 6th June 2021,5 - Very concerned,258,556
