table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 123,Q10n/Q10r/Q10t. NET: Reported as true or false,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,597,295,302,92,89,131,110,80,78,106,171,158,127,141,56,19,65,50,50,45,28,41,95,77,48,23,490
Table 123,Q10n/Q10r/Q10t. NET: Reported as true or false,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,617,299,318,103*,99*,129,120*,91*,74*,100*,174,168,139,135,53*,21**,72*,58*,52*,48*,23**,42*,91*,84*,52*,18**,522
Table 123,Q10n/Q10r/Q10t. NET: Reported as true or false,ONLINE Fieldwork: 5th to 11th April 2021,Reported / described as a true claim,229,111,118,37,35,59,43,32,31,28,65,44,63,57,20,8,22,23,19,15,7,21,31,40,17,7,196
Table 123,Q10n/Q10r/Q10t. NET: Reported as true or false,ONLINE Fieldwork: 5th to 11th April 2021,Reported / described as a false claim,220,109,111,45,43,50,31,23,30,41,66,54,46,54,16,9,21,18,24,22,10,16,37,27,13,7,187
Table 123,Q10n/Q10r/Q10t. NET: Reported as true or false,ONLINE Fieldwork: 5th to 11th April 2021,Unclear whether true or false,273,111,162,44,41,47,61,47,31,43,67,86,62,58,25,14,33,31,20,15,10,14,40,32,28,10,228
Table 123,Q10n/Q10r/Q10t. NET: Reported as true or false,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,738,333,405,114,107,152,121,113,108,130,212,196,148,182,58,32,81,54,86,51,28,64,99,102,55,28,624
Table 123,Q10n/Q10r/Q10t. NET: Reported as true or false,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,759,347,412,133*,125*,162,122,119*,97*,126,208,214,152,185,57*,36**,96*,58*,83*,50*,32**,63*,98*,104*,62*,22**,648
Table 123,Q10n/Q10r/Q10t. NET: Reported as true or false,ONLINE Fieldwork: 12th to 14th March 2021,Reported / described as a true claim,275,120,155,56,52,68,46,43,30,32,77,82,72,45,22,10,26,21,34,22,14,18,31,45,24,9,231
Table 123,Q10n/Q10r/Q10t. NET: Reported as true or false,ONLINE Fieldwork: 12th to 14th March 2021,Reported / described as a false claim,329,163,166,69,63,78,41,35,41,66,100,92,60,76,23,19,34,30,30,24,9,35,46,43,27,9,288
Table 123,Q10n/Q10r/Q10t. NET: Reported as true or false,ONLINE Fieldwork: 12th to 14th March 2021,Unclear whether true or false,382,168,215,61,59,80,70,61,45,65,91,98,84,109,28,17,58,29,41,26,11,25,54,53,28,12,332
