table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,90,38,52,14,14,23,16,13,13,11,25,21,21,23,7,6,9,10,6,2,3,6,13,19,5,4,76
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,96*,40*,56*,17**,17**,25**,17**,14**,11**,12**,26**,19**,25**,25**,4**,7**,8**,14**,7**,3**,2**,7**,12**,22**,6**,3**,86*
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Facebook,33,13,20,7,7,8,4,7,3,4,5,6,13,9,1,4,3,5,2,2,1,4,2,6,3,1,30
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Twitter,15,10,5,5,5,1,4,5,-,1,1,4,7,4,1,1,1,4,3,-,1,-,1,2,1,-,13
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Family and friends directly,14,6,7,2,2,5,3,3,1,1,3,2,3,7,2,-,2,3,1,2,-,-,2,1,-,1,11
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,YouTube,12,7,4,4,4,3,-,2,1,2,3,4,4,1,1,2,2,-,2,-,-,-,2,2,-,1,9
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Instagram,11,5,6,3,3,5,-,3,-,-,2,3,3,4,-,-,2,4,-,-,*,-,3,2,-,-,11
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,Websites or apps that bring together news from different news providers,9,6,4,2,2,1,2,2,2,-,5,-,3,2,1,-,-,4,-,-,-,-,2,2,-,-,9
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,BBC - TV,8,5,3,3,3,2,1,-,1,1,3,2,-,2,1,-,-,-,2,1,-,-,2,1,-,1,6
Table 122,Q10u. Source of claims that the Coronavirus vaccine may reduce fertility reported as true,ONLINE Fieldwork: 5th to 11th April 2021,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",8,4,4,2,2,-,2,2,-,2,-,1,2,4,-,-,1,3,3,-,-,-,-,-,-,-,8
