table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,1526,728,798,210,194,254,268,259,206,329,449,383,324,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,1529,743,786,232,212,259,261,249,194,334,431,446,309,343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 13th April 2020,NET: Did anything,659,334,326,127,117,116,101,105,82,128,207,195,116,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Forwarded/ shared it with people I know,59,29,30,14,13,18,10,13,2,3,21,19,12,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Used a fact checking site or tools,236,123,113,43,41,45,45,37,30,36,68,77,41,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Used tips from media such as BBC website,184,87,97,41,36,38,20,32,21,31,58,59,34,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Checked whether it was misleading with family and friends,146,69,77,43,41,25,23,17,9,29,48,43,26,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Asked the person who forwarded/shared it with me whether it was accurate,84,41,43,26,25,21,13,7,5,11,32,23,12,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Blocked it or reported it to a social media platform,154,87,67,34,31,36,24,19,15,26,50,46,28,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Other,94,54,40,9,9,8,11,19,16,31,32,24,12,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 9th to 13th April 2020,Did nothing,870,409,461,104,94,143,160,144,112,206,224,251,193,202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,1121,570,551,151,137,224,190,175,153,228,314,325,241,241,105,51,120,91,96,92,70,87,138,132,99,40,906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,1114,571,543,168,150,225,186,166,141,227,312,332,222,248,97*,49*,132,92*,99*,82*,60*,90*,138,139,96*,40*,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 11th to 13th September 2020,NET: Did anything,473,259,215,87,78,112,78,65,51,80,144,126,102,101,39,17,49,37,43,44,29,34,75,55,40,12,394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Forwarded/ shared it with people I know,45,24,21,14,12,15,5,3,1,6,16,13,8,8,3,4,4,6,11,1,2,2,6,2,5,-,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Used a fact checking site or tools,165,93,72,25,22,38,31,23,23,25,49,40,39,36,16,6,16,13,15,15,8,12,31,22,9,4,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Used tips from media such as BBC website,90,58,32,23,21,28,14,11,6,8,36,21,18,15,4,4,12,6,11,9,4,7,14,10,5,3,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Checked whether it was misleading with family and friends,135,59,77,20,15,37,21,21,12,24,42,37,27,30,8,3,13,11,14,17,10,7,18,18,13,3,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Asked the person who forwarded/shared it with me whether it was accurate,77,46,31,19,19,20,13,10,8,8,32,20,14,11,9,5,4,7,6,7,8,5,14,7,4,1,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Blocked it or reported it to a social media platform,109,69,41,26,26,31,19,13,13,7,32,32,23,22,15,4,12,8,7,10,6,8,18,10,10,1,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Other,58,33,25,4,3,6,10,8,12,18,14,21,11,12,4,1,7,4,3,4,4,8,8,5,8,2,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,1114,571,543,168,150,225,186,166,141,227,312,332,222,248,97*,49*,132,92*,99*,82*,60*,90*,138,139,96*,40*,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 11th to 13th September 2020,Did nothing,640,312,328,82,73,112,108,101,90,148,167,206,120,147,58,32,84,55,57,38,31,55,63,84,56,28,523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,1488,761,727,206,187,251,237,258,214,322,442,453,216,377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,1507,729,779,211,193,271,222,255,212,336,414,431,314,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 17th to 19th April 2020,NET: Did anything,622,312,311,93,86,142,85,92,85,125,194,150,145,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 17th to 19th April 2020,Forwarded/ shared it with people I know,76,43,33,13,13,20,11,11,3,18,20,19,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 17th to 19th April 2020,Used a fact checking site or tools,188,90,97,22,18,39,31,33,28,34,63,35,42,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 17th to 19th April 2020,Used tips from media such as BBC website,152,84,67,29,27,26,24,19,26,27,42,42,36,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 17th to 19th April 2020,Checked whether it was misleading with family and friends,194,88,106,28,23,51,27,32,19,38,66,49,44,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 17th to 19th April 2020,Asked the person who forwarded/shared it with me whether it was accurate,70,38,32,15,14,16,12,14,8,5,22,16,17,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 17th to 19th April 2020,Blocked it or reported it to a social media platform,127,69,57,23,22,42,14,14,21,12,35,36,27,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 17th to 19th April 2020,Other,69,37,32,4,4,7,6,12,14,25,19,14,21,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 72,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 17th to 19th April 2020,Did nothing,885,417,468,118,108,129,137,162,127,211,220,281,169,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,1239,623,616,169,152,228,212,207,170,253,386,323,244,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,1233,622,611,191,166,220,202,202,167,251,364,333,263,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 15th to 17th May 2020,NET: Did anything,538,295,243,104,88,96,100,96,55,87,172,143,116,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Forwarded/ shared it with people I know,43,30,14,8,4,11,7,7,4,6,12,13,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Used a fact checking site or tools,191,100,91,32,29,29,41,36,23,29,74,46,30,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Used tips from media such as BBC website,126,67,60,39,30,31,20,12,9,15,39,37,31,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Checked whether it was misleading with family and friends,169,79,91,51,40,30,26,21,18,24,53,41,42,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Asked the person who forwarded/shared it with me whether it was accurate,63,34,29,13,12,14,19,5,8,4,27,13,15,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 81,Q11. Actions done after coming across false/misleading in the last week,ONLINE Fieldwork: 15th to 17th May 2020,Blocked it or reported it to a social media platform,117,66,51,17,17,23,32,24,9,12,37,25,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
