table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 84,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,231,117,114,39,38,44,45,39,29,35,68,68,42,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,236,123,113,43*,41*,45*,45*,37*,30**,36*,68*,77*,41*,51*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 9th to 13th April 2020,Full Fact,58,33,25,7,7,14,9,9,11,9,18,16,14,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 9th to 13th April 2020,Snopes,37,24,14,4,4,6,8,6,8,5,12,9,7,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 9th to 13th April 2020,Newsguard,31,17,14,5,5,11,5,6,3,1,12,9,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 9th to 13th April 2020,Poynter Institute,8,7,1,4,4,2,2,-,-,-,2,1,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 9th to 13th April 2020,Sense about science,21,6,15,6,6,2,10,-,3,-,11,4,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 9th to 13th April 2020,Infotagion,7,6,1,4,4,2,-,-,-,-,2,1,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 9th to 13th April 2020,First Draft News,13,7,5,7,7,3,2,1,-,-,4,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 84,Q.11b Which of the following fact checking sites or tools did you use?,ONLINE Fieldwork: 9th to 13th April 2020,Other,22,11,11,2,1,3,2,5,2,8,5,7,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
