table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 127,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each protection level,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,184,88,96,17,17,29,37,34,28,39,54,48,38,44,184,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Table 127,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each protection level,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,176,79*,97*,16**,16**,24**,38**,34**,27**,37*,46*,49*,45*,36*,176,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**
Table 127,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each protection level,ONLINE Fieldwork: 4th to 6th December 2020,NET: Agree,104,50,54,11,11,12,23,24,18,15,27,33,27,17,104,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Table 127,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each protection level,ONLINE Fieldwork: 4th to 6th December 2020,Strongly agree      (+2),35,14,21,4,4,4,4,10,8,5,11,9,7,7,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Table 127,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each protection level,ONLINE Fieldwork: 4th to 6th December 2020,Slightly agree      (+1),69,35,33,7,7,9,19,14,10,10,15,24,20,10,69,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Table 127,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each protection level,ONLINE Fieldwork: 4th to 6th December 2020,Neither agree nor    (0) disagree,31,7,24,1,1,8,7,3,2,10,7,7,10,7,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Table 127,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each protection level,ONLINE Fieldwork: 4th to 6th December 2020,Slightly disagree   (-1),29,16,13,4,4,3,7,5,4,7,7,9,6,7,29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Table 127,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each protection level,ONLINE Fieldwork: 4th to 6th December 2020,Strongly disagree   (-2),12,6,6,-,-,2,2,1,2,5,5,-,2,5,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Table 127,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each protection level,ONLINE Fieldwork: 4th to 6th December 2020,NET: Disagree,41,22,19,4,4,4,8,6,6,11,12,9,9,12,41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Table 127,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each protection level,ONLINE Fieldwork: 4th to 6th December 2020,Mean,0.49,0.46,0.52,0.64,0.64,0.4,0.45,0.78,0.67,0.13,0.47,0.69,0.51,0.21,0.49,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Table 127,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each protection level,ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,1.18,1.22,1.15,1.16,1.16,1.11,1.05,1.14,1.3,1.27,1.3,0.98,1.09,1.35,1.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
