table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 129,"Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the rules around forming a 'Christmas bubble', including who can be",ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,1075,1032,272,241,366,329,356,313,471,582,631,352,542,184,89,205,178,201,148,101,206,293,278,153,71,1751,48,907,741
Table 129,"Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the rules around forming a 'Christmas bubble', including who can be",ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
Table 129,"Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the rules around forming a 'Christmas bubble', including who can be",ONLINE Fieldwork: 4th to 6th December 2020,NET: Agree,1377,635,743,153,136,212,215,247,205,345,390,384,281,322,102,54,163,114,120,112,65,130,169,177,124,47,1163,32,600,514
Table 129,"Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the rules around forming a 'Christmas bubble', including who can be",ONLINE Fieldwork: 4th to 6th December 2020,Strongly agree      (+2),623,265,359,55,48,87,84,110,100,187,187,165,128,144,58,24,80,53,60,51,27,54,72,67,54,24,515,14,249,247
Table 129,"Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the rules around forming a 'Christmas bubble', including who can be",ONLINE Fieldwork: 4th to 6th December 2020,Slightly agree      (+1),754,370,384,98,88,125,131,137,104,158,203,220,152,179,44,30,83,62,60,61,38,75,98,110,70,23,648,18,351,267
Table 129,"Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the rules around forming a 'Christmas bubble', including who can be",ONLINE Fieldwork: 4th to 6th December 2020,Neither agree nor    (0) disagree,399,220,179,79,66,91,59,63,49,58,101,109,84,105,43,13,34,31,38,21,15,36,59,58,41,9,332,20,167,125
Table 129,"Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the rules around forming a 'Christmas bubble', including who can be",ONLINE Fieldwork: 4th to 6th December 2020,Slightly disagree   (-1),232,124,109,44,38,29,34,40,38,48,60,74,43,55,22,12,25,19,16,16,10,23,36,37,12,5,196,3,100,83
Table 129,"Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the rules around forming a 'Christmas bubble', including who can be",ONLINE Fieldwork: 4th to 6th December 2020,Strongly disagree   (-2),98,52,46,14,12,20,18,13,12,20,22,27,20,30,9,5,10,7,10,3,10,9,14,16,3,2,77,1,38,35
Table 129,"Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the rules around forming a 'Christmas bubble', including who can be",ONLINE Fieldwork: 4th to 6th December 2020,NET: Disagree,331,176,155,58,50,49,52,53,50,69,82,101,63,85,31,17,36,26,26,19,20,32,50,53,15,7,273,4,138,118
Table 129,"Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the rules around forming a 'Christmas bubble', including who can be",ONLINE Fieldwork: 4th to 6th December 2020,Mean,0.75,0.65,0.84,0.47,0.48,0.65,0.7,0.8,0.8,0.94,0.82,0.71,0.76,0.69,0.69,0.68,0.85,0.78,0.78,0.93,0.62,0.72,0.64,0.61,0.89,0.97,0.75,0.74,0.74,0.8
Table 129,"Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the rules around forming a 'Christmas bubble', including who can be",ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,1.13,1.13,1.12,1.11,1.11,1.11,1.13,1.1,1.15,1.15,1.11,1.13,1.12,1.16,1.2,1.19,1.14,1.12,1.15,1.04,1.26,1.12,1.15,1.14,0.97,1.08,1.12,0.95,1.1,1.14
