table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 114,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,NET: Agree,838,358,480,123,110,169,124,139,107,176,189,245,186,217,48,38,87,79,72,62,43,82,111,117,69,31,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Strongly agree      (+2),215,94,121,23,20,46,37,36,16,57,43,61,52,59,13,14,23,18,12,19,10,16,28,31,21,11,181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Slightly agree      (+1),623,264,359,101,90,123,87,102,90,120,146,184,134,159,34,24,64,62,60,43,33,66,83,85,48,20,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Neither agree nor    (0) disagree,495,237,258,59,54,71,81,83,77,124,135,130,109,122,38,23,50,47,49,26,24,51,66,67,42,12,421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Slightly disagree   (-1),481,268,213,66,55,77,75,80,74,109,158,131,85,106,44,13,59,28,41,44,21,43,55,71,48,14,403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Strongly disagree   (-2),284,163,121,41,30,34,44,59,45,62,88,86,45,65,45,10,36,16,21,18,11,21,45,33,20,7,221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,NET: Disagree,765,431,335,107,85,110,119,139,119,170,246,217,131,171,89,23,95,45,62,62,32,64,99,104,69,21,623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 114,Q12. To what extent do you agree or disagree with the following statements? I find it hard to know what is true and what is false about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Mean,*b,-0.14,0.14a,-0.01,0.06d,0.20a,-0.01,-0.06,-0.14,*,-0.18,*k,0.15ak,0.08k,-0.42,0.22o,-0.09o,0.21aoq,*o,*o,0.10o,0.06o,-0.01o,0.04o,*o,0.22o,0.03ao,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
