table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,2121,1075,1046,262,231,362,323,335,342,497,615,578,401,527,184,77,215,161,188,150,131,204,290,276,169,76,1730
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2121,1037,1084,293,257,354,329,365,305,475,577,598,431,515,177,84*,235,173,185,152,101,200,280,290,181,64*,1780
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,NET: Agree,1287,682,605,164,146,193,201,208,193,328,401,371,225,290,97,45,152,100,105,88,61,123,199,175,106,38,1091
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Strongly agree      (+2),410,218,192,40,35,59,65,69,67,109,145,102,77,87,28,12,45,35,32,31,17,36,72,59,30,13,351
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Slightly agree      (+1),877,464,414,124,111,134,136,139,126,218,256,269,149,203,69,33,107,64,73,57,43,87,127,116,76,24,740
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Neither agree nor    (0) disagree,432,208,224,57,46,87,61,88,56,83,94,109,109,120,43,25,42,35,40,33,20,39,56,52,34,13,356
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Slightly disagree   (-1),241,99,142,48,41,45,35,39,35,39,47,78,59,58,20,13,26,15,24,17,13,28,13,35,27,10,197
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Strongly disagree   (-2),160,48,112,24,23,29,31,29,21,26,35,41,37,48,16,2,15,23,17,14,6,9,12,28,14,2,135
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,NET: Disagree,401,147,254,72,64,74,66,68,56,65,82,118,96,105,36,15,41,39,41,31,20,38,25,63,41,13,332
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Mean,0.54,0.68,0.4,0.37,0.37,0.42,0.52,0.49,0.6,0.73,0.74,0.52,0.39,0.43,0.41,0.47,0.6,0.42,0.43,0.48,0.51,0.56,0.84,0.49,0.45,0.56,0.55
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,1.15,1.05,1.22,1.15,1.17,1.15,1.2,1.15,1.15,1.07,1.1,1.12,1.18,1.17,1.16,0.99,1.11,1.29,1.19,1.2,1.12,1.09,1,1.21,1.17,1.12,1.15
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,2135,1020,1115,251,219,361,336,354,336,497,627,605,372,531,193,78,207,169,190,165,119,192,303,268,189,62,1761
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,2135,1044,1091,295,254,356,331,367,307,479,581,602,433,519,178,85*,236,174,186,153,101*,201,282,292,182,64*,1792
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,NET: Agree,1331,723,608,161,141,209,186,231,210,333,417,370,267,277,108,52,139,107,128,95,66,121,187,167,125,35,1121
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,Strongly agree      (+2),407,249,158,51,45,53,51,77,66,108,144,106,77,80,36,17,43,32,39,18,23,31,63,51,38,16,332
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,Slightly agree      (+1),924,474,450,110,96,156,136,153,144,225,273,263,190,197,72,34,97,75,89,77,44,90,125,115,87,18,790
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,Neither agree nor    (0) disagree,442,185,257,77,68,64,84,79,53,85,100,125,93,124,40,23,58,39,21,25,11,53,61,68,29,14,377
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,Slightly disagree   (-1),237,87,151,38,28,54,37,31,33,44,41,75,51,70,17,7,24,15,30,19,17,22,23,39,18,7,197
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,Strongly disagree   (-2),125,49,75,18,17,30,23,26,11,16,23,33,22,47,13,3,15,13,7,14,8,5,10,18,10,8,96
Table 142,Q12. To what extent do you agree or disagree with the following statements? I follow international/world news about Coronavirus,ONLINE Fieldwork: 4th to 6th June 2021,NET: Disagree,362,136,226,57,45,84,61,57,44,60,64,108,73,117,30,10,39,28,37,33,24,27,33,58,28,15,293
