table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 144,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,184,94,90,20,20,37,27,40,26,34,49,45,37,53,184,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 144,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,177,89*,87*,18**,18**,36**,29**,42*,22**,29**,44*,45*,38*,50*,177,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,,,
Table 144,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 5th to 11th April 2021,Level 3,23,15,8,1,1,2,5,6,3,6,4,8,3,8,23,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 144,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 5th to 11th April 2021,Level 4,89,47,42,6,6,16,14,27,11,15,20,23,21,25,89,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 144,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 5th to 11th April 2021,I'm unsure of what protection level my local area is in,65,27,38,11,11,18,11,10,8,8,21,14,14,16,65,-,-,-,-,-,-,-,-,-,-,-,-,,,
Table 130,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,1751,894,857,242,215,306,262,293,257,391,478,525,289,459,-,89,205,178,201,148,-,206,293,278,153,-,1751,48,907,741
Table 130,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,1768,863,905,258,225,299,263,300,248,399,475,498,351,444,-**,84*,233,172,184,151,-**,198,278,288,180,-**,1768,55*,906,757
Table 130,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 4th to 6th December 2020,Tier 1,55,28,27,17,15,7,9,12,1,10,14,13,20,8,-,-,-,1,-,-,-,4,13,7,30,-,55,55,-,-
Table 130,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 4th to 6th December 2020,Tier 2,906,435,471,120,106,140,135,150,145,215,250,267,166,223,-,1,87,22,36,25,-,185,236,195,119,-,906,-,906,-
Table 130,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 4th to 6th December 2020,Tier 3,757,371,385,106,92,134,112,135,99,170,192,203,159,202,-,82,141,148,141,124,-,4,9,79,29,-,757,-,-,757
Table 130,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 4th to 6th December 2020,I'm unsure of what tier or protection level my local area is in,51,29,22,15,12,19,7,3,3,4,19,16,6,10,-,1,5,1,7,2,-,6,20,7,2,-,51,-,-,-
Table 131,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,184,88,96,17,17,29,37,34,28,39,54,48,38,44,184,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Table 131,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,176,79*,97*,16**,16**,24**,38**,34**,27**,37*,46*,49*,45*,36*,176,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**
Table 131,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 4th to 6th December 2020,Level 1,18,9,9,6,6,2,4,2,1,3,3,8,4,3,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Table 131,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 4th to 6th December 2020,Level 2,34,17,16,2,2,5,2,14,3,9,11,6,12,4,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Table 131,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 4th to 6th December 2020,Level 3,67,28,39,2,2,12,16,11,11,15,14,23,11,19,67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Table 131,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 4th to 6th December 2020,Level 4,50,18,32,5,5,3,14,7,11,9,15,11,18,6,50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Table 131,Q12b. Which tier or protection level is your local area currently in?,ONLINE Fieldwork: 4th to 6th December 2020,I'm unsure of what tier or protection level my local area is in,7,5,2,2,2,2,1,-,1,1,2,2,-,3,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
