table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Eastern (v),London (w),South East (x),South West (y),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 109,"Q13. How closely followed official advice in last week: Only going outside your home for essential shopping, exercise and meeting with one other person outside your household",ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,1769,849,920,222,197,282,273,311,279,402,469,501,388,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,"Q13. How closely followed official advice in last week: Only going outside your home for essential shopping, exercise and meeting with one other person outside your household",ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,1778,867,911,253,222,304,259,300,259,403,490,504,368,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,"Q13. How closely followed official advice in last week: Only going outside your home for essential shopping, exercise and meeting with one other person outside your household",ONLINE Fieldwork: 29th to 31st May 2020,NET: Closely,1678,806,872,240,210,271,238,283,251,393,471,474,346,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,"Q13. How closely followed official advice in last week: Only going outside your home for essential shopping, exercise and meeting with one other person outside your household",ONLINE Fieldwork: 29th to 31st May 2020,Very closely        (+2),1224,569,655,160,139,177,157,210,205,315,341,341,237,304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,"Q13. How closely followed official advice in last week: Only going outside your home for essential shopping, exercise and meeting with one other person outside your household",ONLINE Fieldwork: 29th to 31st May 2020,Fairly closely      (+1),454,237,216,81,71,94,81,73,47,78,130,133,109,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,"Q13. How closely followed official advice in last week: Only going outside your home for essential shopping, exercise and meeting with one other person outside your household",ONLINE Fieldwork: 29th to 31st May 2020,Not very closely    (-1),69,42,27,11,11,24,18,11,4,1,13,21,16,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,"Q13. How closely followed official advice in last week: Only going outside your home for essential shopping, exercise and meeting with one other person outside your household",ONLINE Fieldwork: 29th to 31st May 2020,Not at all closely  (-2),31,19,12,2,2,9,4,5,4,8,6,9,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,"Q13. How closely followed official advice in last week: Only going outside your home for essential shopping, exercise and meeting with one other person outside your household",ONLINE Fieldwork: 29th to 31st May 2020,NET: Not closely,101,61,39,13,13,33,21,17,8,9,19,29,22,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,"Q13. How closely followed official advice in last week: Only going outside your home for essential shopping, exercise and meeting with one other person outside your household",ONLINE Fieldwork: 29th to 31st May 2020,Mean,1.56,1.49,1.62,1.52,1.5,1.34,1.43,1.57,1.71,1.72,1.61,1.54,1.5,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,"Q13. How closely followed official advice in last week: Only going outside your home for essential shopping, exercise and meeting with one other person outside your household",ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.83,0.9,0.76,0.77,0.8,1.02,0.91,0.83,0.69,0.68,0.74,0.84,0.85,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
