table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n)
Table 107,"Q13. How closely followed official advice in last week: Only meeting with up to eight people from two households in public, ideally within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,Unweighted base,182,74,108,16,15,23,44,41,28,30,46,53,23,60
Table 107,"Q13. How closely followed official advice in last week: Only meeting with up to eight people from two households in public, ideally within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,Weighted base,177,76*,101*,20**,19**,20**,37*,37*,29**,32**,42*,49*,22**,64*
Table 107,"Q13. How closely followed official advice in last week: Only meeting with up to eight people from two households in public, ideally within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,NET: Closely,163,67,95,17,16,17,36,33,29,30,42,44,20,56
Table 107,"Q13. How closely followed official advice in last week: Only meeting with up to eight people from two households in public, ideally within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,Very closely        (+2),136,51,85,14,12,15,26,30,25,26,33,35,19,49
Table 107,"Q13. How closely followed official advice in last week: Only meeting with up to eight people from two households in public, ideally within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,Fairly closely      (+1),26,16,10,4,4,2,9,3,4,3,9,9,1,7
Table 107,"Q13. How closely followed official advice in last week: Only meeting with up to eight people from two households in public, ideally within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,Not very closely    (-1),8,4,4,3,3,1,1,-,-,3,-,2,1,4
Table 107,"Q13. How closely followed official advice in last week: Only meeting with up to eight people from two households in public, ideally within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,Not at all closely  (-2),7,4,3,-,-,2,*,4,-,-,1,2,*,3
Table 107,"Q13. How closely followed official advice in last week: Only meeting with up to eight people from two households in public, ideally within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,NET: Not closely,15,8,6,3,3,3,2,4,-,3,1,5,2,8
Table 107,"Q13. How closely followed official advice in last week: Only meeting with up to eight people from two households in public, ideally within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,Mean,1.57,1.4,1.69,1.36,1.32,1.26,1.61,1.49,1.86,1.65,1.73,1.48,1.69,1.48
Table 107,"Q13. How closely followed official advice in last week: Only meeting with up to eight people from two households in public, ideally within 5 miles and staying 2 metres apart",ONLINE Fieldwork: 5th to 7th June 2020,Standard deviation Standard error,0.99,1.11,0.87,1.1,1.12,1.42,0.77,1.24,0.35,0.86,0.63,1.06,0.93,1.13
