table,question,date,response,Washing hands regularly for 20 seconds or more,Only going outside your home for essential shopping and exercise,Practised social distancing,Practising social distancing,Wearing a face mask/covering where relevant,Only meeting up in small groups of people from outside your household (up to six) in public and staying 2 metres apart,Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,"Only going outside your home for essential shopping, exercise and meeting with one other person outside your household",Stay at home as much as possible,Only meeting outside with up to six people from two households,Only meeting outside with up to four people from two households,Only meeting outside with up to six people from two households_1,Only meeting outside with up to six people from any number of households or any number of people from two households,"Only meeting with up to eight people from two households in public, ideally within 5 miles and staying 2 metres apart","Only meeting with any number of people from two households in public, within 5 miles and staying 2 metres apart",Wearing a face mask/covering on public transport or in an enclosed public space where social distancing is not possible
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,2127,2127,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,2127,2127,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,NET: Closely,1994,2073,2090,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Very closely        (+2),1365,1766,1777,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Fairly closely      (+1),629,307,313,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Not very closely    (-1),113,37,27,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Not at all closely  (-2),20,17,10,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,NET: Not closely,133,54,37,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Mean,1.51,1.77,1.8,,,,,,,,,,,,,
Table 91,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.83,0.61,0.54,,,,,,,,,,,,,
Table 122,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,,,2098,2098,,,,,,,,,,,
Table 122,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,,,2098,2098,,,,,,,,,,,
Table 122,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,NET: Closely,1819,,,1929,1957,,,,,,,,,,,
Table 122,Q13. How closely followed official advice in last week: Summary,ONLINE Fieldwork: 11th to 13th September 2020,Very closely        (+2),1082,,,1145,1609,,,,,,,,,,,
