table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 130,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 130,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 130,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 11th to 13th September 2020,NET: Closely,1957,948,1009,269,230,322,291,328,286,461,546,552,392,467,170,79,219,154,169,136,83,182,259,277,171,60,1645,,,
Table 130,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 11th to 13th September 2020,Very closely        (+2),1609,731,878,214,184,235,227,271,252,410,452,452,307,398,151,66,184,121,140,102,59,156,206,226,145,53,1347,,,
Table 130,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 11th to 13th September 2020,Fairly closely      (+1),348,218,131,55,47,87,63,57,34,52,93,100,85,69,19,13,35,33,29,33,24,26,53,51,25,7,298,,,
Table 130,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 11th to 13th September 2020,Not very closely    (-1),71,40,31,15,14,13,18,12,8,4,10,20,17,24,1,3,8,13,8,7,10,3,10,3,4,1,58,,,
Table 130,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 11th to 13th September 2020,Not at all closely  (-2),70,38,32,5,5,15,16,21,8,5,15,19,17,19,4,2,5,4,6,9,6,12,7,7,5,2,58,,,
Table 130,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 11th to 13th September 2020,NET: Not closely,141,77,63,20,19,28,34,32,17,10,25,40,33,43,5,5,13,17,14,15,16,15,18,10,8,3,116,,,
Table 130,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 11th to 13th September 2020,Mean,1.60bf,1.52,1.67ab,1.58,1.56,1.47,1.44,1.52,1.70fg,1.82ad,1.68am,1.6,1.52,1.58,1.78ar,1.64u,1.65tu,1.48,1.58u,1.42,1.21,1.57u,1.59u,1.69rt,1.69rt,1.70u,1.60tu,,,
Table 130,Q13. How closely followed official advice in last week: Wearing a face mask/covering where relevant,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.92,0.96,0.87,0.88,0.91,0.99,1.08,1.06,0.84,0.58,0.8,0.92,0.98,0.98,0.71,0.86,0.84,1,0.96,1.09,1.23,1.04,0.88,0.75,0.81,0.84,0.91,,,
