table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 11th to 13th September 2020,Washing hands regularly and thoroughly,438,230,207,62,53,74,71,65,63,102,124,111,101,101,48,22,41,41,44,33,18,34,50,56,41,9,362,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 11th to 13th September 2020,Limiting your contact with other people (including family and friends),289,144,145,36,30,49,38,54,45,68,70,80,69,70,23,11,26,23,27,25,11,24,44,39,25,11,243,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 11th to 13th September 2020,Maintaining social distancing,510,221,289,68,57,80,63,97,84,119,136,141,96,137,47,18,68,34,41,29,19,55,74,66,44,15,429,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 11th to 13th September 2020,Wearing a face mask/ covering,464,217,247,63,54,63,79,73,69,116,126,155,79,104,34,12,61,35,45,33,15,50,56,63,41,18,397,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 11th to 13th September 2020,Staying at home as much as possible,171,98,73,21,17,31,31,34,20,34,54,34,33,50,9,8,20,15,10,12,14,13,22,34,10,5,143,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 11th to 13th September 2020,Work from home (if possible),120,65,55,24,23,26,20,22,15,12,40,40,20,20,10,8,7,13,9,10,13,11,19,9,9,3,93,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 11th to 13th September 2020,Not touching your face when outside,105,50,55,15,15,25,22,17,7,19,21,31,26,27,4,6,9,10,7,9,9,10,12,19,9,2,90,,,
Table 135,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 11th to 13th September 2020,None of these,1,-,1,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2101,1040,1061,258,227,336,346,377,310,474,646,571,407,477,179,82,217,160,173,169,103,204,295,299,158,62,1757,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,1027,1074,290,251,351,326,361,303,471,572,592,426,511,175,84*,232,171,183,151,100*,198,277,287,179,63*,1763,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 6th to 8th November 2020,Washing hands regularly and thoroughly,440,204,236,69,62,60,63,73,70,105,111,112,84,132,38,25,41,40,31,28,19,41,60,65,36,16,368,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 6th to 8th November 2020,Limiting your contact with other people (including family and friends),256,139,117,37,33,44,40,43,31,61,56,92,59,50,8,10,24,22,23,19,15,23,40,34,27,11,223,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 6th to 8th November 2020,Maintaining social distancing,503,249,254,56,50,77,78,94,69,130,136,136,104,126,54,19,65,37,40,47,20,41,64,56,42,18,411,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 6th to 8th November 2020,Wearing a face mask/ covering,449,203,245,59,42,78,62,77,67,105,129,137,76,107,39,12,51,34,42,27,26,58,45,70,39,5,378,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 6th to 8th November 2020,Staying at home as much as possible,250,130,120,29,27,42,36,44,40,58,75,61,55,59,25,12,24,18,24,14,9,21,34,38,20,10,205,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 6th to 8th November 2020,Work from home (if possible),121,63,58,18,16,38,28,21,12,4,42,32,29,17,8,3,15,16,12,10,4,8,19,16,8,3,106,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 6th to 8th November 2020,Not touching your face when outside,82,40,43,22,21,12,19,9,12,8,22,23,19,19,4,2,13,4,12,4,7,4,16,9,6,1,71,,,
Table 138,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 6th to 8th November 2020,None of these,1,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,,,
Table 146,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,1075,1032,272,241,366,329,356,313,471,582,631,352,542,184,89,205,178,201,148,101,206,293,278,153,71,1751,48,907,741
Table 146,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,2107,1030,1077,291,252,352,327,362,303,472,573,594,428,512,176,84*,233,172,184,151,100*,198,278,288,180,63*,1768,55*,906,757
Table 146,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 4th to 6th December 2020,Washing hands regularly and thoroughly,441,216,225,60,51,68,73,80,60,99,130,137,85,89,31,18,51,39,39,29,18,48,66,55,37,11,381,15,194,165
Table 146,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 4th to 6th December 2020,Limiting your contact with other people (including family and friends),270,146,124,31,28,49,41,44,40,65,66,66,61,76,25,13,29,17,21,17,17,30,31,42,21,6,222,9,115,95
Table 146,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 4th to 6th December 2020,Maintaining social distancing,501,237,264,61,54,77,71,99,84,109,142,128,99,132,52,22,64,45,39,40,19,45,55,73,33,16,414,6,214,187
Table 146,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 4th to 6th December 2020,Wearing a face mask/ covering,429,197,232,53,43,54,60,83,62,117,103,128,88,109,35,19,35,35,36,39,21,39,53,57,50,11,362,18,186,143
Table 146,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 4th to 6th December 2020,Staying at home as much as possible,229,117,112,36,29,42,38,31,28,54,56,68,42,62,14,7,26,14,23,10,16,22,34,33,20,11,188,3,100,79
Table 146,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 4th to 6th December 2020,Work from home (if possible),113,56,57,24,21,30,19,15,16,9,33,33,24,22,4,3,13,12,15,9,2,6,17,16,9,6,100,1,49,45
Table 146,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 4th to 6th December 2020,Not touching your face when outside,74,31,43,23,22,14,15,5,8,10,27,18,19,11,12,2,6,5,7,5,4,5,17,5,5,1,57,3,32,22
Table 146,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 4th to 6th December 2020,None of these,51,32,19,4,4,17,9,6,5,9,17,15,8,11,3,2,9,6,4,1,3,4,4,6,7,1,43,1,15,20
Table 150,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,2115,1003,1112,261,228,325,342,367,332,488,584,640,359,532,186,88,220,166,174,162,105,182,296,296,177,63,1761,,,
Table 150,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,2115,1034,1081,292,250,353,328,364,305,473,575,597,429,514,176,84*,234,172,185,152,100*,199,279,289,181,63*,1775,,,
Table 150,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 15th to 17th January 2021,Washing hands regularly and thoroughly,391,168,223,50,47,61,57,65,64,95,96,112,81,102,35,15,28,27,36,26,24,27,58,64,35,16,317,,,
Table 150,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 15th to 17th January 2021,Limiting your contact with other people (including family and friends),282,142,139,38,27,53,43,56,35,57,73,77,62,70,30,8,25,26,30,18,18,28,26,43,21,9,224,,,
Table 150,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 15th to 17th January 2021,Maintaining social distancing,501,260,241,56,49,72,75,93,76,129,140,132,107,122,32,27,65,46,37,40,16,49,56,71,46,16,437,,,
Table 150,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 15th to 17th January 2021,Wearing a face mask/ covering,492,232,260,66,50,68,70,77,77,134,146,141,89,116,40,14,63,36,36,34,23,54,62,66,47,14,414,,,
Table 150,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 15th to 17th January 2021,Staying at home as much as possible,217,100,117,36,35,45,38,35,28,35,58,53,45,60,15,10,28,19,21,14,14,21,31,24,15,4,184,,,
Table 150,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 15th to 17th January 2021,Work from home (if possible),133,68,65,29,27,25,22,26,14,18,34,54,22,22,14,3,20,8,10,11,5,15,22,13,7,5,110,,,
Table 150,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 15th to 17th January 2021,Not touching your face when outside,60,34,26,12,12,20,10,5,8,5,15,19,13,13,7,2,2,6,10,3,1,3,17,3,6,-,52,,,
Table 150,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 15th to 17th January 2021,None of these,40,31,9,4,4,10,14,9,2,1,13,8,10,9,3,4,2,4,4,5,-,4,6,4,3,1,37,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,2120,1031,1089,252,219,339,351,389,311,478,605,573,429,513,,,,,,,,,,,,,,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,2120,1037,1083,292,251,354,328,365,305,475,577,598,430,515,,,,,,,,,,,,,,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 7th to 9th August 2020,Washing hands regularly and thoroughly,465,235,229,62,57,77,53,77,71,125,132,128,92,114,,,,,,,,,,,,,,,,
Table 132,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus?  - 3rd most important,ONLINE Fieldwork: 7th to 9th August 2020,Limiting your contact with other people (including family and friends),298,148,150,49,44,45,43,44,44,74,70,103,56,69,,,,,,,,,,,,,,,,
