table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 11th to 13th September 2020,NET: Important,1402,646,757,165,142,211,213,262,219,331,366,392,311,334,122,65,151,111,122,99,65,127,167,191,139,42,1173,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 11th to 13th September 2020,1st most important,495,206,289,42,38,70,74,112,82,114,126,154,102,113,38,17,62,44,38,40,12,47,58,78,44,17,428,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 11th to 13th September 2020,2nd most important,470,209,261,61,51,67,68,85,75,114,116,127,108,119,36,26,48,27,39,26,34,45,60,57,55,17,383,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 11th to 13th September 2020,3rd most important,438,230,207,62,53,74,71,65,63,102,124,111,101,101,48,22,41,41,44,33,18,34,50,56,41,9,362,,,
Table 136,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 11th to 13th September 2020,No answer,696,380,315,124,107,139,112,98,83,140,204,200,115,177,53,18,81,60,61,51,35,71,109,96,40,21,587,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2101,1040,1061,258,227,336,346,377,310,474,646,571,407,477,179,82,217,160,173,169,103,204,295,299,158,62,1757,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,1027,1074,290,251,351,326,361,303,471,572,592,426,511,175,84*,232,171,183,151,100*,198,277,287,179,63*,1763,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 6th to 8th November 2020,NET: Important,1204,555,648,151,134,187,197,214,186,268,298,342,243,320,102,53,122,107,103,84,50,112,168,157,103,43,1009,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 6th to 8th November 2020,1st most important,340,156,184,38,35,62,74,54,55,56,77,111,72,80,30,12,30,30,33,24,13,33,47,42,35,12,285,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 6th to 8th November 2020,2nd most important,423,195,228,44,37,65,60,87,61,106,109,119,87,108,35,16,51,37,39,32,18,37,61,50,32,16,356,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 6th to 8th November 2020,3rd most important,440,204,236,69,62,60,63,73,70,105,111,112,84,132,38,25,41,40,31,28,19,41,60,65,36,16,368,,,
Table 139,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 6th to 8th November 2020,No answer,897,472,425,139,117,164,128,147,116,203,274,250,183,190,73,30,110,65,81,67,50,86,109,130,77,20,754,,,
Table 147,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Washing hands regularly and thoroughly,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,2107,1075,1032,272,241,366,329,356,313,471,582,631,352,542,184,89,205,178,201,148,101,206,293,278,153,71,1751,48,907,741
