table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 11th to 13th September 2020,NET: Important,353,199,154,64,60,79,86,55,43,26,119,124,50,60,25,17,36,31,36,24,20,27,53,42,29,12,296,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 11th to 13th September 2020,1st most important,113,74,39,16,16,29,37,14,12,5,42,34,14,24,7,2,15,8,14,12,1,4,17,17,10,6,99,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 11th to 13th September 2020,2nd most important,120,59,61,23,21,24,29,19,16,9,38,50,16,16,8,7,15,10,14,2,6,12,17,16,11,3,104,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 11th to 13th September 2020,3rd most important,120,65,55,24,23,26,20,22,15,12,40,40,20,20,10,8,7,13,9,10,13,11,19,9,9,3,93,,,
Table 141,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 11th to 13th September 2020,No answer,1745,827,918,226,189,271,239,306,259,445,452,467,376,450,150,67,196,140,147,127,80,170,224,245,150,51,1465,,,
Table 144,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2101,1040,1061,258,227,336,346,377,310,474,646,571,407,477,179,82,217,160,173,169,103,204,295,299,158,62,1757,,,
Table 144,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,1027,1074,290,251,351,326,361,303,471,572,592,426,511,175,84*,232,171,183,151,100*,198,277,287,179,63*,1763,,,
Table 144,Q13b. Which of the following do you think are the most important to do to contain the Coronavirus? Work from home (if possible),ONLINE Fieldwork: 6th to 8th November 2020,NET: Important,381,203,178,70,60,103,70,66,45,27,122,108,90,60,32,12,47,40,24,29,24,22,62,49,31,8,317,,,
