table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 29th to 31st May 2020,Washing hands regularly and thoroughly,506,238,268,63,53,67,77,81,73,144,133,128,115,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 29th to 31st May 2020,Limiting your contact with other people (including family and friends),353,180,173,41,32,68,56,59,54,76,106,96,53,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 29th to 31st May 2020,Maintaining social distancing (staying 2 metres apart from people) when outside,559,281,278,74,63,75,87,97,77,149,156,150,111,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 29th to 31st May 2020,Wearing a face mask/ covering,63,31,31,19,18,11,8,12,8,4,17,21,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 29th to 31st May 2020,Staying at home as much as possible,331,133,199,46,37,56,45,65,53,66,87,107,62,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 29th to 31st May 2020,Work from home (if possible),188,108,80,33,33,40,35,32,29,19,51,67,42,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 29th to 31st May 2020,Not touching your face when outside,118,65,54,15,15,37,19,19,11,17,26,27,37,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 113,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 29th to 31st May 2020,None of these,*,-,*,-,-,-,*,-,-,-,-,*,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 335,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,1038,1055,264,232,340,332,333,308,516,585,546,430,532,195,78,247,150,170,165,105,217,289,243,173,61,341,911,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 335,Q13b. Which of the following official advice do you think are the most important to do to contain the Coronavirus?  - 2nd most important,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
