table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 143,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 143,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 143,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 11th to 13th September 2020,NET: Left wing,689,343,346,137,120,137,107,103,83,122,214,227,107,141,75,22,83,56,47,51,34,53,104,86,60,18,562,,,
Table 143,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 11th to 13th September 2020,Very left-wing,105,59,47,40,36,18,17,9,11,10,30,40,13,23,12,4,13,7,6,8,4,6,15,19,10,2,87,,,
Table 143,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 11th to 13th September 2020,Fairly left-wing,289,118,171,52,46,66,40,51,28,51,93,93,48,55,26,10,37,27,17,21,13,27,47,30,24,10,241,,,
Table 143,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 11th to 13th September 2020,Slightly left-of-centre,294,166,128,45,38,52,50,43,44,60,91,94,46,63,37,7,34,21,24,23,16,21,42,38,26,7,234,,,
Table 143,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 11th to 13th September 2020,Centre,440,216,224,44,40,70,76,84,67,99,104,105,108,122,39,12,53,26,53,27,23,47,66,57,25,12,366,,,
Table 143,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 11th to 13th September 2020,Slightly right-ofcentre,264,164,100,17,16,24,33,53,45,90,93,62,54,55,19,15,22,22,29,24,15,26,20,36,26,9,221,,,
Table 143,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 11th to 13th September 2020,Fairly right-wing,255,146,110,20,16,27,29,36,52,93,74,77,54,51,8,13,27,23,18,17,3,21,34,52,27,11,233,,,
Table 143,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 11th to 13th September 2020,Very right-wing,50,31,20,3,3,3,13,11,6,14,13,16,9,12,1,4,7,2,3,3,3,4,6,13,1,4,42,,,
Table 143,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 11th to 13th September 2020,NET: Right wing,570,341,229,40,35,55,75,100,103,197,180,155,117,118,29,32,56,48,50,44,21,50,60,101,55,24,495,,,
Table 143,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 143,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 11th to 13th September 2020,Don't know,370,113,257,57,49,79,63,70,48,53,63,100,88,119,32,17,34,38,30,27,21,46,43,39,35,8,309,,,
Table 143,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 11th to 13th September 2020,Prefer not to say,30,14,16,11,4,9,5,3,1,-,10,5,6,9,-,1,5,3,4,1,1,1,5,4,5,-,29,,,
Table 171,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,2121,1075,1046,262,231,362,323,335,342,497,615,578,401,527,184,77,215,161,188,150,131,204,290,276,169,76,1730,,,
Table 171,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2121,1037,1084,293,257,354,329,365,305,475,577,598,431,515,177,84*,235,173,185,152,101,200,280,290,181,64*,1780,,,
Table 171,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 5th to 11th April 2021,NET: Left wing,741,401,340,133,121,143,135,123,92,115,237,226,119,160,77,32,85,66,48,51,31,71,112,77,68,22,611,,,
Table 171,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 5th to 11th April 2021,Very left-wing,97,48,49,23,20,23,21,16,5,9,34,26,15,23,11,6,17,9,6,3,4,10,16,11,4,2,81,,,
Table 171,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 5th to 11th April 2021,Fairly left-wing,321,148,173,68,63,61,57,54,38,42,99,103,51,68,32,11,36,29,19,27,19,28,43,32,38,7,262,,,
Table 171,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 5th to 11th April 2021,Slightly left-of-centre,323,205,118,42,37,59,57,52,49,64,103,98,53,69,34,15,32,29,24,21,8,34,53,34,26,13,268,,,
Table 171,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 5th to 11th April 2021,Centre,437,220,217,51,48,73,66,88,66,93,113,117,100,107,38,10,51,37,47,35,17,33,67,60,31,12,370,,,
Table 171,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 5th to 11th April 2021,Slightly right-ofcentre,251,148,102,12,11,20,30,44,54,91,76,73,53,49,11,7,31,16,25,21,15,26,28,44,18,10,215,,,
Table 171,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 5th to 11th April 2021,Fairly right-wing,260,135,125,19,19,18,27,36,40,120,80,76,54,49,12,10,37,16,27,15,12,25,28,42,26,9,226,,,
Table 171,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 5th to 11th April 2021,Very right-wing,80,42,38,6,6,11,9,16,16,22,28,14,15,23,4,4,3,5,6,6,5,7,15,15,6,4,67,,,
Table 171,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 5th to 11th April 2021,NET: Right wing,590,325,265,37,36,49,67,95,110,233,184,163,122,121,26,21,72,37,57,42,32,58,72,100,50,23,509,,,
Table 171,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 5th to 11th April 2021,Don't know,322,81,241,63,46,84,58,52,33,31,39,83,82,117,32,21,23,32,32,22,17,34,26,47,30,6,267,,,
Table 171,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2121,1037,1084,293,257,354,329,365,305,475,577,598,431,515,177,84*,235,173,185,152,101,200,280,290,181,64*,1780,,,
Table 171,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 5th to 11th April 2021,Prefer not to say,30,10,21,8,6,5,3,6,3,3,4,9,8,10,4,-,3,1,1,3,4,3,3,6,2,-,23,,,
Table 166,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,2144,1027,1117,266,236,330,330,370,345,503,610,572,441,521,185,82,209,158,200,159,104,209,287,289,183,79,1776,,,
Table 166,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,2144,1048,1096,296,260,358,332,369,309,481,583,605,435,521,179,85*,237,175,187,154,102*,202,283,293,183,64*,1799,,,
Table 166,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 12th to 14th March 2021,NET: Left wing,737,383,354,131,112,133,126,122,91,134,236,232,103,166,78,28,97,67,49,42,40,58,98,96,60,23,596,,,
Table 166,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 12th to 14th March 2021,Very left-wing,92,44,49,32,24,20,12,13,3,13,34,20,15,24,13,6,8,6,8,4,5,3,12,17,9,1,74,,,
Table 166,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 12th to 14th March 2021,Fairly left-wing,330,149,181,63,59,69,62,53,38,45,97,108,48,77,29,10,48,39,18,19,13,29,50,36,29,10,278,,,
Table 166,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 12th to 14th March 2021,Slightly left-of-centre,314,190,124,36,28,44,51,56,50,76,105,105,39,65,36,13,41,23,23,18,22,26,36,42,22,12,244,,,
Table 166,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 12th to 14th March 2021,Centre,447,225,222,64,61,81,72,79,65,85,115,118,104,110,34,22,50,37,51,25,24,34,61,54,43,11,378,,,
Table 166,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 12th to 14th March 2021,Slightly right-ofcentre,267,161,106,17,16,22,23,42,52,109,86,58,66,56,23,15,12,18,19,22,17,26,32,41,30,10,217,,,
Table 166,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 12th to 14th March 2021,Fairly right-wing,237,143,94,7,7,16,24,47,48,95,59,71,60,46,12,8,27,19,24,25,4,25,22,44,19,10,212,,,
Table 166,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 12th to 14th March 2021,Very right-wing,54,30,24,4,4,7,3,11,10,19,16,13,13,11,2,1,6,6,3,4,-,6,9,12,4,*,52,,,
Table 166,"Q.14 Some people talk about ‘left', 'right’ and ‘centre’ to describe parties and politicians. (Generally socialist parties would be considered ‘left wing’ whilst conservative parties would be",ONLINE Fieldwork: 12th to 14th March 2021,NET: Right wing,558,333,224,29,27,45,50,101,110,223,162,143,139,113,36,24,45,43,46,51,21,57,63,97,53,20,481,,,
