table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,2121,1075,1046,262,231,362,323,335,342,497,615,578,401,527,184,77,215,161,188,150,131,204,290,276,169,76,1730,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2121,1037,1084,293,257,354,329,365,305,475,577,598,431,515,177,84*,235,173,185,152,101,200,280,290,181,64*,1780,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 5th to 11th April 2021,NET: At least once a day,1705,799,906,288,252,318,276,290,227,305,463,492,349,401,144,72,192,147,141,118,83,149,220,240,147,52,1426,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 5th to 11th April 2021,10 times or more a day,617,274,343,169,146,146,112,96,40,54,188,175,125,130,59,30,55,55,41,44,27,52,93,86,58,17,515,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 5th to 11th April 2021,5-9 times a day,371,179,192,67,59,75,69,59,50,51,88,124,68,91,33,13,41,33,30,31,19,29,45,57,26,15,304,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 5th to 11th April 2021,2-4 times a day,493,242,250,44,39,79,68,89,92,121,139,126,118,109,35,21,71,39,55,32,27,45,57,61,36,15,415,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 5th to 11th April 2021,About once a day,224,104,121,9,8,19,27,46,45,79,48,68,38,71,18,9,25,21,14,12,9,23,25,36,27,5,192,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 5th to 11th April 2021,A few times a week,103,62,41,1,1,12,18,31,14,28,32,23,23,25,6,3,12,5,7,12,6,14,19,9,6,3,88,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 5th to 11th April 2021,About once a week,51,33,17,-,-,3,8,8,11,21,10,11,14,15,3,-,4,2,9,5,3,4,5,11,5,2,44,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 5th to 11th April 2021,About once a month,23,9,14,-,-,3,4,6,2,9,4,5,1,13,3,-,4,2,-,1,*,2,6,2,3,-,20,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 5th to 11th April 2021,Less than once a month,47,32,15,-,-,5,5,11,8,18,21,9,9,8,9,-,3,1,5,4,1,7,5,7,3,2,34,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 5th to 11th April 2021,Never,193,102,90,3,3,13,18,19,44,95,47,57,35,54,11,9,20,16,24,13,8,23,25,22,17,5,169,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,2144,1027,1117,266,236,330,330,370,345,503,610,572,441,521,185,82,209,158,200,159,104,209,287,289,183,79,1776,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,2144,1048,1096,296,260,358,332,369,309,481,583,605,435,521,179,85*,237,175,187,154,102*,202,283,293,183,64*,1799,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th March 2021,NET: At least once a day,1696,789,907,291,255,334,294,298,212,268,470,479,343,404,136,73,188,136,154,128,81,160,230,222,141,46,1433,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th March 2021,10 times or more a day,613,265,348,152,130,162,113,91,66,29,165,182,121,145,40,33,75,48,58,51,27,61,81,80,46,11,535,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th March 2021,5-9 times a day,422,193,229,76,67,91,78,70,50,57,123,108,91,100,35,17,45,31,52,27,20,36,53,58,32,17,351,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th March 2021,2-4 times a day,447,222,225,46,43,56,80,104,61,100,126,126,86,109,42,14,47,35,28,35,24,49,64,55,38,14,367,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th March 2021,About once a day,214,109,105,16,15,25,22,33,35,82,57,62,46,50,19,9,21,21,16,15,10,14,31,29,25,4,180,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th March 2021,A few times a week,109,67,42,2,2,11,6,19,27,44,28,32,18,31,8,2,11,15,8,3,9,10,13,11,13,4,88,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th March 2021,About once a week,59,33,27,-,-,4,8,13,8,26,13,15,16,15,6,2,8,4,3,5,2,4,5,13,3,5,47,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th March 2021,About once a month,18,11,8,-,-,1,4,4,4,5,7,3,4,5,-,1,2,-,1,1,*,1,4,5,3,-,18,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th March 2021,Less than once a month,49,24,25,2,2,1,5,6,9,27,10,17,9,14,8,3,6,7,5,1,2,3,2,5,6,1,39,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,2144,1048,1096,296,260,358,332,369,309,481,583,605,435,521,179,85*,237,175,187,154,102*,202,283,293,183,64*,1799,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 12th to 14th March 2021,Never,212,125,88,1,1,7,16,29,49,111,56,59,44,54,21,4,22,12,16,16,8,24,29,36,16,9,175,,,
Table 2,"Q.1a Typically, how often would you say you use social media?",ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2101,1040,1061,258,227,336,346,377,310,474,646,571,407,477,179,82,217,160,173,169,103,204,295,299,158,62,1757,,,
