table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,NET: Agree,1729,829,900,220,186,275,257,289,266,422,466,498,354,412,143,71,191,135,159,120,79,165,223,243,144,56,1452,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Strongly agree      (+2),1324,622,703,154,126,185,171,219,220,375,352,380,271,321,109,61,151,102,108,89,59,128,174,185,110,46,1110,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Slightly agree      (+1),405,207,198,65,60,90,86,69,46,48,114,118,83,90,33,10,39,33,51,31,20,37,49,58,34,10,342,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Neither agree nor    (0) disagree,225,119,106,48,42,54,43,37,17,25,67,58,47,53,20,8,28,24,14,16,8,15,39,26,23,4,192,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Slightly disagree   (-1),70,37,33,14,14,10,7,20,8,10,20,17,11,22,5,2,6,4,3,10,7,8,9,8,8,1,56,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Strongly disagree   (-2),74,41,33,7,7,11,18,15,11,13,18,19,14,23,6,2,8,8,7,5,5,9,6,10,5,2,60,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,NET: Disagree,144,78,66,21,21,21,25,35,19,23,38,36,25,45,12,4,14,12,10,14,12,17,15,18,13,3,117,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Mean,1.35bd,1.3,1.40ab,1.20e,1.14,1.23,1.19,1.27,1.51ad,1.62ad,1.34,1.39,1.38,1.3,1.34,1.51,1.38,1.27,1.36,1.27,1.21,1.35,1.36,1.39,1.32,1.56,1.35,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,1.03,1.07,1,1.04,1.07,1.01,1.1,1.11,0.98,0.9,1.02,0.99,1,1.11,1.04,0.96,1.01,1.1,0.98,1.08,1.19,1.09,0.98,1.01,1.03,0.89,1.03,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,2121,1075,1046,262,231,362,323,335,342,497,615,578,401,527,184,77,215,161,188,150,131,204,290,276,169,76,1730,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2121,1037,1084,293,257,354,329,365,305,475,577,598,431,515,177,84*,235,173,185,152,101,200,280,290,181,64*,1780,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,NET: Agree,1671,798,874,214,182,260,255,275,262,406,461,483,338,389,133,68,191,140,144,114,83,165,207,224,147,55,1401,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Strongly agree      (+2),1255,564,691,149,121,175,177,200,206,349,326,362,260,306,98,51,146,103,100,98,56,124,149,169,117,45,1057,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Slightly agree      (+1),416,234,182,65,61,85,78,75,56,57,135,121,77,83,35,18,45,38,45,16,27,40,58,54,30,11,344,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Neither agree nor    (0) disagree,253,136,118,53,50,72,38,39,21,30,75,59,46,74,25,8,27,18,25,24,8,21,45,29,18,5,215,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Slightly disagree   (-1),96,43,53,15,15,11,22,18,12,17,26,32,20,17,5,4,9,10,7,10,6,6,13,18,9,-,85,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Strongly disagree   (-2),100,61,40,10,10,12,13,32,11,23,15,24,27,35,13,4,8,5,9,5,4,8,15,19,7,3,80,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,NET: Disagree,196,104,92,26,24,22,36,50,23,40,41,56,47,52,19,8,17,14,16,14,10,14,28,37,16,3,165,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Mean,1.24,1.15,1.32,1.12,1.05,1.13,1.16,1.08,1.42,1.46,1.27,1.28,1.22,1.18,1.12,1.27,1.33,1.3,1.18,1.27,1.24,1.34,1.12,1.16,1.34,1.46,1.24,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,1.12,1.16,1.08,1.1,1.11,1.05,1.13,1.28,1.02,1.08,1.02,1.1,1.19,1.2,1.22,1.12,1.05,1.04,1.11,1.12,1.08,1.05,1.17,1.23,1.08,1.02,1.12,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,2144,1027,1117,266,236,330,330,370,345,503,610,572,441,521,185,82,209,158,200,159,104,209,287,289,183,79,1776,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,2144,1048,1096,296,260,358,332,369,309,481,583,605,435,521,179,85*,237,175,187,154,102*,202,283,293,183,64*,1799,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,NET: Agree,1745,850,895,231,203,280,261,294,256,423,479,502,346,419,140,67,193,127,162,120,85,173,229,239,157,53,1467,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,Strongly agree      (+2),1334,640,694,154,134,200,198,224,200,357,359,377,275,323,102,47,157,97,130,89,61,131,160,188,127,43,1127,,,
Table 22,Q4b3. To what extent do you agree or disagree with the following statements? I think that untrue stories or items about Coronavirus,ONLINE Fieldwork: 12th to 14th March 2021,Slightly agree      (+1),411,210,201,77,70,80,62,70,56,66,120,125,71,96,38,19,36,30,32,30,24,42,69,50,30,9,340,,,
