table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,224,117,107,31,28,46,35,39,26,47,85,81,24,34,19,10,23,17,10,18,10,20,36,37,20,4,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,215,112,103*,31**,27**,43*,34*,34*,25**,48*,81*,74*,23**,36**,18**,8**,26**,16**,9**,18**,8**,17**,36*,38*,18**,3**,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,154,79,75,17,14,33,25,26,19,34,58,57,14,26,15,6,19,10,7,8,5,15,26,24,15,3,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,27,16,11,3,3,5,3,5,2,10,15,7,1,5,2,2,3,2,2,1,2,5,3,3,2,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 11th to 13th September 2020,4,127,63,64,14,11,27,22,21,17,25,43,50,13,21,13,4,16,8,5,7,4,10,23,21,13,2,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 11th to 13th September 2020,3,52,27,24,11,9,9,7,6,5,13,18,13,9,11,3,2,7,5,2,8,2,*,9,9,3,-,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 11th to 13th September 2020,2,7,3,3,3,3,1,1,1,-,-,4,3,-,-,-,-,-,-,-,1,-,-,1,4,-,-,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,2,2,-,-,-,-,1,1,-,-,1,1,-,-,-,-,-,-,-,1,-,1,-,-,-,-,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,9,5,3,3,3,1,2,2,-,-,5,4,-,-,-,-,-,-,-,2,-,1,1,4,-,-,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 11th to 13th September 2020,Mean,3.79,3.78,3.8,3.53,3.51,3.86,3.69,3.82,3.86,3.92,3.83,3.78,3.63,3.84,3.92,3.93,3.82,3.79,3.96,3.37,3.9,4,3.79,3.61,3.96,4.44,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 53,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,0.74,0.8,0.67,0.82,0.87,0.64,0.83,0.82,0.54,0.7,0.82,0.74,0.55,0.65,0.52,0.75,0.6,0.66,0.67,0.92,0.75,1.05,0.64,0.81,0.55,0.59,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,309,162,147,43,37,78,51,38,41,58,136,89,38,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,290,154,136,47*,38*,75*,44*,36*,35*,52*,123,86*,38*,42*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 15th to 17th May 2020,NET: Trust,197,110,87,32,24,52,32,21,24,36,91,53,27,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 15th to 17th May 2020,5 - Trust completely,46,28,18,11,7,13,8,1,4,10,24,12,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 15th to 17th May 2020,4,150,82,68,22,17,39,24,20,20,26,67,41,23,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 15th to 17th May 2020,3,81,38,43,15,14,21,10,12,11,13,28,29,9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 15th to 17th May 2020,2,8,3,5,-,-,2,*,3,1,1,3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 15th to 17th May 2020,1 - Do not trust at all,4,2,2,-,-,1,1,-,-,2,1,3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 15th to 17th May 2020,NET: Do not trust,12,5,6,-,-,3,2,3,1,3,4,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 15th to 17th May 2020,Mean,3.78,3.85,3.71,3.9,3.82,3.8,3.84,3.52,3.75,3.81,3.89,3.68,3.75,3.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 41,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 15th to 17th May 2020,Standard deviation Standard error,0.79,0.79,0.79,0.74,0.73,0.79,0.86,0.73,0.68,0.89,0.78,0.85,0.75,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,277,158,119,42,38,41,54,49,37,54,109,83,37,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,271,160,111,49*,44*,46*,46*,45*,33*,52*,114*,72*,33*,53*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 29th to 31st May 2020,NET: Trust,180,106,73,31,26,25,34,23,24,43,77,57,17,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 29th to 31st May 2020,5 - Trust completely,42,25,17,6,5,6,11,6,4,10,14,12,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 29th to 31st May 2020,4,137,81,56,25,22,19,24,17,20,33,64,46,13,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 29th to 31st May 2020,3,70,37,33,10,10,19,9,18,7,6,32,11,12,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 29th to 31st May 2020,2,17,12,5,9,7,-,2,3,2,2,4,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 29th to 31st May 2020,1 - Do not trust at all,5,5,*,-,-,2,1,2,*,1,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 29th to 31st May 2020,NET: Do not trust,22,17,5,9,7,2,2,5,2,2,5,3,4,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 29th to 31st May 2020,Mean,3.72,3.68,3.76,3.56,3.54,3.59,3.91,3.49,3.77,3.97,3.75,3.9,3.49,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.87,0.93,0.77,0.92,0.9,0.86,0.86,0.93,0.78,0.77,0.74,0.74,0.99,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,306,170,136,38,34,52,48,42,46,80,153,80,38,35,33,9,33,18,19,24,16,28,58,34,24,10,,61,124,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,297,159,137,41*,37*,51*,46*,41*,46*,71*,146,85*,35*,31*,29*,8**,28*,23**,21**,21**,15**,26**,55*,37*,23**,11**,,58*,114,48*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,205,108,97,24,21,35,34,26,36,50,98,60,27,20,17,2,18,17,11,13,13,21,35,29,19,9,,37,83,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,38,20,18,2,2,8,8,1,8,10,15,11,4,8,4,1,4,1,3,4,3,2,5,5,6,2,,6,15,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,4,167,89,79,22,19,27,26,25,27,40,83,49,23,13,13,1,14,16,8,10,10,19,30,24,13,7,,31,68,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,3,79,44,35,17,16,11,10,12,9,19,44,21,7,7,9,4,10,6,9,6,2,4,17,8,3,1,,17,29,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,2,10,5,5,-,-,3,1,3,1,2,3,2,1,4,3,1,-,-,2,1,-,-,2,-,1,-,,3,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,3,2,1,-,-,2,-,-,1,-,1,2,-,-,-,-,-,-,-,-,-,1,1,-,1,-,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,12,7,6,-,-,5,1,3,2,2,4,4,1,4,3,1,-,-,2,1,-,1,3,-,2,-,,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Mean,3.77,3.75,3.79,3.63,3.62,3.71,3.9,3.61,3.89,3.81,3.74,3.76,3.88,3.78,3.62,3.18,3.77,3.77,3.56,3.77,4.06,3.82,3.67,3.92,3.93,4.07,,3.67,3.82,3.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 127,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.75,0.76,0.74,0.59,0.6,0.92,0.73,0.66,0.8,0.71,0.69,0.8,0.62,0.97,0.85,0.9,0.67,0.49,0.82,0.8,0.56,0.74,0.77,0.6,0.95,0.58,,0.79,0.7,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 128,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271,141,261,306,176,158,30,112,48,46,139,118,306,10,63,52,11,171,74,,,,,,,,,,,,,,,,,,,,,
Table 128,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,137,251,297,170,153,31**,107,43*,43*,133,115,297,8**,63*,50*,10**,166,74*,,,,,,,,,,,,,,,,,,,,,
Table 128,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,95,175,205,113,103,19,69,27,24,87,77,205,4,40,37,4,106,63,,,,,,,,,,,,,,,,,,,,,
Table 128,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,5 - Trust completely,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,15,33,38,20,17,4,12,5,4,18,12,38,-,10,6,1,18,15,,,,,,,,,,,,,,,,,,,,,
Table 128,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,4,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,80,142,167,92,85,15,58,22,20,70,64,167,4,30,31,3,89,48,,,,,,,,,,,,,,,,,,,,,
Table 128,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,3,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,35,64,79,48,43,10,32,13,15,41,33,79,5,20,13,3,50,9,,,,,,,,,,,,,,,,,,,,,
Table 128,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,9,10,8,6,1,5,3,3,4,5,10,-,1,-,1,7,1,,,,,,,,,,,,,,,,,,,,,
Table 128,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,1 - Do not trust at all,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,3,3,1,1,1,1,-,1,1,-,3,-,2,-,1,3,-,,,,,,,,,,,,,,,,,,,,,
Table 128,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Do not trust,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,7,12,12,9,7,2,6,3,4,5,5,12,-,2,-,2,10,1,,,,,,,,,,,,,,,,,,,,,
Table 128,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Mean,3.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77,3.74,3.77,3.77,3.72,3.73,3.66,3.69,3.68,3.52,3.74,3.73,3.77,3.45,3.72,3.86,3.32,3.67,4.04,,,,,,,,,,,,,,,,,,,,,
Table 128,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Standard deviation Standard error,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.76,0.77,0.76,0.75,0.76,0.74,0.87,0.76,0.78,0.86,0.76,0.71,0.75,0.53,0.85,0.61,1.22,0.79,0.64,,,,,,,,,,,,,,,,,,,,,
Table 129,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,306,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,29,19,22,58,25,16,145,96,76,53,259,81,274,294,294,306,-,,,
Table 129,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37*,29**,19**,22**,55*,25**,16**,143,91*,80*,53*,249,79*,267,286,285,297,-**,,,
Table 129,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Broadsheets” such as The Times or Guardian ( online ),ONLINE Fieldwork: 22nd to 24th May 2020,NET: Trust,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,15,13,14,37,13,10,94,51,54,32,171,52,187,198,199,205,-,,,
