table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local health service website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,171,73,98,23,21,24,32,25,26,41,44,45,42,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local health service website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,166,72*,94*,24**,22**,21**,31**,22**,25**,43*,40*,47*,40*,39*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local health service website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,146,63,83,22,20,17,20,22,25,40,35,42,38,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local health service website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,74,34,40,8,7,5,5,12,17,26,18,19,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local health service website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,4,73,29,43,14,13,12,14,10,8,15,16,24,21,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local health service website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,3,16,7,9,1,1,3,10,-,-,2,4,4,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local health service website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,2,1,-,1,1,1,-,-,-,-,-,-,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local health service website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,3,1,1,-,-,1,1,-,-,-,2,-,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local health service website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,4,1,2,1,1,1,1,-,-,-,2,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local health service website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Mean,4.28,4.32,4.26,4.22,4.21,3.93,3.71,4.54,4.68,4.55,4.22,4.27,4.38,4.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 45,Q5. Trust in the sources for information/news about Coronavirus used in last week: Direct from Local health service website/email/text/post,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.79,0.8,0.8,0.72,0.74,0.98,0.92,0.51,0.48,0.61,0.97,0.71,0.58,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
