table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,641,303,338,77,70,103,104,124,94,139,223,152,118,148,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,629,306,323,83*,74*,105*,98*,117,88*,138,209,170,108,142,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,285,139,146,46,39,43,48,35,44,68,95,82,43,66,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,47,22,25,6,6,10,4,5,8,14,10,17,5,14,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 9th to 13th April 2020,4,238,118,121,40,33,33,45,30,36,54,84,65,37,52,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 9th to 13th April 2020,3,244,111,133,28,27,37,33,60,36,49,92,59,46,47,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 9th to 13th April 2020,2,77,42,35,6,6,14,14,18,6,19,19,19,13,25,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,23,14,10,3,3,10,3,3,2,3,4,9,7,4,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,100,56,44,8,8,24,17,22,8,21,23,29,20,29,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 9th to 13th April 2020,Mean,3.33,3.3,3.36,3.5,3.46,3.19,3.32,3.13,3.48,3.42,3.38,3.36,3.19,3.33,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.92,0.95,0.89,0.85,0.88,1.1,0.89,0.83,0.83,0.92,0.79,1,0.94,0.97,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,577,302,275,66,62,84,113,111,81,122,192,165,80,140,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,558,275,283,58*,54*,85*,101*,110*,82*,123,170,152,113*,123,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 17th to 19th April 2020,NET: Trust,224,118,106,25,23,29,40,38,29,63,71,69,35,50,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 17th to 19th April 2020,5 - Trust completely,39,20,19,5,5,8,9,7,3,8,10,13,9,7,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 17th to 19th April 2020,4,185,98,87,20,18,21,32,30,27,55,61,56,26,42,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 17th to 19th April 2020,3,245,103,142,27,25,37,42,54,37,47,78,59,54,54,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 17th to 19th April 2020,2,66,36,30,6,6,10,14,13,11,12,13,19,21,14,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 17th to 19th April 2020,1 - Do not trust at all,22,18,5,-,-,8,4,5,4,1,9,4,4,6,,,,,,
Table 37,Q5. Trust in the sources for information/news about Coronavirus used in last week: Newspapers (online),ONLINE Fieldwork: 17th to 19th April 2020,NET: Do not trust,88,54,35,6,6,18,18,18,15,13,21,23,24,20,,,,,,
