table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,185,122,63,39,35,55,34,23,15,19,62,45,33,45,14,6,22,15,17,13,7,22,41,19,7,2,162
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,204,136,68*,48*,44*,54*,39**,27**,15**,21**,69*,51*,39**,45*,13**,6**,23**,18**,20**,13**,9**,24**,45*,24**,9**,1**,182
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 5th to 11th April 2021,NET: Trust,75,52,23,22,21,26,11,11,1,4,32,13,16,14,4,5,6,8,10,6,-,4,22,6,2,1,70
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 5th to 11th April 2021,5 - Trust completely,11,6,5,3,3,6,1,1,-,-,4,2,4,2,-,1,1,1,2,-,-,-,4,1,-,-,11
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 5th to 11th April 2021,4,64,46,18,19,19,20,10,10,1,4,28,11,12,12,4,5,5,7,8,6,-,4,18,5,2,1,59
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 5th to 11th April 2021,3,77,52,25,12,10,15,18,9,8,14,21,21,13,22,7,-,8,6,7,3,5,11,15,9,3,-,65
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 5th to 11th April 2021,2,36,20,16,10,10,7,4,7,5,2,12,9,8,7,2,1,5,1,1,3,1,3,6,8,4,-,33
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 5th to 11th April 2021,1 - Do not trust at all,16,12,4,4,2,6,5,-,1,1,3,9,2,2,-,-,3,3,2,1,2,5,1,1,-,-,15
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 5th to 11th April 2021,NET: Do not trust,52,33,20,15,13,13,9,7,6,3,15,18,10,9,2,1,9,3,3,4,3,8,7,8,4,-,47
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 5th to 11th April 2021,Mean,3.08,3.09,3.07,3.13,3.22,3.24,2.97,3.18,2.56,3.04,3.26,2.75,3.18,3.11,3.15,3.81,2.83,3.17,3.42,3.04,2.42,2.64,3.42,2.92,2.71,4,3.1
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,1.01,1.01,1.02,1.09,1.04,1.16,1,0.88,0.71,0.67,0.98,1.08,1.05,0.87,0.69,0.87,1.1,1.16,1.03,1,0.87,1.01,0.93,0.94,0.8,-,1.03
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,126,75,51,22,21,40,29,13,17,5,42,26,24,34,14,6,13,9,15,7,5,7,23,15,8,4,103
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,132,81*,50*,25**,24**,42*,30**,13**,16**,4**,43*,28**,25**,35**,15**,10**,14**,10**,15**,7**,5**,6**,21**,16**,10**,3**,109*
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 12th to 14th March 2021,NET: Trust,46,27,19,9,9,13,13,5,2,3,18,6,9,13,4,2,7,5,8,4,-,1,8,3,4,1,41
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 12th to 14th March 2021,5 - Trust completely,8,7,1,*,*,4,3,-,-,-,5,-,1,2,-,-,1,-,4,-,-,-,1,-,2,-,8
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 12th to 14th March 2021,4,38,20,18,9,9,9,10,5,2,3,13,6,8,11,4,2,6,5,4,4,-,1,6,3,3,1,33
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 12th to 14th March 2021,3,42,29,13,3,3,12,12,6,7,1,11,9,6,17,8,2,4,4,3,2,3,2,4,4,4,2,29
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 12th to 14th March 2021,2,22,12,10,6,4,5,3,2,6,-,7,5,6,3,2,1,2,2,1,1,*,2,7,2,2,-,20
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 12th to 14th March 2021,1 - Do not trust at all,21,13,8,7,7,12,2,-,1,-,7,8,4,2,1,5,-,-,3,-,2,1,1,7,-,-,18
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 12th to 14th March 2021,NET: Do not trust,43,25,18,13,11,17,5,2,7,-,14,14,10,5,3,6,2,2,4,1,2,3,9,9,2,-,38
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 12th to 14th March 2021,Mean,2.92,2.95,2.87,2.59,2.62,2.74,3.31,3.24,2.69,3.73,3.04,2.41,2.84,3.23,3.03,2.01,3.44,3.26,3.26,3.42,2.15,2.29,2.95,2.19,3.37,3.22,2.93
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 12th to 14th March 2021,Standard deviation Standard error,1.16,1.18,1.13,1.29,1.32,1.36,0.99,0.73,0.79,0.51,1.27,1.14,1.16,0.91,0.83,1.3,0.89,0.81,1.49,0.8,1.07,1.05,1.11,1.22,1.05,0.5,1.21
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,154,108,46,30,27,39,36,20,13,16,57,39,24,34,15,4,12,10,12,13,4,14,41,17,11,1,134
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,150,109*,41*,33**,28**,36*,39**,19**,9**,14**,50*,38*,28**,34**,13**,4**,13**,9**,15**,12**,4**,13**,42*,15**,9**,1**,133
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 4th to 6th June 2021,NET: Trust,74,58,16,10,10,24,26,10,3,1,23,13,16,21,7,4,6,3,7,5,1,5,28,5,3,-,66
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 4th to 6th June 2021,5 - Trust completely,29,23,5,4,4,9,12,2,1,1,10,5,8,6,2,-,1,3,2,3,1,1,13,2,-,-,26
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 4th to 6th June 2021,4,45,35,11,7,7,15,14,8,2,-,14,8,8,15,5,4,5,-,5,2,-,4,15,3,3,-,40
Table 84,"Q5. Trust in the sources for information/news about Coronavirus used in last week: Non-mainstream news sources such as Russia Today, Breitbart, Swawkbox, Infowars, Rebel Media etc",ONLINE Fieldwork: 4th to 6th June 2021,3,47,34,12,12,9,9,8,6,3,10,17,17,6,7,*,1,6,4,5,4,2,6,7,8,4,-,44
