table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,85,45,40,10,7,15,17,16,11,16,19,22,23,21,5,4,7,8,12,7,5,9,9,13,6,-,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,84*,43*,41*,10**,7**,14**,14**,16**,11**,18**,19**,18**,20**,26**,6**,2**,10**,7**,11**,6**,4**,7**,12**,13**,4**,-**,73*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,22,11,11,1,-,4,3,5,5,5,6,4,3,10,3,-,5,1,5,1,-,5,1,1,-,-,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,3,2,*,-,-,-,-,1,1,1,-,1,2,1,-,-,-,-,-,1,-,1,-,1,-,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 11th to 13th September 2020,4,20,9,11,1,-,4,3,4,4,4,6,3,1,9,3,-,5,1,5,-,-,4,1,-,-,-,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 11th to 13th September 2020,3,38,19,19,5,3,5,6,10,4,8,5,8,12,13,3,1,4,6,3,2,2,2,6,6,4,-,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 11th to 13th September 2020,2,16,11,6,4,2,3,4,-,2,4,3,7,5,2,-,2,2,-,3,3,2,-,3,3,-,-,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,7,2,5,2,2,3,1,1,1,-,6,-,-,1,-,-,-,-,-,1,-,-,2,4,-,-,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,23,13,10,5,4,6,5,1,3,4,9,7,5,3,-,2,2,-,3,4,2,-,5,7,-,-,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 55,Q5. Trust in the sources for information/news about Coronavirus used in last week: “Red-top tabloids” such as The Sun or Mirror ( online ),ONLINE Fieldwork: 11th to 13th September 2020,Mean,2.94,2.97,2.91,2.39,2.21,2.67,2.85,3.28,3.15,3.12,2.56,2.87,2.99,3.24,3.54,2.26,3.3,3.19,3.21,2.59,2.59,3.88,2.54,2.26,3,-,2.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
