table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,63,27,36,42,34,15,3,2,-,1,26,19,8,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,72*,31**,41*,50*,39*,16**,3**,2**,-**,1**,27**,26**,8**,11**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,NET: Trust,12,8,4,7,7,3,2,-,-,-,9,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,5 - Trust completely,2,2,-,1,1,-,1,-,-,-,1,1,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,4,10,6,4,6,6,3,1,-,-,-,8,-,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,3,43,15,28,33,23,6,1,2,-,1,17,15,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,2,12,6,6,7,6,5,-,-,-,-,-,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,1 - Do not trust at all,5,3,3,3,3,2,-,-,-,-,2,3,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,NET: Do not trust,18,9,9,10,10,7,-,-,-,-,2,10,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,Mean,2.87,2.93,2.82,2.88,2.87,2.63,3.79,3,-,3,3.19,2.57,2.81,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.83,0.97,0.71,0.76,0.85,0.98,0.93,-,-,-,0.84,0.84,0.6,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,43,22,21,28,23,7,6,1,1,-,13,14,6,10,4,1,6,2,7,3,2,1,7,7,2,1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,49*,23**,26**,35**,29**,6**,6**,1**,1**,-**,17**,15**,6**,10**,5**,2**,6**,2**,8**,3**,2**,1**,7**,7**,4**,1**,41**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,NET: Trust,18,8,10,14,14,*,3,1,-,-,7,8,1,3,1,2,1,-,4,-,-,-,5,3,3,-,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,5 - Trust completely,4,3,1,1,1,*,2,-,-,-,1,2,1,*,-,-,1,-,1,-,-,-,1,1,-,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,4,14,6,9,13,13,-,1,1,-,-,6,6,-,2,1,2,1,-,3,-,-,-,4,1,3,-,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,3,15,8,7,12,9,2,1,-,-,-,5,4,2,5,1,-,1,-,5,1,2,-,1,3,1,-,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,2,10,3,6,2,-,4,2,-,1,-,4,2,1,3,1,-,3,1,-,2,-,-,1,-,-,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,1 - Do not trust at all,6,4,2,6,6,-,-,-,-,-,2,1,3,-,2,-,-,1,-,-,-,1,1,2,-,-,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,NET: Do not trust,16,7,9,9,6,4,2,-,1,-,6,3,4,3,3,-,3,2,-,2,-,1,1,2,-,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,Mean,2.99,3,2.98,3.02,3.11,2.49,3.46,4,2,-,2.94,3.37,2.16,3.04,1.98,4,2.8,1.63,3.53,2.3,3,1,3.57,3.15,3.65,2,3.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,1.15,1.25,1.07,1.15,1.23,0.86,1.39,-,-,-,1.12,1.11,1.52,0.84,1.26,-,1.13,0.64,0.72,0.56,-,-,1.12,1.45,0.55,-,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,49,15,34,35,26,8,4,2,-,-,19,15,4,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,54*,16**,39**,40**,31**,7**,6**,1**,-**,-**,20**,17**,5**,12**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,NET: Trust,11,6,5,6,6,3,1,-,-,-,4,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 50,Q5. Trust in the sources for information/news about Coronavirus used in last week: Snapchat,ONLINE Fieldwork: 17th to 19th April 2020,5 - Trust completely,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
