table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,2071,1051,1020,257,227,356,311,323,336,488,600,569,391,511,178,75,211,155,180,144,127,201,288,272,166,74,1692
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2072,1018,1054,286,252,348,318,353,301,467,565,588,422,498,170,82*,231,166,179,145,99,197,278,286,177,62*,1741
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 5th to 11th April 2021,I use mainstream media sources and trust them to give me accurate and truthful information about the Coronavirus,600,301,299,85,73,106,89,89,89,143,188,152,109,151,41,26,66,44,58,37,28,61,85,83,48,22,509
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 5th to 11th April 2021,I use mainstream media sources but sometimes question if the information is accurate and truthful about the Coronavirus,951,493,458,122,108,147,154,175,136,217,266,292,200,194,69,31,103,77,76,68,45,98,133,133,93,25,812
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 5th to 11th April 2021,I sometimes use mainstream media sources but always question if the information is accurate and truthful about the Coronavirus,312,141,171,40,36,54,51,48,48,71,73,85,72,82,32,19,40,27,29,18,18,23,35,37,23,10,252
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 5th to 11th April 2021,I don't use mainstream media sources because I don't trust them to give me accurate and truthful information about the Coronavirus,92,42,50,12,11,6,13,29,15,18,16,28,17,31,11,2,9,6,10,12,2,5,8,16,6,4,75
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 5th to 11th April 2021,I don't really think about accuracy and truthfulness when consuming news and information about the Coronavirus,32,12,20,3,3,9,4,1,5,10,4,9,9,10,2,2,4,2,1,4,3,2,4,5,1,*,26
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,2072,1018,1054,286,252,348,318,353,301,467,565,588,422,498,170,82*,231,166,179,145,99,197,278,286,177,62*,1741
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 5th to 11th April 2021,Don't know,85,29,56,24,22,26,7,12,7,9,18,22,14,31,15,1,8,10,5,7,2,6,13,11,5,1,67
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,2105,1005,1100,261,231,323,320,362,338,501,604,562,433,506,183,81,205,157,195,154,101,207,280,283,180,79,1742
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,2104,1026,1078,293,257,349,322,361,303,478,577,595,426,506,177,84*,234,174,182,149,98*,200,277,284,180,64*,1765
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th March 2021,I use mainstream media sources and trust them to give me accurate and truthful information about the Coronavirus,615,321,294,71,60,99,93,119,82,151,182,155,128,150,51,21,73,49,57,47,24,64,82,74,53,20,520
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th March 2021,I use mainstream media sources but sometimes question if the information is accurate and truthful about the Coronavirus,949,463,486,133,117,138,148,153,150,228,272,286,200,191,70,41,96,80,73,63,51,92,118,147,86,31,796
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th March 2021,I sometimes use mainstream media sources but always question if the information is accurate and truthful about the Coronavirus,328,156,172,65,60,65,53,48,44,52,81,104,56,86,27,10,51,25,30,25,18,23,50,38,23,6,276
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th March 2021,I don't use mainstream media sources because I don't trust them to give me accurate and truthful information about the Coronavirus,79,42,37,3,3,13,15,17,16,15,10,21,14,35,14,5,2,8,12,4,3,5,6,8,10,3,60
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th March 2021,I don't really think about accuracy and truthfulness when consuming news and information about the Coronavirus,45,14,31,3,3,7,4,11,7,13,9,10,6,21,6,4,2,1,2,2,1,7,8,7,2,2,35
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,2104,1026,1078,293,257,349,322,361,303,478,577,595,426,506,177,84*,234,174,182,149,98*,200,277,284,180,64*,1765
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th March 2021,Don't know,89,30,59,17,13,26,9,14,4,19,24,19,23,24,8,3,10,12,7,9,1,9,13,10,6,1,78
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,2065,990,1075,240,211,343,320,342,329,491,612,588,356,509,188,78,196,164,182,160,118,187,297,253,183,59,1700
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,2070,1019,1051,281,244,337,319,359,301,473,565,584,421,500,175,85*,224,169,181,149,100*,196,275,278,177,60*,1735
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 4th to 6th June 2021,I use mainstream media sources and trust them to give me accurate and truthful information about the Coronavirus,581,316,265,111,95,86,82,110,62,131,160,157,139,126,40,23,57,45,55,40,32,50,94,83,46,16,492
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 4th to 6th June 2021,I use mainstream media sources but sometimes question if the information is accurate and truthful about the Coronavirus,905,433,472,93,79,155,131,157,161,208,273,283,166,182,80,33,113,72,86,63,34,88,110,120,81,25,766
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 4th to 6th June 2021,I sometimes use mainstream media sources but always question if the information is accurate and truthful about the Coronavirus,318,151,168,42,34,54,65,40,44,73,86,88,61,83,29,13,23,26,21,25,20,32,40,49,31,9,260
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 4th to 6th June 2021,I don't use mainstream media sources because I don't trust them to give me accurate and truthful information about the Coronavirus,89,45,44,9,9,11,16,21,10,21,19,16,21,33,15,7,11,6,3,10,3,4,9,10,8,3,69
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 4th to 6th June 2021,I don't really think about accuracy and truthfulness when consuming news and information about the Coronavirus,47,25,21,5,5,9,4,9,9,11,8,13,6,20,3,*,4,9,3,3,2,3,9,6,2,1,40
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,2070,1019,1051,281,244,337,319,359,301,473,565,584,421,500,175,85*,224,169,181,149,100*,196,275,278,177,60*,1735
Table 96,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 4th to 6th June 2021,Don't know,130,48,81,21,21,22,22,20,16,28,19,27,27,57,8,10,16,10,13,9,8,19,13,9,9,6,108
Table 93,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th February 2021,Unweighted base,2056,995,1061,258,227,282,312,376,335,493,608,624,307,517,170,81,200,156,177,161,112,192,302,299,143,63,1711
Table 93,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,2056,1009,1047,280,238,337,317,354,302,467,566,584,413,493,167,78*,229,168,178,147,99*,197,272,284,176,61*,1729
Table 93,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th February 2021,I use mainstream media sources and trust them to give me accurate and truthful information about the Coronavirus,604,321,283,92,73,103,85,100,82,142,176,176,112,140,46,35,64,43,44,42,26,58,97,88,43,18,514
Table 93,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th February 2021,I use mainstream media sources but sometimes question if the information is accurate and truthful about the Coronavirus,929,439,490,114,100,140,133,165,144,233,270,275,183,200,72,33,98,80,90,58,45,97,111,127,90,28,784
Table 93,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th February 2021,I sometimes use mainstream media sources but always question if the information is accurate and truthful about the Coronavirus,335,160,175,42,36,63,63,55,56,57,89,76,82,88,29,9,43,28,33,25,18,29,37,47,27,11,276
Table 93,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th February 2021,I don't use mainstream media sources because I don't trust them to give me accurate and truthful information about the Coronavirus,77,40,37,6,6,15,11,16,9,20,14,23,14,25,5,2,4,7,5,9,4,6,9,13,9,4,64
Table 93,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th February 2021,I don't really think about accuracy and truthfulness when consuming news and information about the Coronavirus,25,8,17,3,2,1,7,5,2,5,3,6,6,10,2,-,7,2,2,-,2,1,3,3,3,-,21
Table 93,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th February 2021,Weighted base,2056,1009,1047,280,238,337,317,354,302,467,566,584,413,493,167,78*,229,168,178,147,99*,197,272,284,176,61*,1729
Table 93,"Q5b. Thinking about your views on the mainstream media sources, which means the main organisations that provide news, such as the BBC, ITV, Sky News, the press such as The Sun, The Times,",ONLINE Fieldwork: 12th to 14th February 2021,Don't know,88,43,45,23,21,14,18,14,9,10,14,27,17,29,12,1,13,8,4,13,5,6,15,6,5,-,70
