table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,1497,762,735,208,185,251,229,220,232,357,462,413,281,341,128,41,155,111,129,108,93,146,226,189,120,51,1225
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,1515,753,763,236,210,240,249,239,210,341,449,434,303,330,123,47*,173,123*,130,108*,77*,145,211,203,136,41*,1275
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 5th to 11th April 2021,"To inform/ discuss with family, friends and colleagues, e.g. by sharing information that might be relevant or helpful to them",1338,655,682,199,174,213,215,218,193,300,400,375,277,285,110,43,154,117,109,89,69,126,189,180,116,35,1124
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 5th to 11th April 2021,"For entertaining family, friends and colleagues, e.g. by sharing information that might be interesting or funny to them",247,163,84,63,58,66,50,23,19,25,86,72,53,36,21,6,30,15,23,20,12,27,42,27,19,4,210
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 5th to 11th April 2021,"To receive positive feedback from people who share similar opinions, ideas, attitudes or interests to me",241,133,108,32,31,29,27,24,42,87,62,77,43,59,24,4,26,18,30,14,9,15,46,30,19,6,202
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 5th to 11th April 2021,Other,27,11,16,-,-,-,9,4,8,6,12,8,1,6,3,-,4,1,-,5,1,3,5,1,5,-,24
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 12th to 14th March 2021,Unweighted base,1539,733,806,190,172,242,226,257,256,368,473,399,334,333,133,59,150,116,150,110,74,143,200,212,137,55,1277
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 12th to 14th March 2021,Weighted base,1539,751,788,216,194,262,229,256,225,351,455,421,331,332,126,62*,172,126*,142,102*,74*,138,198,215,137,46*,1293
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 12th to 14th March 2021,"To inform/ discuss with family, friends and colleagues, e.g. by sharing information that might be relevant or helpful to them",1388,669,719,187,166,232,204,242,208,315,412,387,299,290,116,58,146,111,126,95,67,118,181,200,124,45,1160
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 12th to 14th March 2021,"For entertaining family, friends and colleagues, e.g. by sharing information that might be interesting or funny to them",241,125,116,61,56,61,36,20,23,39,89,62,50,39,11,7,25,29,31,14,11,16,39,30,20,6,212
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 12th to 14th March 2021,"To receive positive feedback from people who share similar opinions, ideas, attitudes or interests to me",222,119,103,29,26,33,22,21,37,79,71,47,49,54,16,8,27,17,37,13,9,18,30,28,13,6,191
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 12th to 14th March 2021,Other,28,14,14,4,4,3,6,2,7,7,7,7,5,9,2,2,6,-,2,1,1,3,3,5,3,-,25
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 4th to 6th June 2021,Unweighted base,1386,674,712,164,143,237,219,221,223,322,446,408,231,301,132,49,136,102,122,94,83,119,227,167,117,38,1133
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 4th to 6th June 2021,Weighted base,1398,703,696,187,160,229,217,242,212,312,422,404,277,295,127,53*,155,107*,127,89*,72*,124*,206,183,115*,41*,1159
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 4th to 6th June 2021,"To inform/ discuss with family, friends and colleagues, e.g. by sharing information that might be relevant or helpful to them",1232,600,631,160,133,189,174,222,205,280,386,339,244,263,112,44,135,101,120,77,64,101,177,167,97,36,1019
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 4th to 6th June 2021,"For entertaining family, friends and colleagues, e.g. by sharing information that might be interesting or funny to them",206,125,81,41,33,55,47,29,12,22,58,72,42,34,21,7,23,14,23,12,6,25,36,18,16,5,174
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 4th to 6th June 2021,"To receive positive feedback from people who share similar opinions, ideas, attitudes or interests to me",190,114,76,35,31,32,29,18,16,59,75,39,46,29,9,6,19,13,19,9,9,13,44,24,17,8,164
Table 100,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 4th to 6th June 2021,Other,30,15,15,3,3,2,6,3,4,12,5,13,1,11,2,1,3,-,1,1,3,4,4,4,7,-,25
Table 96,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 15th to 17th January 2021,Unweighted base,1543,727,816,201,178,225,238,269,240,370,461,473,250,359,122,61,151,120,128,115,67,135,238,232,131,43,1311
Table 96,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 15th to 17th January 2021,Weighted base,1557,762,795,230,201,248,232,267,223,357,454,445,310,349,117*,59*,161,123*,136,108,62*,150,235,227,135,43*,1334
Table 96,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 15th to 17th January 2021,"To inform family, friends and colleagues, e.g. by sharing information that might be relevant or helpful to them",1442,706,736,208,181,233,213,243,209,335,411,419,288,324,101,54,149,116,122,101,60,142,219,206,129,43,1237
Table 96,Q7b. Why did you share this information/news about Coronavirus?,ONLINE Fieldwork: 15th to 17th January 2021,"For entertaining family, friends and colleagues, e.g. by sharing information that might be interesting or funny to them",274,143,131,53,49,61,50,35,28,47,107,75,49,42,26,12,32,18,30,18,6,21,43,43,15,9,232
