table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 97,Social Grade,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Social Grade,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Social Grade,ONLINE Fieldwork: 9th to 13th April 2020,A,168,97,71,38,32,21,25,25,23,36,168,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Social Grade,ONLINE Fieldwork: 9th to 13th April 2020,B,410,232,179,73,66,80,55,56,71,75,410,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Social Grade,ONLINE Fieldwork: 9th to 13th April 2020,C1,600,277,323,91,79,109,86,80,78,156,-,600,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Social Grade,ONLINE Fieldwork: 9th to 13th April 2020,C2,432,211,220,40,35,76,75,89,63,88,-,-,432,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Social Grade,ONLINE Fieldwork: 9th to 13th April 2020,D,247,113,134,32,30,46,49,52,29,39,-,-,-,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Social Grade,ONLINE Fieldwork: 9th to 13th April 2020,E,270,109,160,18,15,24,39,63,42,83,-,-,-,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Social Grade,ONLINE Fieldwork: 9th to 13th April 2020,NET: AB,578,329,249,111,98,100,80,81,94,111,578,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Social Grade,ONLINE Fieldwork: 9th to 13th April 2020,NET: ABC1,1178,606,572,202,178,209,166,162,172,267,578,600,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Social Grade,ONLINE Fieldwork: 9th to 13th April 2020,NET: C2DE,949,434,515,91,81,146,163,204,135,210,-,-,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,Social Grade,ONLINE Fieldwork: 9th to 13th April 2020,NET: DE,517,223,294,51,45,70,88,115,72,122,-,-,-,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 146,Social Grade,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 146,Social Grade,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 146,Social Grade,ONLINE Fieldwork: 11th to 13th September 2020,A,150,76,74,37,32,33,23,13,9,35,150,-,-,-,9,7,18,13,12,5,5,11,28,24,12,7,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 146,Social Grade,ONLINE Fieldwork: 11th to 13th September 2020,B,421,243,178,59,47,90,64,67,52,89,421,-,-,-,41,21,44,36,31,15,19,29,60,72,38,14,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 146,Social Grade,ONLINE Fieldwork: 11th to 13th September 2020,C1,592,272,320,104,92,102,88,86,79,134,-,592,-,-,43,25,53,40,58,46,28,54,99,71,50,25,495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 146,Social Grade,ONLINE Fieldwork: 11th to 13th September 2020,C2,426,211,214,48,45,57,65,77,77,101,-,-,426,-,34,11,49,39,50,44,17,35,45,57,41,4,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 146,Social Grade,ONLINE Fieldwork: 11th to 13th September 2020,D,280,124,156,31,25,42,54,67,38,48,-,-,-,280,29,8,36,33,17,21,12,40,25,30,24,5,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 146,Social Grade,ONLINE Fieldwork: 11th to 13th September 2020,E,230,100,130,11,8,25,32,51,47,64,-,-,-,230,19,12,32,10,16,19,17,28,20,32,14,8,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 146,Social Grade,ONLINE Fieldwork: 11th to 13th September 2020,NET: AB,570,319,252,96,78,123,86,80,61,124,570,-,-,-,50,28,62,49,42,20,24,40,88,97,50,21,475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 146,Social Grade,ONLINE Fieldwork: 11th to 13th September 2020,NET: ABC1,1162,590,572,200,171,225,174,165,140,257,570,592,-,-,93,52,115,89,100,66,53,94,187,168,100,46,971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 146,Social Grade,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 146,Social Grade,ONLINE Fieldwork: 11th to 13th September 2020,NET: C2DE,936,436,500,90,78,125,151,195,162,214,-,-,426,510,82,31,117,82,83,85,47,103,90,119,79,17,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 146,Social Grade,ONLINE Fieldwork: 11th to 13th September 2020,NET: DE,510,224,286,41,33,67,86,118,85,112,-,-,-,510,48,20,68,43,33,40,30,68,46,62,38,13,419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Social Grade,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Social Grade,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Social Grade,ONLINE Fieldwork: 17th to 19th April 2020,A,140,79,61,39,34,21,20,17,9,35,140,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Social Grade,ONLINE Fieldwork: 17th to 19th April 2020,B,441,226,215,82,74,71,61,54,60,113,441,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Social Grade,ONLINE Fieldwork: 17th to 19th April 2020,C1,602,292,311,84,74,104,85,104,79,146,-,602,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Social Grade,ONLINE Fieldwork: 17th to 19th April 2020,C2,434,224,209,48,45,96,84,74,63,70,-,-,434,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Social Grade,ONLINE Fieldwork: 17th to 19th April 2020,D,273,124,149,30,28,40,54,67,39,44,-,-,-,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Social Grade,ONLINE Fieldwork: 17th to 19th April 2020,E,246,99,147,12,12,25,28,50,59,71,-,-,-,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Social Grade,ONLINE Fieldwork: 17th to 19th April 2020,NET: AB,581,305,276,120,108,92,80,72,69,148,581,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Social Grade,ONLINE Fieldwork: 17th to 19th April 2020,NET: ABC1,1183,597,586,205,182,196,166,176,147,294,581,602,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 86,Social Grade,ONLINE Fieldwork: 17th to 19th April 2020,NET: C2DE,953,447,505,90,85,161,165,192,161,184,-,-,434,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
