table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 101,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 101,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 101,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 9th to 13th April 2020,Yes - responsible for half or more of the items bought,1896,889,1007,181,180,329,316,346,290,433,500,525,387,483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 101,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 9th to 13th April 2020,No - not responsible for most of the items bought,231,151,80,112,78,26,13,20,16,44,78,74,44,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 150,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 150,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 150,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 11th to 13th September 2020,Yes - responsible for half or more of the items bought,1860,876,984,175,170,325,310,344,281,426,482,530,381,467,161,76,209,158,157,133,91,180,242,244,150,58,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 150,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 11th to 13th September 2020,No - not responsible for most of the items bought,238,150,88,115,79,25,15,17,22,45,89,62,45,43,14,7,23,13,26,18,8,18,34,43,29,5,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 17th to 19th April 2020,Yes - responsible for half or more of the items bought,1901,911,990,173,171,333,319,353,288,435,486,532,397,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 17th to 19th April 2020,No - not responsible for most of the items bought,235,133,102,122,96,23,12,15,20,44,95,71,36,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,2105,1038,1067,258,227,355,349,371,307,465,608,570,407,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,2105,1029,1076,290,248,351,326,362,303,472,573,594,427,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 15th to 17th May 2020,Yes - responsible for half or more of the items bought,1835,852,984,159,157,330,308,338,275,425,469,521,379,467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 15th to 17th May 2020,No - not responsible for most of the items bought,270,178,92,131,91,21,18,24,29,47,104,73,48,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 128,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 128,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 128,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 29th to 31st May 2020,Yes - responsible for half or more of the items bought,1860,861,999,162,157,318,318,340,285,437,485,534,378,463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 128,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 29th to 31st May 2020,No - not responsible for most of the items bought,259,175,84,131,96,36,10,24,20,38,92,64,52,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 383,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,1038,1055,264,232,340,332,333,308,516,585,546,430,532,195,78,247,150,170,165,105,217,289,243,173,61,,341,911,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 383,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 383,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 22nd to 24th May 2020,Yes - responsible for half or more of the items bought,1805,842,964,160,155,306,311,330,277,420,459,502,377,467,160,78,201,150,150,133,88,165,236,238,146,59,,288,761,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 383,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 22nd to 24th May 2020,No - not responsible for most of the items bought,288,182,106,128,92,43,14,30,24,49,110,88,48,41,14,5,31,21,32,17,11,32,40,48,33,3,,42,87,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 384,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 384,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 384,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 22nd to 24th May 2020,Yes - responsible for half or more of the items bought,1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510,894,1344,535,628,687,153,536,141,145,481,538,1599,27,605,192,82,695,586,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 384,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 22nd to 24th May 2020,No - not responsible for most of the items bought,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,243,122,219,85,96,127,29,82,16,18,84,83,255,6,77,52,18,113,87,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 385,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,785,691,450,1682,479,1876,1969,2019,2092,-,,,,,,,,,
Table 385,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,780,697,443,1670,478,1876,1974,2021,2092,-**,,,,,,,,,
Table 385,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 22nd to 24th May 2020,Yes - responsible for half or more of the items bought,1805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,132,121,117,232,102,88,569,681,595,382,1446,418,1639,1699,1744,1804,-,,,,,,,,,
Table 385,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 22nd to 24th May 2020,No - not responsible for most of the items bought,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,32,19,12,35,16,14,117,99,102,61,224,60,237,275,277,288,-,,,,,,,,,
Table 90,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 3rd to 5th April 2020,Unweighted base,2125,1067,1058,274,243,347,295,365,334,510,516,606,460,543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 3rd to 5th April 2020,Weighted base,2125,1039,1086,293,259,354,329,365,306,477,578,599,431,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 3rd to 5th April 2020,Yes - responsible for half or more of the items bought,1872,885,987,175,170,321,308,346,281,442,492,526,388,466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 90,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 3rd to 5th April 2020,No - not responsible for most of the items bought,253,154,99,118,89,34,21,20,26,35,86,73,44,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 7th to 10th May 2020,Unweighted base,2127,1045,1082,274,243,371,302,348,332,500,694,595,365,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 7th to 10th May 2020,Weighted base,2127,1040,1087,293,254,355,329,366,306,477,579,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 7th to 10th May 2020,Yes - responsible for half or more of the items bought,1850,863,987,173,167,317,312,338,278,433,486,525,377,462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 99,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 7th to 10th May 2020,No - not responsible for most of the items bought,277,177,100,120,87,38,17,28,29,45,93,74,55,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 97,"Thinking about your household's food and grocery shopping, are you personally responsible for selecting half or more of the items to be bought",ONLINE Fieldwork: 24th to 26th April 2020,Unweighted base,2106,1041,1065,269,238,331,326,350,327,503,544,621,393,548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
