table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 112,"What is the combined annual income of your household, prior to tax being deducted?",ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,"What is the combined annual income of your household, prior to tax being deducted?",ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,"What is the combined annual income of your household, prior to tax being deducted?",ONLINE Fieldwork: 9th to 13th April 2020,"Up to £7,000       (3.5)",85,36,49,18,18,14,9,20,17,6,5,14,3,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,"What is the combined annual income of your household, prior to tax being deducted?",ONLINE Fieldwork: 9th to 13th April 2020,"£7,001 to         (10.5) £14,000",236,82,154,28,28,22,37,46,34,70,19,60,24,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,"What is the combined annual income of your household, prior to tax being deducted?",ONLINE Fieldwork: 9th to 13th April 2020,"£14,001 to        (17.5) £21,000",292,119,173,31,26,33,38,54,48,88,50,89,52,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,"What is the combined annual income of your household, prior to tax being deducted?",ONLINE Fieldwork: 9th to 13th April 2020,"£21,001 to        (24.5) £28,000",294,133,161,29,26,49,33,50,44,88,59,102,70,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,"What is the combined annual income of your household, prior to tax being deducted?",ONLINE Fieldwork: 9th to 13th April 2020,"£28,001 to          (31) £34,000",250,127,122,24,21,53,38,40,42,53,58,81,70,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,"What is the combined annual income of your household, prior to tax being deducted?",ONLINE Fieldwork: 9th to 13th April 2020,"£34,001 to        (37.5) £41,000",179,88,92,21,17,34,31,27,29,37,60,53,44,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,"What is the combined annual income of your household, prior to tax being deducted?",ONLINE Fieldwork: 9th to 13th April 2020,"£41,001 to        (44.5) £48,000",136,77,59,27,23,30,29,13,10,27,40,45,36,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,"What is the combined annual income of your household, prior to tax being deducted?",ONLINE Fieldwork: 9th to 13th April 2020,"£48,001 to        (51.5) £55,000",127,78,48,20,18,31,22,24,15,16,47,39,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,"What is the combined annual income of your household, prior to tax being deducted?",ONLINE Fieldwork: 9th to 13th April 2020,"£55,001 to        (58.5) £62,000",64,40,24,11,11,16,20,4,6,7,34,15,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,"What is the combined annual income of your household, prior to tax being deducted?",ONLINE Fieldwork: 9th to 13th April 2020,"£62,001 to        (65.5) £69,000",57,38,19,11,10,10,13,8,8,7,25,17,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 112,"What is the combined annual income of your household, prior to tax being deducted?",ONLINE Fieldwork: 9th to 13th April 2020,"£69,001 to        (72.5) £76,000",55,38,17,4,4,11,13,14,9,5,29,7,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
