table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 111,"Which of the following cities do you live in, or nearest to?",ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,"Which of the following cities do you live in, or nearest to?",ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,"Which of the following cities do you live in, or nearest to?",ONLINE Fieldwork: 9th to 13th April 2020,Glasgow,111,53,57,18,18,17,20,22,10,24,26,32,17,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,"Which of the following cities do you live in, or nearest to?",ONLINE Fieldwork: 9th to 13th April 2020,Edinburgh,57,39,18,2,2,13,11,7,10,12,15,15,6,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,"Which of the following cities do you live in, or nearest to?",ONLINE Fieldwork: 9th to 13th April 2020,Newcastle,87,49,38,12,12,13,15,15,16,16,20,25,24,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,"Which of the following cities do you live in, or nearest to?",ONLINE Fieldwork: 9th to 13th April 2020,Leeds,94,39,56,16,16,22,12,13,15,16,35,21,17,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,"Which of the following cities do you live in, or nearest to?",ONLINE Fieldwork: 9th to 13th April 2020,Hull,39,17,21,3,2,2,8,12,5,9,5,13,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,"Which of the following cities do you live in, or nearest to?",ONLINE Fieldwork: 9th to 13th April 2020,Sheffield,58,24,34,12,10,11,14,7,2,11,12,21,12,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,"Which of the following cities do you live in, or nearest to?",ONLINE Fieldwork: 9th to 13th April 2020,Manchester,172,78,94,25,22,33,31,22,19,42,46,43,40,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 111,"Which of the following cities do you live in, or nearest to?",ONLINE Fieldwork: 9th to 13th April 2020,Liverpool,74,37,36,12,10,10,15,13,10,13,21,20,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
