table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 109,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 9th to 13th April 2020,Anglia,203,97,106,25,18,38,31,44,26,39,48,45,55,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 9th to 13th April 2020,Border,16,9,7,-,-,1,1,6,3,5,-,5,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 9th to 13th April 2020,Central,281,133,148,37,32,45,40,59,40,61,66,83,64,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 9th to 13th April 2020,Granada,220,105,115,27,22,41,36,34,26,56,65,51,53,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 9th to 13th April 2020,London,407,205,202,65,56,59,54,63,69,97,151,122,62,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 9th to 13th April 2020,Meridian,207,100,107,23,19,36,35,38,26,50,47,58,42,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 9th to 13th April 2020,STV,166,91,74,19,19,33,30,29,21,34,43,44,22,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 9th to 13th April 2020,Tyne Tees,82,48,35,12,12,11,14,16,15,15,19,22,22,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 9th to 13th April 2020,Wales,101,51,50,13,10,20,17,15,13,23,18,35,23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 9th to 13th April 2020,West,65,32,34,20,20,13,7,6,7,12,20,23,8,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 9th to 13th April 2020,Westcountry,108,51,58,15,15,16,15,10,21,31,25,33,25,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 9th to 13th April 2020,Yorkshire,207,89,118,34,31,33,37,34,24,45,58,58,38,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 109,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 9th to 13th April 2020,UTV,63,30,33,4,4,8,14,10,16,10,19,21,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 159,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 159,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 159,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 11th to 13th September 2020,Anglia,206,92,114,33,26,31,35,40,27,40,41,62,39,63,2,-,-,-,-,23,-,160,1,20,-,-,204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 159,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 11th to 13th September 2020,Border,19,8,11,-,-,5,1,5,2,6,4,2,5,8,7,-,12,-,-,-,-,-,-,1,-,-,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 159,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 11th to 13th September 2020,Central,270,146,124,44,35,45,37,48,35,62,57,83,73,58,2,-,3,-,166,90,-,1,1,3,4,-,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 159,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 11th to 13th September 2020,Granada,221,107,114,21,18,44,39,42,30,47,59,52,47,63,-,1,213,-,-,2,3,-,-,1,2,-,218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 159,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 11th to 13th September 2020,London,400,187,213,70,64,80,47,59,56,88,123,130,63,84,-,-,-,-,-,4,-,36,275,81,4,-,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 159,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 11th to 13th September 2020,Meridian,201,104,98,27,26,25,33,38,29,50,62,54,46,40,-,1,-,-,1,2,-,-,-,179,19,-,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 159,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 11th to 13th September 2020,STV,167,91,76,15,13,29,39,28,25,31,48,40,32,46,164,-,-,-,-,-,-,-,-,1,2,-,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 159,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 159,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 11th to 13th September 2020,Tyne Tees,83,37,47,11,11,11,10,10,19,23,28,24,11,20,-,81,-,2,-,-,-,-,-,-,-,-,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 159,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 11th to 13th September 2020,Wales,96,47,49,13,11,14,17,14,13,25,25,28,17,25,-,-,-,-,-,-,95,-,-,-,1,-,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 159,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 11th to 13th September 2020,West,68,32,36,15,13,19,8,6,7,12,24,18,14,12,1,-,5,-,15,-,2,-,-,1,45,-,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 159,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 11th to 13th September 2020,Westcountry,103,55,48,9,5,13,14,22,15,28,27,25,26,26,-,-,-,-,1,-,-,-,-,-,102,-,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 159,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 11th to 13th September 2020,Yorkshire,201,95,106,31,25,27,35,29,32,46,51,48,49,53,-,1,-,169,1,30,-,-,-,-,-,-,201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 159,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 11th to 13th September 2020,UTV,63,25,37,1,1,8,9,20,11,13,21,25,4,13,-,-,-,-,-,-,-,-,-,-,-,63,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 100,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 100,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 100,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 17th to 19th April 2020,Anglia,226,110,116,30,27,35,42,40,33,47,56,61,44,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 100,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 17th to 19th April 2020,Border,27,9,18,*,*,9,2,3,4,8,8,4,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 100,Which of the following ITV regions do you live in?,ONLINE Fieldwork: 17th to 19th April 2020,Central,260,146,114,46,43,47,24,54,41,49,73,68,54,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
