date,area_type,area_code,area_name,metric,metric_name,value
2022-01-01,nation,E92000001,England,maleCases,Male cases,453846
2022-01-01,nation,E92000001,England,maleCases,Male cases,490356
2022-01-01,nation,E92000001,England,maleCases,Male cases,41935
2022-01-01,nation,E92000001,England,maleCases,Male cases,443288
2022-01-01,nation,E92000001,England,maleCases,Male cases,80263
2022-01-01,nation,E92000001,England,maleCases,Male cases,375842
2022-01-01,nation,E92000001,England,maleCases,Male cases,114069
2022-01-01,nation,E92000001,England,maleCases,Male cases,226057
2022-01-01,nation,E92000001,England,maleCases,Male cases,329783
2022-01-01,nation,E92000001,England,maleCases,Male cases,489848
2022-01-01,nation,E92000001,England,maleCases,Male cases,317123
2022-01-01,nation,E92000001,England,maleCases,Male cases,144011
2022-01-01,nation,E92000001,England,maleCases,Male cases,428765
2022-01-01,nation,E92000001,England,maleCases,Male cases,530446
2022-01-01,nation,E92000001,England,maleCases,Male cases,512784
2022-01-01,nation,E92000001,England,maleCases,Male cases,27255
2022-01-01,nation,E92000001,England,maleCases,Male cases,397278
2022-01-01,nation,E92000001,England,maleCases,Male cases,130754
2022-01-01,nation,E92000001,England,maleCases,Male cases,57994
2022-01-02,nation,E92000001,England,maleCases,Male cases,146040
2022-01-02,nation,E92000001,England,maleCases,Male cases,380721
2022-01-02,nation,E92000001,England,maleCases,Male cases,27439
2022-01-02,nation,E92000001,England,maleCases,Male cases,115617
2022-01-02,nation,E92000001,England,maleCases,Male cases,534050
2022-01-02,nation,E92000001,England,maleCases,Male cases,458284
2022-01-02,nation,E92000001,England,maleCases,Male cases,42265
2022-01-02,nation,E92000001,England,maleCases,Male cases,321401
2022-01-02,nation,E92000001,England,maleCases,Male cases,132174
2022-01-02,nation,E92000001,England,maleCases,Male cases,229171
2022-01-02,nation,E92000001,England,maleCases,Male cases,519993
2022-01-02,nation,E92000001,England,maleCases,Male cases,332753
2022-01-02,nation,E92000001,England,maleCases,Male cases,496333
2022-01-02,nation,E92000001,England,maleCases,Male cases,401963
2022-01-02,nation,E92000001,England,maleCases,Male cases,434048
2022-01-02,nation,E92000001,England,maleCases,Male cases,81307
2022-01-02,nation,E92000001,England,maleCases,Male cases,497510
2022-01-02,nation,E92000001,England,maleCases,Male cases,449299
2022-01-02,nation,E92000001,England,maleCases,Male cases,58615
2022-01-03,nation,E92000001,England,maleCases,Male cases,504986
2022-01-03,nation,E92000001,England,maleCases,Male cases,134051
2022-01-03,nation,E92000001,England,maleCases,Male cases,529672
2022-01-03,nation,E92000001,England,maleCases,Male cases,148547
2022-01-03,nation,E92000001,England,maleCases,Male cases,407897
2022-01-03,nation,E92000001,England,maleCases,Male cases,386846
2022-01-03,nation,E92000001,England,maleCases,Male cases,440806
2022-01-03,nation,E92000001,England,maleCases,Male cases,456897
2022-01-03,nation,E92000001,England,maleCases,Male cases,59371
2022-01-03,nation,E92000001,England,maleCases,Male cases,27702
2022-01-03,nation,E92000001,England,maleCases,Male cases,82591
2022-01-03,nation,E92000001,England,maleCases,Male cases,42740
2022-01-03,nation,E92000001,England,maleCases,Male cases,539002
2022-01-03,nation,E92000001,England,maleCases,Male cases,326805
2022-01-03,nation,E92000001,England,maleCases,Male cases,464123
2022-01-03,nation,E92000001,England,maleCases,Male cases,336657
2022-01-03,nation,E92000001,England,maleCases,Male cases,233053
2022-01-03,nation,E92000001,England,maleCases,Male cases,506582
2022-01-03,nation,E92000001,England,maleCases,Male cases,117539
2022-01-04,nation,E92000001,England,maleCases,Male cases,414912
2022-01-04,nation,E92000001,England,maleCases,Male cases,237825
2022-01-04,nation,E92000001,England,maleCases,Male cases,516047
2022-01-04,nation,E92000001,England,maleCases,Male cases,472415
2022-01-04,nation,E92000001,England,maleCases,Male cases,84195
2022-01-04,nation,E92000001,England,maleCases,Male cases,541593
2022-01-04,nation,E92000001,England,maleCases,Male cases,517486
