date,area_type,area_code,area_name,metric,metric_name,value
2020-06-01,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,27.0
2020-06-01,region,E12000009,South West,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,9.6
2020-06-01,region,E12000001,North East,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,18.7
2020-06-01,region,E12000007,London,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,4.5
2020-06-01,region,E12000008,South East,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,13.1
2020-06-01,region,E12000005,West Midlands,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,16.3
2020-06-01,region,E12000002,North West,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,26.5
2020-06-01,region,E12000004,East Midlands,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,25.2
2020-06-01,region,E12000006,East of England,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,14.5
2020-06-02,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,26.4
2020-06-02,region,E12000006,East of England,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,14.2
2020-06-02,region,E12000004,East Midlands,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,26.4
2020-06-02,region,E12000001,North East,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,17.1
2020-06-02,region,E12000008,South East,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,13.5
2020-06-02,region,E12000009,South West,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,9.0
2020-06-02,region,E12000002,North West,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,26.3
2020-06-02,region,E12000005,West Midlands,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,15.9
2020-06-02,region,E12000007,London,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,4.3
2020-06-03,region,E12000002,North West,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,25.7
2020-06-03,region,E12000008,South East,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,12.8
2020-06-03,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,25.5
2020-06-03,region,E12000001,North East,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,14.7
2020-06-03,region,E12000005,West Midlands,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,14.7
2020-06-03,region,E12000007,London,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,4.3
2020-06-03,region,E12000004,East Midlands,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,25.9
2020-06-03,region,E12000009,South West,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,8.4
2020-06-03,region,E12000006,East of England,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,13.8
2020-06-04,region,E12000002,North West,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,24.5
2020-06-04,region,E12000008,South East,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,12.3
2020-06-04,region,E12000004,East Midlands,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,25.0
2020-06-04,region,E12000005,West Midlands,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,14.4
2020-06-04,region,E12000001,North East,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,15.0
2020-06-04,region,E12000007,London,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,4.1
2020-06-04,region,E12000006,East of England,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,12.7
2020-06-04,region,E12000003,Yorkshire and The Humber,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,23.8
2020-06-04,region,E12000009,South West,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,7.5
2020-06-05,region,E12000007,London,newCasesBySpecimenDateRollingRate,New cases rolling rate by specimen date,4.0
