date,area_type,area_code,area_name,metric,metric_name,value
2020-10-31,region,E12000009,South West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,1.0
2020-11-01,region,E12000009,South West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-02,region,E12000009,South West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-03,region,E12000009,South West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-04,region,E12000009,South West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-05,region,E12000009,South West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-06,region,E12000009,South West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-06,region,E12000002,North West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,3.0
2020-11-07,region,E12000009,South West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-07,region,E12000002,North West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,4.0
2020-11-08,region,E12000002,North West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,4.0
2020-11-08,region,E12000009,South West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-09,region,E12000009,South West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-09,region,E12000002,North West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,2.0
2020-11-10,region,E12000006,East of England,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,1.0
2020-11-10,region,E12000003,Yorkshire and The Humber,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,1.0
2020-11-10,region,E12000009,South West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-10,region,E12000002,North West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,4.0
2020-11-11,region,E12000009,South West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-11,region,E12000006,East of England,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-11,region,E12000003,Yorkshire and The Humber,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-11,region,E12000002,North West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,3.0
2020-11-12,region,E12000002,North West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,8.0
2020-11-12,region,E12000009,South West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-12,region,E12000006,East of England,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-12,region,E12000003,Yorkshire and The Humber,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,1.0
2020-11-12,region,E12000005,West Midlands,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,1.0
2020-11-13,region,E12000005,West Midlands,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-13,region,E12000004,East Midlands,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,1.0
2020-11-13,region,E12000003,Yorkshire and The Humber,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-13,region,E12000002,North West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,4.0
2020-11-13,region,E12000006,East of England,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-13,region,E12000009,South West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-14,region,E12000005,West Midlands,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-14,region,E12000008,South East,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,1.0
2020-11-14,region,E12000006,East of England,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-14,region,E12000003,Yorkshire and The Humber,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-14,region,E12000002,North West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,4.0
2020-11-14,region,E12000004,East Midlands,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-14,region,E12000009,South West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-15,region,E12000006,East of England,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-15,region,E12000005,West Midlands,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
2020-11-15,region,E12000002,North West,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,4.0
2020-11-15,region,E12000004,East Midlands,newCasesLFDConfirmedPCRBySpecimenDate,New cases LFD confirmed by PCR by specimen date,0.0
