date,area_type,area_code,area_name,metric,metric_name,value
2020-12-08,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-08,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-09,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-09,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-10,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-10,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-11,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-11,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-12,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-12,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-13,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-13,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-14,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-14,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-15,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-15,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-16,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-16,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-17,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-17,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-18,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-18,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-19,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-19,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-20,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-20,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-21,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-21,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-22,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-22,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-23,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-23,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-24,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-24,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-25,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-25,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-26,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-26,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-27,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-27,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-28,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-28,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-29,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
2020-12-29,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-30,nation,E92000001,England,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,56709161.0
2020-12-30,nation,S92000003,Scotland,VaccineRegisterPopulationByVaccinationDate,Vaccination register (NIMS) population by vaccination date,4783352.0
