date,area_type,area_code,area_name,metric,metric_name,value
2021-01-11,nation,N92000002,Northern Ireland,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,1339.0
2021-01-11,nation,E92000001,England,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,19312.0
2021-01-11,nation,W92000004,Wales,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,18.0
2021-01-11,nation,S92000003,Scotland,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,99.0
2021-01-12,nation,N92000002,Northern Ireland,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,2552.0
2021-01-12,nation,S92000003,Scotland,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,133.0
2021-01-12,nation,W92000004,Wales,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,11.0
2021-01-12,nation,E92000001,England,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,13369.0
2021-01-13,nation,W92000004,Wales,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,13.0
2021-01-13,nation,E92000001,England,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,8362.0
2021-01-13,nation,S92000003,Scotland,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,200.0
2021-01-13,nation,N92000002,Northern Ireland,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,1170.0
2021-01-14,nation,N92000002,Northern Ireland,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,254.0
2021-01-14,nation,E92000001,England,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,4854.0
2021-01-14,nation,S92000003,Scotland,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,141.0
2021-01-14,nation,W92000004,Wales,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,8.0
2021-01-15,nation,W92000004,Wales,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,
2021-01-15,nation,N92000002,Northern Ireland,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,210.0
2021-01-15,nation,S92000003,Scotland,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,181.0
2021-01-15,nation,E92000001,England,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,3817.0
2021-01-16,nation,E92000001,England,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,1775.0
2021-01-16,nation,S92000003,Scotland,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,145.0
2021-01-16,nation,N92000002,Northern Ireland,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,700.0
2021-01-16,nation,W92000004,Wales,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,
2021-01-17,nation,E92000001,England,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,1284.0
2021-01-17,nation,N92000002,Northern Ireland,newPeopleVaccinatedCompleteByPublishDate,New people vaccinated complete by publish date,842.0
