date,area_type,area_code,area_name,metric,metric_name,value
2021-01-03,nation,N92000002,Northern Ireland,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,9669.0
2021-01-03,nation,S92000003,Scotland,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,21446.0
2021-01-03,nation,E92000001,England,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,330037.0
2021-01-03,nation,W92000004,Wales,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,14205.0
2021-01-10,nation,E92000001,England,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,955190.0
2021-01-10,nation,N92000002,Northern Ireland,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,37320.0
2021-01-10,nation,W92000004,Wales,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,41726.0
2021-01-10,nation,S92000003,Scotland,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,51421.0
2021-01-17,nation,E92000001,England,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,1610916.0
2021-01-17,nation,N92000002,Northern Ireland,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,47712.0
2021-01-17,nation,W92000004,Wales,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,67856.0
2021-01-17,nation,S92000003,Scotland,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,104860.0
2021-01-24,nation,E92000001,England,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,2250736.0
2021-01-24,nation,N92000002,Northern Ireland,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,33925.0
2021-01-24,nation,W92000004,Wales,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,125839.0
2021-01-24,nation,S92000003,Scotland,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,153948.0
2021-01-31,nation,S92000003,Scotland,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,167451.0
2021-01-31,nation,E92000001,England,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,2204262.0
2021-01-31,nation,N92000002,Northern Ireland,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,62167.0
2021-01-31,nation,W92000004,Wales,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,153191.0
2021-02-07,nation,N92000002,Northern Ireland,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,81669.0
2021-02-07,nation,W92000004,Wales,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,182058.0
2021-02-07,nation,S92000003,Scotland,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,291040.0
2021-02-07,nation,E92000001,England,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,2406601.0
2021-02-14,nation,N92000002,Northern Ireland,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,93765.0
2021-02-14,nation,W92000004,Wales,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,171920.0
2021-02-14,nation,E92000001,England,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,2309588.0
2021-02-14,nation,S92000003,Scotland,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,382038.0
2021-02-21,nation,W92000004,Wales,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,Weekly people vaccinated 1st dose by vaccination date,74779.0
