date,confirmed,deaths,recovered,confirmed_diff,deaths_diff,recovered_diff,active,active_diff,fatality_rate
2020-06-11,191103,41279,0,0,0,0,149824,0,0.6007
2020-06-12,191615,41481,0,512,202,0,150134,310,0.6013999999999999
2020-06-13,192056,41662,0,441,181,0,150394,260,0.602
2020-06-14,192419,41698,0,363,36,0,150721,327,0.6022000000000001
2020-06-15,192636,41736,0,217,38,0,150900,179,0.6025
2020-06-16,192965,41969,0,329,233,0,150996,96,0.6036
2020-06-17,193293,42153,0,328,184,0,151140,144,0.6047
2020-06-18,193629,42288,0,336,135,0,151341,201,0.6058
2020-06-19,194010,42461,0,381,173,0,151549,208,0.6062000000000001
2020-06-20,194374,42589,0,364,128,0,151785,236,0.6068
2020-06-21,194710,42632,0,336,43,0,152078,293,0.6062
2020-06-22,194970,42647,0,260,15,0,152323,245,0.6056
2020-06-23,195288,42927,0,318,280,0,152361,38,0.6066
2020-06-24,195451,43081,0,163,154,0,152370,9,0.6078
2020-06-25,195838,43230,0,387,149,0,152608,238,0.6083000000000001
2020-06-26,196172,43414,0,334,184,0,152758,150,0.6087
2020-06-27,196418,43514,0,246,100,0,152904,146,0.6091
2020-06-28,196587,43550,0,169,36,0,153037,133,0.6092000000000001
2020-06-29,196806,43575,0,219,25,0,153231,194,0.6089
2020-06-30,197032,43730,0,226,155,0,153302,71,0.6097
2020-07-01,197246,43906,0,214,176,0,153340,38,0.6108
2020-07-03,284276,44131,0,519,136,0,240145,383,0.4904
2020-07-04,284900,44198,0,624,67,0,240702,557,0.4906
2020-07-05,285416,44220,0,516,22,0,241196,494,0.4902
2020-07-06,285768,44236,0,352,16,0,241532,336,0.4899
2020-07-07,286349,44391,0,581,155,0,241958,426,0.49019999999999997
2020-07-08,286979,44517,0,630,126,0,242462,504,0.4904
2020-07-10,288133,44650,0,3850,48,0,243483,3802,0.4899
2020-07-11,288953,44798,0,820,148,0,244155,672,0.49
2020-07-12,289603,44809,0,650,11,0,244794,639,0.48760000000000003
2020-07-13,290133,44830,0,530,21,0,245303,509,0.4888
2020-07-14,291373,44968,0,1240,138,0,246405,1102,0.4845
2020-07-15,291911,45053,0,538,85,0,246858,453,0.4844
2020-07-16,292552,45119,0,641,66,0,247433,575,0.4838
2020-07-17,293239,45233,0,687,114,0,248006,573,0.4834
2020-07-18,294066,45273,0,827,40,0,248793,787,0.4828
2020-07-19,294792,45300,0,726,27,0,249492,699,0.4823
2020-07-20,295372,45312,0,580,12,0,250060,568,0.4814
2020-07-21,295817,45422,0,445,110,0,250395,335,0.4813
2020-07-22,296377,45501,0,560,79,0,250876,481,0.48109999999999997
2020-07-23,297146,45554,0,769,53,0,251592,716,0.4803
2020-07-24,297914,45677,0,768,123,0,252237,645,0.4798
2020-07-25,298681,45738,0,767,61,0,252943,706,0.47919999999999996
2020-07-26,299426,45752,0,745,14,0,253674,731,0.4788
2020-07-27,300111,45759,0,685,7,0,254352,678,0.4778
2020-07-28,300658,45878,0,547,119,0,254780,428,0.4779
2020-07-29,301455,45961,0,797,83,0,255494,714,0.4773
2020-07-30,302301,45999,0,846,38,0,256302,808,0.4766
2020-07-31,303181,46119,0,880,120,0,257062,760,0.4764
2020-08-01,303942,46193,0,761,74,0,257749,687,0.4762
2020-08-02,304685,46201,0,743,8,0,258484,735,0.47559999999999997
2020-08-03,305623,46210,0,938,9,0,259413,929,0.4743
2020-08-04,305623,46210,0,0,0,0,259413,0,0.4743
2020-08-05,305623,46210,0,0,0,0,259413,0,0.4743
2020-08-06,308134,46413,0,2511,203,0,261721,2308,0.4716
2020-08-07,309005,46511,0,871,98,0,262494,773,0.4714
2020-08-08,309763,46566,0,758,55,0,263197,703,0.4707
2020-08-09,310825,46574,0,1062,8,0,264251,1054,0.4696
2020-08-10,311641,46526,0,816,-48,0,265115,864,0.46769999999999995
2020-08-11,311641,46526,0,0,0,0,265115,0,0.46769999999999995
2020-08-12,313798,46706,0,2157,180,0,267092,1977,0.4658
2020-08-13,313798,46706,0,0,0,0,267092,0,0.4658
2020-08-14,313798,46706,0,0,0,0,267092,0,0.4658
2020-08-15,317379,46706,0,3581,0,0,270673,3581,0.4613
2020-08-16,318484,46706,0,1105,0,0,271778,1105,0.4593
2020-08-17,319197,41369,0,713,-5337,0,277828,6050,0.4391
2020-08-18,320286,41381,0,1089,12,0,278905,1077,0.4378
2020-08-19,321098,41397,0,812,16,0,279701,796,0.4367
2020-08-20,322280,41403,0,1182,6,0,280877,1176,0.435
2020-08-21,323313,41405,0,1033,2,0,281908,1031,0.4336
2020-08-22,324601,41423,0,1288,18,0,283178,1270,0.43129999999999996
2020-08-23,325642,41429,0,1041,6,0,284213,1035,0.4304
2020-08-24,326614,41433,0,972,4,0,285181,968,0.4281
2020-08-25,327798,41449,0,1184,16,0,286349,1168,0.4265
2020-08-26,328846,41465,0,1048,16,0,287381,1032,0.425
2020-08-27,330368,41477,0,1522,12,0,288891,1510,0.4232
2020-08-28,331644,41486,0,1276,9,0,290158,1267,0.42110000000000003
2020-08-29,332752,41498,0,1108,12,0,291254,1096,0.4192
2020-08-30,334467,41499,0,1715,1,0,292968,1714,0.4168
2020-08-31,335873,41501,0,1406,2,0,294372,1404,0.4147
2020-09-01,337168,41504,0,1295,3,0,295664,1292,0.41269999999999996
2020-09-02,338676,41514,0,1508,10,0,297162,1498,0.41059999999999997
2020-09-03,340411,41527,0,1735,13,0,298884,1722,0.40850000000000003
2020-09-04,342351,41537,0,1940,10,0,300814,1930,0.4063
2020-09-05,344164,41549,0,1813,12,0,302615,1801,0.4033
2020-09-06,347152,41551,0,2988,2,0,305601,2986,0.3997
2020-09-07,350100,41554,0,2948,3,0,308546,2945,0.3961
2020-09-08,352560,41586,0,2460,32,0,310974,2428,0.3937
2020-09-09,355219,41594,0,2659,8,0,313625,2651,0.3908
2020-09-10,358138,41608,0,2919,14,0,316530,2905,0.388
2020-09-11,361677,41614,0,3539,6,0,320063,3533,0.3845
2020-09-12,365174,41623,0,3497,9,0,323551,3488,0.3807
2020-09-13,368504,41628,0,3330,5,0,326876,3325,0.3771
2020-09-14,371125,41637,0,2621,9,0,329488,2612,0.3746
2020-09-15,374228,41664,0,3103,27,0,332564,3076,0.3714
2020-09-16,378219,41684,0,3991,20,0,336535,3971,0.3675
2020-09-17,381614,41705,0,3395,21,0,339909,3374,0.3637
2020-09-18,385936,41732,0,4322,27,0,344204,4295,0.3599
2020-09-19,390358,41759,0,4422,27,0,348599,4395,0.355
2020-09-20,394257,41777,0,3899,18,0,352480,3881,0.3511
2020-09-21,398625,41788,0,4368,11,0,356837,4357,0.3475
2020-09-22,403551,41825,0,4926,37,0,361726,4889,0.3433
2020-09-23,409729,41862,0,6178,37,0,367867,6141,0.3373
2020-09-24,416363,41902,0,6634,40,0,374461,6594,0.3318
2020-09-25,423236,41936,0,6873,34,0,381300,6839,0.3257
2020-09-26,429277,41971,0,6041,35,0,387306,6006,0.3194
2020-09-27,434969,41988,0,5692,17,0,392981,5675,0.3151
2020-09-28,439013,42001,0,4044,13,0,397012,4031,0.3115
2020-09-29,446156,42072,0,7143,71,0,404084,7072,0.30510000000000004
2020-09-30,453264,42143,0,7108,71,0,411121,7037,0.2994
2020-10-01,460178,42202,0,6914,59,0,417976,6855,0.2945
2020-10-02,467146,42268,0,6968,66,0,424878,6902,0.287
2020-10-03,480017,42317,0,12871,49,0,437700,12822,0.279
2020-10-04,502978,42350,0,22961,33,0,460628,22928,0.27040000000000003
2020-10-05,515571,42369,0,12593,19,0,473202,12574,0.2635
2020-10-06,530113,42445,0,14542,76,0,487668,14466,0.2572
2020-10-07,544275,42515,0,14162,70,0,501760,14092,0.2497
2020-10-08,561815,42592,0,17540,77,0,519223,17463,0.2421
2020-10-09,575679,42679,0,13864,87,0,533000,13777,0.2348
2020-10-10,590844,42760,0,15165,81,0,548084,15084,0.22920000000000001
2020-10-11,603716,42825,0,12872,65,0,560891,12807,0.2239
2020-10-12,617688,42875,0,13972,50,0,574813,13922,0.21889999999999998
2020-10-13,634920,43018,0,17232,143,0,591902,17089,0.2135
2020-10-14,654644,43155,0,19724,137,0,611489,19587,0.2073
2020-10-15,673622,43293,0,18978,138,0,630329,18840,0.2026
2020-10-16,689257,43429,0,15635,136,0,645828,15499,0.1974
2020-10-17,705428,43579,0,16171,150,0,661849,16021,0.19340000000000002
2020-10-18,722409,43646,0,16981,67,0,678763,16914,0.1896
2020-10-19,741212,43726,0,18803,80,0,697486,18723,0.1856
2020-10-20,762542,43967,0,21330,241,0,718575,21089,0.18130000000000002
2020-10-21,789229,44158,0,26687,191,0,745071,26496,0.1768
2020-10-22,810467,44347,0,21238,189,0,766120,21049,0.1724
2020-10-23,830998,44571,0,20531,224,0,786427,20307,0.1693
2020-10-24,854010,44745,0,23012,174,0,809265,22838,0.1655
2020-10-25,873800,44896,0,19790,151,0,828904,19639,0.162
2020-10-26,894690,44998,0,20890,102,0,849692,20788,0.15889999999999999
2020-10-27,917575,45365,0,22885,367,0,872210,22518,0.1563
2020-10-28,942275,45675,0,24700,310,0,896600,24390,0.1542
2020-10-29,965340,45955,0,23065,280,0,919385,22785,0.1521
