col1,col2,col3,col4,col5,col6
,,,,,
8 to 23 year olds, , , ,, 
 ,8 to 10 year olds,,,,
 ,2017,2020,2021,2022,2023
 ,%,%,%,%,%
 , , , ,, 
All, , , ,, 
Unlikely to have a disorder,75.771213510442,74.2597793439009,74.6996536343733,71.8577153480544,72.227267168608
Possible disorder,12.9962483151784,9.7083806859394,7.55868797656781,11.3042838803803,12.1077148248046
Probable disorder,11.2325381743796,16.0318399701597,17.7416583890589,16.8380007715654,15.6650180065874
 ,,,,,
Boys/young men,,,,,
Unlikely to have a disorder,70.3126757116213,68.7329050459036,71.192450449121,67.0808919359119,65.7038184299751
Possible disorder,16.4122070702663,11.2679067955348,7.95258607605427,12.6294078015435,16.6222911715752
Probable disorder,13.2751172181126,19.9991881585617,20.8549634748246,20.2897002625448,17.6738903984497
 ,,,,,
Girls/young women,,,,,
Unlikely to have a disorder,81.8378385626479,79.9012011572859,78.0199344345589,76.8287511477654,79.0856530848094
Possible disorder,9.1997479107305,8.1165325383522,7.18578334918435,9.92528409688162,7.36134399016591
Probable disorder,8.9624135266217,11.9822663043621,14.7942822162568,13.2459647553529,13.5530029250247
 , , , , , 
Base, , , , , 
All,1739,745,773,718.000000000001,546
Boys/young men,891,370,390,362.999999999999,277
Girls/young women,848,375,383,355,269
 , , , ,, 
,,,,,
,,,,,
,,,,,
