start_date,end_date,question,response,total,male,female,16-24,18-24,25-34,35-44,45-54,55-64,65+,class_upper_and_middle,class_lower_middle,class_skilled_working,class_working_class_lowest_grade,scotland,north_east,north_west,yorkshire_&_humberside,west_midlands,east_midlands,wales,eastern,london,south_east,south_west,northern_ireland,net:_england
2020-12-04,2020-12-06,how_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_have_been_reported,Reported / described as a true claim,217,95,123,27,26,38,42,39,20,52,53,57,45,62,20,11,25,15,21,15,3,19,30,28,20,10,184
2020-12-04,2020-12-06,how_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_have_been_reported,Unclear whether true or false,226,100,126,24,20,42,42,34,43,41,51,64,54,58,20,14,23,19,28,16,13,23,28,27,13,4,190
2020-12-04,2020-12-06,how_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_have_been_reported,Unweighted base,480,230,250,54,50,87,85,77,73,104,128,134,84,134,43,22,47,37,51,34,22,50,69,59,30,16,399
2020-12-04,2020-12-06,how_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_have_been_reported,Weighted base,478,217,261,55,51,87,91,74,68,103,129,127,100,121,42,24,53,35,49,31,18,48,68,61,35,14,404
2020-12-04,2020-12-06,how_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_have_been_reported,Reported / described as a false claim,88,48,41,14,13,18,11,14,16,16,34,23,13,19,6,1,10,5,4,9,2,9,23,12,6,1,80
2021-01-15,2021-01-17,how_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_have_been_reported,Unclear whether true or false,182,76,106,34,32,30,36,35,20,27,50,58,34,39,18,5,19,15,14,20,6,21,28,18,13,4,154
2021-01-15,2021-01-17,how_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_have_been_reported,Reported / described as a false claim,136,62,74,30,27,24,25,22,15,20,51,29,31,26,10,5,19,13,21,6,4,9,10,24,12,3,119
2021-01-15,2021-01-17,how_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_have_been_reported,Reported / described as a true claim,172,81,91,40,36,24,26,28,27,28,47,51,36,38,12,8,18,13,23,10,9,14,20,18,18,7,144
2021-01-15,2021-01-17,how_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_have_been_reported,Weighted base,433,192,241,87,78,68,78,70,60,70,131,125,83,95,36,15,46,35,47,32,18,39,52,56,41,15,364
2021-01-15,2021-01-17,how_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_have_been_reported,Unweighted base,437,192,245,77,71,64,84,75,64,73,121,138,71,107,33,19,44,34,42,37,23,37,59,56,40,13,368
2021-02-12,2021-02-14,how_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_have_been_reported,Reported / described as a true claim,177,83,94,29,27,29,35,24,26,34,45,35,51,45,18,7,22,22,11,11,6,16,22,18,12,10,143
2021-02-12,2021-02-14,how_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_have_been_reported,Weighted base,387,173,215,61,59,59,71,57,51,88,108,93,99,86,31,12,46,39,31,27,15,27,58,58,27,17,325
2021-02-12,2021-02-14,how_claims_stating_that_the_flu_alone_is_killing_more_people_than_coronavirus_have_been_reported,Unweighted base,369,163,206,47,45,54,65,64,51,88,111,99,72,87,27,17,36,32,28,29,20,26,62,53,23,16,306
