table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 371,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,1038,1055,264,232,340,332,333,308,516,585,546,430,532,195,78,247,150,170,165,105,217,289,243,173,61,341,911,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 371,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 371,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Scotland,175,96,79,17,16,27,39,31,21,38,43,54,33,44,175,-,-,-,-,-,-,-,-,-,-,-,41,70,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 371,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,North East,83,47,37,8,8,11,18,19,6,21,22,29,16,16,-,83,-,-,-,-,-,-,-,-,-,-,17,32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 371,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,North West,231,109,122,26,25,46,34,37,39,50,58,50,56,68,-,-,231,-,-,-,-,-,-,-,-,-,41,81,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 371,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Yorkshire & Humberside,171,84,87,24,21,21,34,39,21,32,40,46,32,52,-,-,-,171,-,-,-,-,-,-,-,-,25,83,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 371,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,West Midlands,183,88,95,24,19,36,38,29,12,44,37,50,49,47,-,-,-,-,183,-,-,-,-,-,-,-,31,68,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 371,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,East Midlands,150,82,68,17,14,25,29,20,26,33,40,46,23,42,-,-,-,-,-,150,-,-,-,-,-,-,24,56,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 371,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Wales,99,51,48,16,12,12,14,13,12,32,21,26,20,32,-,-,-,-,-,-,99,-,-,-,-,-,12,27,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 371,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 371,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Eastern,197,94,103,23,19,28,24,41,37,45,59,46,45,48,-,-,-,-,-,-,-,197,-,-,-,-,26,87,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 371,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,London,276,141,135,54,45,51,31,42,43,55,89,90,45,52,-,-,-,-,-,-,-,-,276,-,-,-,44,121,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 371,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,South East,286,117,169,52,42,55,32,48,33,66,81,82,59,64,-,-,-,-,-,-,-,-,-,286,-,-,32,133,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 371,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,South West,179,97,82,28,25,23,23,25,36,45,61,54,36,28,-,-,-,-,-,-,-,-,-,-,179,-,22,70,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 371,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Northern Ireland,63,18,45,-,-,14,8,16,15,9,19,18,11,15,-,-,-,-,-,-,-,-,-,-,-,63,15,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 372,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1761,1021,1578,636,720,808,178,613,163,163,562,625,1859,35,687,244,99,834,656,,,,,,,,,,,,,,,,,,,,,,,,
Table 372,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,,,,,,,
Table 372,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Scotland,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,100,130,50,76,90,19,71,10,16,47,53,154,2,44,23,4,66,57,,,,,,,,,,,,,,,,,,,,,,,,
Table 372,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,North East,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,51,68,27,33,34,5,25,5,8,24,32,80,-,34,10,6,39,17,,,,,,,,,,,,,,,,,,,,,,,,
Table 372,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,North West,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,114,169,66,76,94,17,67,20,15,49,69,207,2,78,18,9,88,71,,,,,,,,,,,,,,,,,,,,,,,,
Table 372,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Yorkshire & Humberside,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135,77,121,53,67,66,19,50,15,16,40,54,145,4,49,22,14,58,63,,,,,,,,,,,,,,,,,,,,,,,,
Table 372,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,West Midlands,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,91,137,49,59,64,12,50,11,15,46,51,161,5,55,26,13,72,60,,,,,,,,,,,,,,,,,,,,,,,,
Table 372,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,East Midlands,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,63,114,38,46,60,15,45,13,12,41,43,133,*,50,18,8,58,49,,,,,,,,,,,,,,,,,,,,,,,,
Table 372,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Wales,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,58,72,27,28,28,9,24,6,6,26,22,88,2,37,8,1,38,25,,,,,,,,,,,,,,,,,,,,,,,,
Table 372,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Eastern,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164,79,151,65,67,75,11,57,11,11,54,57,176,5,68,22,10,62,67,,,,,,,,,,,,,,,,,,,,,,,,
Table 372,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,London,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224,137,200,93,97,95,29,55,33,26,78,78,236,5,87,34,11,123,87,,,,,,,,,,,,,,,,,,,,,,,,
Table 372,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,South East,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,124,217,83,84,114,28,94,20,22,87,91,252,3,93,46,11,109,97,,,,,,,,,,,,,,,,,,,,,,,,
Table 372,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1752,1015,1563,620,724,814,182,617,156,163,565,620,1854,32*,682,244,99*,808,672,,,,,,,,,,,,,,,,,,,,,,,,
Table 372,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,South West,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,81,145,46,70,69,14,54,10,12,53,48,163,2,68,16,10,77,50,,,,,,,,,,,,,,,,,,,,,,,,
Table 372,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Northern Ireland,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,41,40,21,20,25,2,24,2,2,21,22,58,2,19,1,2,19,29,,,,,,,,,,,,,,,,,,,,,,,,
Table 373,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202,168,145,133,273,124,105,691,785,691,450,1682,479,1876,1969,2019,2092,-,,,,,,
Table 373,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,780,697,443,1670,478,1876,1974,2021,2092,-**,,,,,,
Table 373,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Scotland,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11,7,6,21,5,6,62,63,57,25,137,33,157,163,167,175,-,,,,,,
Table 373,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,North East,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,5,1,13,5,3,26,43,28,21,74,26,78,81,82,83,-,,,,,,
Table 373,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,North West,231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,24,25,20,31,13,12,75,97,76,52,189,73,207,213,221,231,-,,,,,,
Table 373,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Yorkshire & Humberside,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,9,6,8,21,11,7,52,63,53,48,125,33,158,160,166,171,-,,,,,,
Table 373,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,West Midlands,183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,17,12,10,15,10,7,67,69,62,38,140,40,164,168,176,183,-,,,,,,
Table 373,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,East Midlands,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9,11,13,21,8,2,47,57,61,39,112,34,129,142,146,150,-,,,,,,
Table 373,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Wales,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,12,10,9,11,8,7,25,33,28,18,74,15,91,97,99,99,-,,,,,,
Table 373,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Eastern,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,7,11,25,7,5,64,63,59,36,165,30,172,187,191,197,-,,,,,,
Table 373,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,London,276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,29,21,14,41,21,19,102,98,99,47,207,81,245,258,258,276,-,,,,,,
Table 373,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,South East,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,25,24,25,38,19,21,95,104,93,67,245,59,262,273,280,285,-,,,,,,
Table 373,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,South West,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,7,8,11,24,8,10,55,72,60,43,145,39,155,174,174,179,-,,,,,,
Table 373,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201,164,140,129,267,117,101*,686,780,697,443,1670,478,1876,1974,2021,2092,-**,,,,,,
Table 373,GO Region,ONLINE Fieldwork: 22nd to 24th May 2020,Northern Ireland,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,2,7,2,3,17,18,21,8,56,15,58,60,61,63,-,,,,,,
