table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,189,91,98,29,27,38,32,32,25,33,58,52,38,41,28,11,25,10,11,14,11,16,30,15,14,4,146
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,189,92*,97*,31**,30**,39*,31**,31**,25**,31**,55*,52*,40*,42*,26**,9**,26**,11**,12**,14**,9**,17**,29**,16**,16**,3**,151
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Facebook,75,32,43,9,9,19,18,13,8,7,18,20,17,20,15,4,13,1,4,4,3,6,9,10,5,1,56
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Family and friends directly,22,12,10,4,4,3,4,5,4,2,5,9,5,3,2,1,2,2,2,5,-,*,2,3,2,1,19
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Twitter,21,15,7,7,7,7,1,3,2,1,7,10,2,2,2,4,2,1,2,1,-,2,5,1,2,-,20
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,BBC - TV,15,6,9,1,1,4,2,3,3,2,3,5,4,3,2,1,2,3,-,3,1,2,2,-,1,-,13
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,YouTube,14,10,4,1,1,1,3,2,3,4,4,2,3,4,-,-,-,-,5,3,-,2,2,1,-,-,14
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Search engine (e.g. Google),13,7,6,4,4,4,1,-,1,2,7,1,4,1,2,-,4,2,-,1,1,2,1,1,-,-,11
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Websites or apps that bring together news from different news providers,13,8,5,-,-,3,2,1,4,3,2,1,4,6,-,2,5,1,-,1,1,2,1,-,-,-,12
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,BBC - Online/ app,9,3,6,1,1,4,2,-,3,-,6,*,3,-,1,-,2,-,-,1,*,-,1,2,2,1,7
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,"Websites/apps of online news organisations like Buzzfeed, Huffington Post, Vice, etc.",9,2,7,5,5,3,1,-,-,1,1,5,-,4,-,-,3,1,-,2,-,-,-,-,3,-,9
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Instagram,8,5,2,2,1,3,3,-,-,-,6,1,1,-,1,-,1,1,2,-,-,-,3,-,-,-,7
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,189,92*,97*,31**,30**,39*,31**,31**,25**,31**,55*,52*,40*,42*,26**,9**,26**,11**,12**,14**,9**,17**,29**,16**,16**,3**,151
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,“Mid-market tabloids” such as MailOnline or Express ( online ),7,2,5,2,2,*,-,2,2,1,2,2,3,*,1,-,2,-,2,1,2,-,-,-,*,-,5
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Unspecified social media,7,4,3,1,1,1,2,1,1,1,5,2,-,-,2,1,1,-,-,-,1,1,1,-,-,-,4
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,BBC - Radio,5,3,2,-,-,1,1,1,1,1,2,1,2,-,1,-,-,-,1,2,*,-,-,-,1,-,4
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Commercial Radio,5,2,2,1,1,-,-,-,2,1,1,1,2,1,-,-,2,-,-,1,-,-,1,-,-,-,5
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,ITV,4,3,2,-,-,1,-,1,3,-,1,-,2,1,-,-,1,-,1,1,-,1,-,-,1,-,4
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Official scientists,4,4,-,-,-,-,-,2,1,1,-,2,2,-,-,-,-,-,1,1,*,-,-,-,2,-,4
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,WhatsApp group(s),4,2,1,2,2,-,1,*,-,-,1,1,1,-,-,-,*,-,1,-,-,-,1,2,-,-,4
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,People in your local area/neighbourhood,4,3,1,1,1,-,2,-,2,-,2,-,1,1,-,-,-,-,1,1,-,-,2,-,-,-,4
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,“Broadsheets” such as The Times or Guardian ( online ),3,3,1,-,-,-,2,-,-,2,2,1,-,-,-,-,1,-,1,-,-,-,2,-,-,-,3
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Community radio,3,1,2,1,1,-,1,-,2,-,1,-,2,1,-,-,2,-,1,-,-,-,-,-,-,-,3
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,"Smart speaker (e.g. Amazon Echo, Google Home)",3,3,-,-,-,-,1,-,1,1,1,1,1,-,-,-,-,-,1,2,-,-,-,-,-,-,3
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,189,92*,97*,31**,30**,39*,31**,31**,25**,31**,55*,52*,40*,42*,26**,9**,26**,11**,12**,14**,9**,17**,29**,16**,16**,3**,151
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Celebrity and/or social media influencer,3,3,-,3,3,-,-,-,-,-,1,-,3,-,-,-,-,-,-,-,-,-,3,-,-,-,3
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,Sky,3,2,1,-,-,-,-,2,1,-,-,2,2,-,-,-,-,-,-,1,-,-,-,1,2,-,3
Table 102,Q10e. Source of claims about the potential dangers of a Coronavirus vaccine reported as true,ONLINE Fieldwork: 11th to 13th September 2020,WhatsApp,3,2,*,1,1,-,1,*,-,-,1,*,1,-,-,-,*,-,1,-,-,-,1,1,-,-,3
