table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 104,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,1094,574,520,152,144,220,192,154,167,209,331,298,219,246,94,35,118,82,95,79,61,98,166,138,91,37,902,,,
Table 104,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,1108,565,543,173,164,217,201,163,153,201,319,312,236,241,93*,37*,129,95*,98*,82*,50*,93*,157,151,96*,29*,937,,,
Table 104,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 5th to 11th April 2021,NET: Top 2 box,282,158,123,48,44,76,53,48,29,28,83,71,69,58,20,10,32,26,24,18,12,25,57,38,15,4,245,,,
Table 104,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 5th to 11th April 2021,5 - Has me think twice,98,52,45,8,8,23,19,24,12,10,20,19,26,33,8,5,7,9,7,4,3,9,22,14,7,1,86,,,
Table 104,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 5th to 11th April 2021,4,184,106,78,40,36,53,33,24,16,18,64,52,43,25,12,5,25,16,17,13,9,16,35,23,8,4,159,,,
Table 104,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 5th to 11th April 2021,3,251,108,143,47,46,65,65,29,26,19,65,73,54,59,18,7,33,18,30,15,12,16,34,32,25,10,211,,,
Table 104,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 5th to 11th April 2021,2,185,97,88,42,41,31,29,33,25,25,52,54,40,39,18,5,23,21,11,15,7,13,16,39,12,6,154,,,
Table 104,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 5th to 11th April 2021,1 - Has not made me think twice,390,201,189,37,33,45,54,53,73,129,119,113,74,84,37,14,41,30,32,34,19,39,50,43,44,8,327,,,
Table 104,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 5th to 11th April 2021,NET: Bottom 2 box,575,298,277,78,74,76,83,86,98,154,171,167,114,123,55,19,64,51,43,49,25,51,65,82,56,14,481,,,
Table 104,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 5th to 11th April 2021,Mean,2.47,2.49,2.45,2.66,2.67,2.9,2.67,2.59,2.15,1.79,2.41,2.39,2.61,2.52,2.32,2.51,2.49,2.52,2.55,2.24,2.43,2.4,2.77,2.52,2.18,2.39,2.49,,,
Table 104,"Q10j. Thinking about the claims that have just been listed, which could be considered as false or misleading, have any of these claims made you think twice about the issue?",ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,1.35,1.38,1.32,1.18,1.17,1.28,1.3,1.44,1.34,1.23,1.33,1.29,1.38,1.41,1.35,1.47,1.27,1.35,1.31,1.3,1.34,1.42,1.46,1.31,1.3,1.12,1.36,,,
