table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,1063,539,524,142,128,213,180,166,148,214,296,302,231,234,100,50,117,83,88,85,69,81,134,125,93,38,856
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,1056,539,517,159,141,215,175,158,136,214,291,309,213,243,93*,47*,128,85*,92*,76*,60*,85*,133,131,91*,37*,867
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 11th to 13th September 2020,NET: Top 2 box,288,158,131,49,44,89,50,30,27,43,88,78,67,55,17,15,33,24,29,25,13,17,48,33,27,7,251
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 11th to 13th September 2020,5 - Has me think twice,79,39,40,12,12,24,16,6,6,15,24,23,17,15,4,4,9,7,9,1,6,5,11,10,10,2,67
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 11th to 13th September 2020,4,209,119,90,37,32,65,34,25,21,27,64,56,49,40,13,12,23,17,19,24,7,12,36,23,18,5,184
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 11th to 13th September 2020,3,238,106,132,37,32,46,48,40,33,34,61,65,47,65,16,11,36,23,24,11,21,21,21,26,22,8,193
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 11th to 13th September 2020,2,135,73,62,21,19,24,20,26,14,29,40,37,30,28,12,5,9,10,7,9,4,12,23,20,16,7,111
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 11th to 13th September 2020,1 - Has not made me think twice,395,203,193,52,46,55,56,61,63,109,103,129,70,94,47,17,50,27,33,30,21,35,42,53,25,15,312
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 11th to 13th September 2020,NET: Bottom 2 box,530,275,255,73,65,79,76,87,76,138,142,166,100,122,59,21,59,37,40,40,26,47,65,73,42,22,424
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 11th to 13th September 2020,Mean,2.47ij,2.48,2.47,2.59ij,2.61ij,2.90ah,2.63hi,2.29,2.22,2.12,2.55,2.37,2.6,2.39,2.09,2.60o,2.48,2.62o,2.62o,2.41,2.52,2.3,2.64o,2.36,2.67o,2.26,2.52ao
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,1.36,1.37,1.35,1.35,1.37,1.38,1.35,1.23,1.29,1.35,1.38,1.37,1.36,1.31,1.29,1.4,1.36,1.35,1.42,1.33,1.35,1.3,1.39,1.36,1.35,1.29,1.36
Table 94,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 19th to 21st June 2020,Unweighted base,765,399,366,135,122,140,131,89,102,168,252,208,136,169,,,,,,,,,,,,,
Table 94,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 19th to 21st June 2020,Weighted base,765,377,388,140,125,137,128,107*,94*,159,236,202,165,162,,,,,,,,,,,,,
Table 94,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 19th to 21st June 2020,NET: Top 2 box,194,90,104,43,41,40,40,19,22,29,58,42,61,34,,,,,,,,,,,,,
Table 94,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 19th to 21st June 2020,5 - Had me think twice,79,31,48,19,19,18,9,7,9,17,22,17,22,18,,,,,,,,,,,,,
Table 94,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 19th to 21st June 2020,4,115,59,56,25,22,22,31,13,13,13,36,24,39,16,,,,,,,,,,,,,
Table 94,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 19th to 21st June 2020,3,159,68,91,32,25,28,30,30,11,29,44,43,35,37,,,,,,,,,,,,,
Table 94,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 19th to 21st June 2020,2,91,44,47,15,13,18,9,19,12,18,26,23,17,24,,,,,,,,,,,,,
Table 94,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 19th to 21st June 2020,1 - Has not made me think twice,321,176,145,50,46,52,49,38,49,83,108,94,52,67,,,,,,,,,,,,,
Table 94,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 19th to 21st June 2020,NET: Bottom 2 box,412,219,192,65,59,69,58,58,61,101,134,117,69,92,,,,,,,,,,,,,
Table 94,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 19th to 21st June 2020,Mean,2.4,2.27,2.52,2.62,2.63,2.55,2.54,2.35,2.16,2.13,2.31,2.25,2.77,2.34,,,,,,,,,,,,,
Table 94,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 19th to 21st June 2020,Standard deviation Standard error,1.41,1.39,1.43,1.46,1.49,1.46,1.38,1.26,1.44,1.4,1.41,1.37,1.44,1.39,,,,,,,,,,,,,
Table 97,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 7th to 9th August 2020,Unweighted base,1037,503,534,130,115,180,175,181,147,224,310,271,213,243,,,,,,,,,,,,,
Table 97,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 7th to 9th August 2020,Weighted base,1043,513,530,154,135,187,167,164,149,222,303,281,218,241,,,,,,,,,,,,,
Table 97,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 7th to 9th August 2020,NET: Top 2 box,264,150,114,51,47,66,51,29,32,35,76,64,69,55,,,,,,,,,,,,,
Table 97,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 7th to 9th August 2020,5 - Has me think twice,86,41,46,12,10,23,20,11,10,11,14,24,29,19,,,,,,,,,,,,,
Table 97,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 7th to 9th August 2020,4,178,109,69,39,37,43,31,19,22,23,62,41,39,36,,,,,,,,,,,,,
Table 97,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 7th to 9th August 2020,3,292,126,166,46,41,56,50,51,42,47,62,87,68,75,,,,,,,,,,,,,
Table 97,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 7th to 9th August 2020,2,133,54,79,21,18,16,14,25,29,28,33,46,26,28,,,,,,,,,,,,,
Table 97,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 7th to 9th August 2020,1 - Has not made me think twice,353,183,170,36,28,48,51,59,47,112,132,84,55,82,,,,,,,,,,,,,
Table 97,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 7th to 9th August 2020,NET: Bottom 2 box,486,237,249,57,46,65,66,83,76,140,165,130,82,110,,,,,,,,,,,,,
Table 97,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 7th to 9th August 2020,Mean,2.53,2.55,2.51,2.8,2.87,2.87,2.72,2.38,2.47,2.07,2.32,2.56,2.82,2.51,,,,,,,,,,,,,
Table 97,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 7th to 9th August 2020,Standard deviation Standard error,1.33,1.37,1.29,1.27,1.25,1.36,1.38,1.25,1.26,1.27,1.33,1.28,1.35,1.31,,,,,,,,,,,,,
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,1111,524,587,144,132,190,194,174,171,238,349,311,184,267,88,54,104,96,98,88,52,101,163,136,92,39,932
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,1127,547,581,162,145,204,190,177,168,226,338,309,220,261,81*,55*,104*,98*,99*,81*,54*,109*,165,149,91*,40*,952
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 9th to 11th October 2020,NET: Top 2 box,296,133,162,41,40,75,57,50,29,44,95,75,59,67,27,9,27,17,20,24,14,25,61,39,23,8,245
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 9th to 11th October 2020,5 - Has me think twice,86,36,51,14,14,23,14,16,9,10,23,19,17,26,7,1,9,2,1,7,3,9,24,17,6,1,76
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 9th to 11th October 2020,4,209,97,112,28,27,51,43,33,20,34,72,55,42,41,21,8,18,15,18,17,12,16,37,23,18,7,170
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 9th to 11th October 2020,3,237,113,124,43,37,39,36,48,32,38,61,56,61,59,15,11,17,28,36,18,13,27,31,11,18,10,198
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 9th to 11th October 2020,2,150,61,89,20,18,22,28,22,30,27,44,42,19,46,8,9,16,13,11,10,6,13,19,27,15,4,133
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 9th to 11th October 2020,1 - Has not made me think twice,445,240,205,57,51,69,69,57,77,116,138,136,81,90,31,26,44,40,33,29,21,44,54,72,34,18,376
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 9th to 11th October 2020,NET: Bottom 2 box,595,301,295,77,68,91,97,79,107,144,182,178,100,135,38,35,60,53,43,39,26,57,73,99,49,22,509
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 9th to 11th October 2020,Mean,2.42,2.32,2.51,2.51,2.55,2.7,2.5,2.6,2.14,2.09,2.4,2.29,2.52,2.5,2.57,2.08,2.34,2.25,2.45,2.53,2.45,2.39,2.74,2.23,2.4,2.26,2.41
Table 98,Q10j. To what extent has any of this false or misleading information made you think twice about the issue?,ONLINE Fieldwork: 9th to 11th October 2020,Standard deviation Standard error,1.37,1.36,1.37,1.35,1.37,1.44,1.37,1.35,1.27,1.3,1.38,1.35,1.36,1.37,1.43,1.22,1.39,1.21,1.17,1.38,1.34,1.36,1.47,1.46,1.33,1.29,1.37
