table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,NET: Top 2 box,1277,594,683,189,161,217,198,179,190,303,352,377,247,301,103,50,128,87,103,95,64,136,181,176,115,37,1072,,,
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,5 - Very concerned,571,260,311,79,72,109,90,77,88,127,145,186,99,140,50,21,57,42,49,31,26,65,82,79,48,20,475,,,
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,4,706,334,372,109,88,108,108,102,103,176,207,191,148,161,54,29,71,45,54,64,38,72,99,98,67,17,598,,,
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,3,558,274,284,74,63,97,88,111,77,111,147,146,129,137,55,26,68,58,58,36,22,35,65,75,43,17,464,,,
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,2,144,83,61,16,15,28,23,35,15,27,38,37,29,39,5,4,23,14,13,11,10,14,16,16,11,7,122,,,
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,1 - Not at all concerned,119,75,45,10,10,7,16,35,20,30,34,31,21,34,11,3,12,11,10,9,4,13,15,20,9,2,102,,,
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,NET: Bottom 2 box,263,158,105,27,25,35,38,71,35,57,72,68,50,73,16,7,36,25,23,19,14,26,31,36,21,9,224,,,
Table 112,Q10k. To what extent are you concerned or not concerned about the following statements? - The amount of false or misleading information that others in society may be getting about Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Mean,3.70bh,3.61,3.79ab,3.80h,3.79h,3.81ah,3.72h,3.42,3.74h,3.73h,3.69,3.78a,3.65,3.66,3.72,3.74,3.59,3.54,3.65,3.65,3.73,3.82r,3.78r,3.7,3.74,3.73,3.69,,,
