table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 116,Q10o. Source of claims stating that the flu alone is killing more people than Coronavirus as true,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,145,74,71,16,16,39,25,20,24,21,37,37,38,33,18,3,12,13,11,9,9,14,18,19,10,9,109,,,
Table 116,Q10o. Source of claims stating that the flu alone is killing more people than Coronavirus as true,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,147,71*,75*,16**,16**,38*,28**,23**,22**,20**,34*,35*,44**,33**,16**,2**,12**,15**,11**,10**,6**,15**,18**,23**,11**,6**,118*,,,
Table 116,Q10o. Source of claims stating that the flu alone is killing more people than Coronavirus as true,ONLINE Fieldwork: 5th to 11th April 2021,Facebook,64,27,38,7,7,12,17,11,9,8,18,14,18,14,9,*,3,6,6,3,5,8,5,11,3,4,46,,,
Table 116,Q10o. Source of claims stating that the flu alone is killing more people than Coronavirus as true,ONLINE Fieldwork: 5th to 11th April 2021,Family and friends directly,23,11,13,6,6,4,7,4,1,2,8,4,7,5,1,-,1,4,3,-,2,2,2,5,3,1,20,,,
Table 116,Q10o. Source of claims stating that the flu alone is killing more people than Coronavirus as true,ONLINE Fieldwork: 5th to 11th April 2021,Unspecified social media,19,11,8,-,-,4,2,5,4,4,5,5,5,4,2,-,3,*,-,1,1,5,2,4,2,-,16,,,
Table 116,Q10o. Source of claims stating that the flu alone is killing more people than Coronavirus as true,ONLINE Fieldwork: 5th to 11th April 2021,Twitter,14,11,4,4,4,3,4,3,-,1,2,5,4,3,1,-,-,4,1,1,1,3,2,-,-,-,12,,,
Table 116,Q10o. Source of claims stating that the flu alone is killing more people than Coronavirus as true,ONLINE Fieldwork: 5th to 11th April 2021,Instagram,13,4,9,5,5,5,-,3,-,-,3,5,2,4,1,-,-,5,1,1,*,-,3,2,-,-,12,,,
Table 116,Q10o. Source of claims stating that the flu alone is killing more people than Coronavirus as true,ONLINE Fieldwork: 5th to 11th April 2021,Search engine (e.g. Google),10,10,1,2,2,2,1,4,1,2,2,2,2,4,-,-,1,2,2,-,1,2,1,1,-,1,9,,,
Table 116,Q10o. Source of claims stating that the flu alone is killing more people than Coronavirus as true,ONLINE Fieldwork: 5th to 11th April 2021,People in your local area/neighbourhood,9,8,2,2,2,1,2,3,1,1,-,2,4,3,1,-,-,4,1,-,1,-,-,2,1,-,7,,,
Table 116,Q10o. Source of claims stating that the flu alone is killing more people than Coronavirus as true,ONLINE Fieldwork: 5th to 11th April 2021,BBC - TV,7,5,2,-,-,3,1,-,2,1,2,2,4,-,1,-,-,-,-,3,-,-,1,-,1,1,5,,,
