table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 126,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each tier,ONLINE Fieldwork: 4th to 6th December 2020,Unweighted base,1751,894,857,242,215,306,262,293,257,391,478,525,289,459,-,89,205,178,201,148,-,206,293,278,153,-,1751,48,907,741
Table 126,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each tier,ONLINE Fieldwork: 4th to 6th December 2020,Weighted base,1768,863,905,258,225,299,263,300,248,399,475,498,351,444,-**,84*,233,172,184,151,-**,198,278,288,180,-**,1768,55*,906,757
Table 126,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each tier,ONLINE Fieldwork: 4th to 6th December 2020,NET: Agree,1149,524,625,150,131,189,169,190,168,283,316,308,238,287,-,53,152,119,126,107,-,127,174,171,122,-,1149,27,594,515
Table 126,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each tier,ONLINE Fieldwork: 4th to 6th December 2020,Strongly agree      (+2),388,170,218,32,29,71,54,58,61,111,107,99,85,96,-,18,46,44,47,41,-,41,54,58,38,-,388,12,185,187
Table 126,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each tier,ONLINE Fieldwork: 4th to 6th December 2020,Slightly agree      (+1),761,354,408,118,101,118,115,132,106,172,209,209,153,191,-,35,106,75,79,66,-,86,120,113,83,-,761,15,409,328
Table 126,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each tier,ONLINE Fieldwork: 4th to 6th December 2020,Neither agree nor    (0) disagree,321,171,149,69,61,60,47,59,36,51,79,103,58,80,-,14,37,27,29,22,-,39,52,63,37,-,321,24,153,125
Table 126,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each tier,ONLINE Fieldwork: 4th to 6th December 2020,Slightly disagree   (-1),209,106,102,26,21,36,29,35,35,48,57,68,36,48,-,11,31,15,21,17,-,22,36,41,14,-,209,1,122,76
Table 126,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each tier,ONLINE Fieldwork: 4th to 6th December 2020,Strongly disagree   (-2),90,62,28,13,13,14,18,16,10,18,23,19,19,28,-,6,13,10,9,6,-,11,16,14,7,-,90,4,37,41
Table 126,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each tier,ONLINE Fieldwork: 4th to 6th December 2020,NET: Disagree,299,168,131,39,34,50,47,51,45,66,80,87,55,76,-,17,44,25,29,23,-,33,52,55,21,-,299,4,159,117
Table 126,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each tier,ONLINE Fieldwork: 4th to 6th December 2020,Mean,0.65,0.54,0.76,0.5,0.5,0.65,0.6,0.6,0.7,0.77,0.67,0.6,0.71,0.63,-,0.58,0.61,0.74,0.73,0.78,-,0.63,0.58,0.56,0.73,-,0.65,0.56,0.64,0.72
Table 126,Q12. To what extent do you agree or disagree with the following statements? I am confident that I understand the different rules that apply in each tier,ONLINE Fieldwork: 4th to 6th December 2020,Standard deviation Standard error,1.1,1.15,1.04,1.01,1.03,1.11,1.14,1.09,1.11,1.12,1.1,1.07,1.11,1.13,-,1.16,1.11,1.12,1.1,1.09,-,1.09,1.11,1.11,1.01,-,1.1,1.07,1.07,1.11
