table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),Tier 1 (B),Tier 2 (C),Tier 3 (D)
Table 118,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,NET: Agree,643,299,344,120,106,132,95,91,82,123,181,193,132,135,46,41,72,52,64,42,25,58,92,84,50,16,556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Strongly agree      (+2),125,60,64,20,17,38,13,16,14,24,33,40,22,30,7,13,15,11,11,9,7,11,14,10,15,4,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Slightly agree      (+1),518,239,279,100,88,93,83,76,68,98,149,153,111,106,39,28,58,42,53,34,18,48,78,74,35,12,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Neither agree nor    (0) disagree,457,221,236,61,52,84,77,92,49,94,114,129,94,121,34,14,49,45,43,34,35,32,58,56,41,16,372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Slightly disagree   (-1),493,240,253,66,58,74,78,87,79,109,138,136,107,112,43,15,53,32,31,42,21,58,63,75,41,19,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Strongly disagree   (-2),505,265,240,43,33,60,74,90,92,145,137,134,93,142,53,14,57,42,44,33,19,48,64,72,47,12,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,NET: Disagree,999,506,493,109,91,134,153,178,171,254,275,270,200,254,95,29,111,74,76,75,40,107,127,147,89,31,832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Mean,-0.35i,-0.4,-0.3,-0.04a,-0.01a,-0.07a,-0.37,-0.45,-0.55,-0.54,-0.35,-0.29,-0.32,-0.45,-0.54,0.13a,-0.35,-0.3,-0.24o,-0.37,-0.27,-0.43,-0.31,-0.43,-0.4,-0.39,-0.34o,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 118,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,2119,1016,1103,261,229,328,340,383,329,478,554,596,460,509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,2119,1036,1083,292,253,354,328,364,305,475,576,597,430,515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,NET: Agree,505,243,261,62,57,99,87,79,75,102,149,153,92,111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Strongly agree      (+2),88,38,50,12,11,15,16,13,12,18,18,32,15,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Slightly agree      (+1),417,205,212,49,46,84,71,66,63,83,131,120,77,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Neither agree nor    (0) disagree,410,203,207,73,59,78,80,60,45,74,95,109,104,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Slightly disagree   (-1),580,282,297,95,85,88,79,105,86,127,172,156,107,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Strongly disagree   (-2),624,308,317,62,52,89,82,120,99,172,160,180,127,158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,NET: Disagree,1204,590,614,157,137,177,161,225,185,299,332,336,234,302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Mean,,-0.59,-0.57,,,,,-0.69,-0.65,-0.74,-0.57,-0.55,-0.59,-0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 102,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,1.21,1.21,1.22,1.13,1.13,1.22,1.22,1.21,1.24,1.23,1.2,1.26,1.18,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 309,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Unweighted base,2093,1038,1055,264,232,340,332,333,308,516,585,546,430,532,195,78,247,150,170,165,105,217,289,243,173,61,,341,911,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 309,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Weighted base,2093,1023,1070,289,247,349,324,360,301,469,569,590,425,509,175,83*,231,171,183,150,99*,197,276,286,179,63*,,330,849,175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 309,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,NET: Agree,478,224,254,73,62,98,89,74,53,91,135,142,99,102,33,26,73,33,40,34,15,30,81,59,39,15,,79,209,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 309,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Strongly agree      (+2),91,48,42,16,15,15,18,18,5,19,23,22,23,23,5,2,11,6,12,5,3,7,17,16,5,2,,12,43,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 309,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Slightly agree      (+1),387,176,211,57,47,83,71,56,48,72,112,120,76,79,27,24,62,27,29,29,13,22,64,44,34,13,,67,166,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 309,Q12. To what extent do you agree or disagree with the following statements? I am confused about what I should be doing in response to Coronavirus,ONLINE Fieldwork: 22nd to 24th May 2020,Neither agree nor    (0) disagree,418,206,211,68,61,92,56,68,60,73,87,120,100,111,28,14,50,42,43,39,25,42,38,53,33,12,,73,178,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
