table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 11th to 13th September 2020,Unweighted base,2098,1007,1091,261,230,362,326,369,329,451,580,582,460,476,190,87,212,173,181,164,113,190,269,272,182,65,1730
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 11th to 13th September 2020,Weighted base,2098,1026,1072,289,249,350,325,361,302,471,570,592,426,510,175,83*,232,171,183,151,100*,197,277,287,179,63*,1760
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 11th to 13th September 2020,NET: Agree,1425,745,681,185,154,195,202,232,227,384,420,411,270,325,125,58,154,103,114,96,70,142,180,208,130,45,1185
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 11th to 13th September 2020,Strongly agree      (+2),902,483,419,100,78,97,106,158,156,285,267,258,167,210,82,39,98,72,76,63,49,89,95,124,87,29,742
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 11th to 13th September 2020,Slightly agree      (+1),523,262,261,85,76,97,97,75,71,99,152,153,104,114,42,19,57,31,38,33,21,53,85,84,44,16,444
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 11th to 13th September 2020,Neither agree nor    (0) disagree,308,129,179,47,40,81,50,56,28,47,73,85,72,79,28,14,36,30,34,25,8,21,43,40,22,8,264
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 11th to 13th September 2020,Slightly disagree   (-1),140,57,83,25,24,30,27,22,22,15,31,38,37,35,7,7,14,12,16,15,4,12,19,18,13,3,126
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 11th to 13th September 2020,Strongly disagree   (-2),224,95,129,33,31,45,46,50,26,24,47,58,47,72,15,5,28,26,19,15,18,22,35,21,14,6,185
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 11th to 13th September 2020,NET: Disagree,364,152,212,57,55,75,73,72,48,40,78,96,84,106,22,12,42,38,35,30,22,34,54,39,27,9,311
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 11th to 13th September 2020,Mean,0.83ce,0.96ac,0.71,0.67e,0.59,0.49,0.58,0.74f,1.03ad,1.28ad,0.98am,0.87,0.72,0.7,0.97rw,0.97,0.78,0.65,0.75,0.76,0.8,0.89,0.67,0.94rw,0.98rw,0.94,0.81
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 11th to 13th September 2020,Standard deviation Standard error,1.33,1.28,1.37,1.33,1.35,1.33,1.38,1.42,1.29,1.11,1.25,1.31,1.35,1.42,1.26,1.22,1.36,1.46,1.35,1.35,1.52,1.34,1.34,1.22,1.27,1.3,1.33
Table 122,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 6th to 8th November 2020,Unweighted base,2101,1040,1061,258,227,336,346,377,310,474,646,571,407,477,179,82,217,160,173,169,103,204,295,299,158,62,1757
Table 122,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 6th to 8th November 2020,Weighted base,2101,1027,1074,290,251,351,326,361,303,471,572,592,426,511,175,84*,232,171,183,151,100*,198,277,287,179,63*,1763
Table 122,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 6th to 8th November 2020,NET: Agree,1303,694,608,168,141,190,181,218,200,347,387,376,249,291,114,45,138,109,111,97,59,122,169,175,128,37,1093
Table 122,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 6th to 8th November 2020,Strongly agree      (+2),772,441,332,82,65,95,99,139,115,243,238,214,141,179,71,20,86,72,64,54,35,78,88,101,76,26,640
Table 122,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 6th to 8th November 2020,Slightly agree      (+1),531,254,277,86,75,95,82,79,84,104,149,162,108,111,43,25,53,37,46,43,23,43,81,74,52,11,454
Table 122,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 6th to 8th November 2020,Neither agree nor    (0) disagree,386,161,224,61,56,75,65,68,63,54,84,100,89,113,32,14,45,29,32,28,22,40,59,52,24,9,323
Table 122,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 6th to 8th November 2020,Slightly disagree   (-1),151,55,96,26,22,31,23,28,21,23,41,50,30,31,10,10,13,11,13,6,13,14,21,26,12,2,127
Table 122,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 6th to 8th November 2020,Strongly disagree   (-2),262,116,145,36,32,55,56,48,19,48,60,67,58,76,19,15,36,22,28,19,7,22,29,34,16,15,220
Table 122,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 6th to 8th November 2020,NET: Disagree,413,172,241,61,54,86,80,75,40,71,101,117,88,107,29,25,49,34,41,25,20,36,50,60,28,17,347
Table 122,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 6th to 8th November 2020,Mean,0.67,0.82,0.52,0.53,0.48,0.41,0.44,0.65,0.85,1,0.81,0.68,0.57,0.56,0.78,0.28,0.6,0.73,0.58,0.71,0.68,0.72,0.65,0.64,0.9,0.48,0.66
Table 122,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 6th to 8th November 2020,Standard deviation Standard error,1.36,1.34,1.36,1.32,1.31,1.38,1.43,1.39,1.19,1.32,1.33,1.34,1.37,1.4,1.33,1.43,1.42,1.4,1.42,1.33,1.27,1.34,1.28,1.35,1.27,1.63,1.36
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 9th to 11th October 2020,Unweighted base,2189,1062,1127,268,237,337,362,371,330,521,627,625,385,552,196,87,242,172,200,169,101,199,293,277,187,66,1826
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 9th to 11th October 2020,Weighted base,2189,1070,1119,302,261,365,339,376,315,491,595,617,444,532,183,87*,242,178,191,157,104*,206,289,299,187,66*,1837
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 9th to 11th October 2020,NET: Agree,1367,739,628,192,163,197,178,196,211,393,403,408,260,297,115,49,147,105,110,99,61,136,180,201,123,40,1151
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 9th to 11th October 2020,Strongly agree      (+2),891,497,395,109,89,96,105,128,158,295,269,272,164,187,77,33,101,67,65,57,37,94,105,142,83,30,747
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 9th to 11th October 2020,Slightly agree      (+1),476,242,234,83,74,101,72,68,54,98,134,136,96,110,38,16,46,38,45,43,24,42,75,59,41,9,405
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 9th to 11th October 2020,Neither agree nor    (0) disagree,422,195,227,60,54,85,80,94,53,50,88,112,96,126,34,19,43,44,45,29,26,33,50,50,40,10,353
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 9th to 11th October 2020,Slightly disagree   (-1),140,49,92,20,19,28,30,17,23,23,36,32,36,35,13,7,19,10,12,9,11,8,18,16,10,5,111
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 9th to 11th October 2020,Strongly disagree   (-2),260,88,172,29,24,55,52,69,29,26,68,65,52,74,21,12,33,19,24,19,6,28,41,32,13,11,222
Table 120,Q12. To what extent do you agree or disagree with the following statements? I would agree to be vaccinated against the Coronavirus if there was a vaccine approved by the,ONLINE Fieldwork: 9th to 11th October 2020,NET: Disagree,400,137,263,50,43,83,82,86,52,48,104,98,88,110,34,19,52,29,36,29,17,37,59,48,24,16,333
