table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 9th to 13th April 2020,NET: Closely,2073,1001,1073,282,247,340,320,357,299,475,569,588,420,496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 9th to 13th April 2020,Very closely        (+2),1766,819,947,225,192,274,276,305,253,434,485,501,352,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 9th to 13th April 2020,Fairly closely      (+1),307,182,125,57,54,66,44,53,46,41,85,87,69,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 9th to 13th April 2020,Not very closely    (-1),37,26,11,8,8,9,8,5,5,*,8,9,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 9th to 13th April 2020,Not at all closely  (-2),17,14,4,3,3,6,2,3,1,1,1,3,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 9th to 13th April 2020,NET: Not closely,54,39,14,11,11,15,10,9,7,2,9,12,12,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 9th to 13th April 2020,Mean,1.77,1.7,1.84,1.68,1.64,1.67,1.77,1.78,1.78,1.9,1.8,1.79,1.75,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 93,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.61,0.72,0.48,0.72,0.76,0.76,0.62,0.61,0.58,0.36,0.52,0.57,0.63,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 82,Q13. How closely followed official advice in last week: Only going outside your home for essential shopping and exercise,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
