table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),NET: England (A)
Table 156,Q13. How closely followed official advice in last week: Only meeting outside with up to four people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Unweighted base,92,49,43,8,8,17,12,25,12,18,22,24,19,27,92,-,-,-,-,-,-,-,-,-,-,-,-
Table 156,Q13. How closely followed official advice in last week: Only meeting outside with up to four people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Weighted base,89*,47*,42*,6**,6**,16**,14**,27**,11**,15**,20**,23**,21**,25**,89*,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**,-**
Table 156,Q13. How closely followed official advice in last week: Only meeting outside with up to four people from two households,ONLINE Fieldwork: 5th to 11th April 2021,NET: Closely,83,44,39,5,5,12,14,27,10,15,19,21,20,23,83,-,-,-,-,-,-,-,-,-,-,-,-
Table 156,Q13. How closely followed official advice in last week: Only meeting outside with up to four people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Very closely        (+2),67,31,35,3,3,9,13,21,8,13,14,18,15,20,67,-,-,-,-,-,-,-,-,-,-,-,-
Table 156,Q13. How closely followed official advice in last week: Only meeting outside with up to four people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Fairly closely      (+1),16,13,3,1,1,3,1,6,2,2,5,3,5,3,16,-,-,-,-,-,-,-,-,-,-,-,-
Table 156,Q13. How closely followed official advice in last week: Only meeting outside with up to four people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Not very closely    (-1),4,2,2,1,1,2,-,-,1,-,-,1,1,2,4,-,-,-,-,-,-,-,-,-,-,-,-
Table 156,Q13. How closely followed official advice in last week: Only meeting outside with up to four people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Not at all closely  (-2),2,1,1,1,1,1,-,*,-,-,1,1,*,-,2,-,-,-,-,-,-,-,-,-,-,-,-
Table 156,Q13. How closely followed official advice in last week: Only meeting outside with up to four people from two households,ONLINE Fieldwork: 5th to 11th April 2021,NET: Not closely,6,3,3,1,1,3,-,*,1,-,1,2,1,2,6,-,-,-,-,-,-,-,-,-,-,-,-
Table 156,Q13. How closely followed official advice in last week: Only meeting outside with up to four people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Mean,1.59,1.5,1.7,0.95,0.95,1.1,1.9,1.72,1.58,1.84,1.55,1.61,1.54,1.66,1.59,-,-,-,-,-,-,-,-,-,-,-,-
Table 156,Q13. How closely followed official advice in last week: Only meeting outside with up to four people from two households,ONLINE Fieldwork: 5th to 11th April 2021,Standard deviation Standard error,0.9,0.92,0.87,1.59,1.59,1.35,0.3,0.64,0.94,0.37,0.95,0.98,0.91,0.81,0.9,-,-,-,-,-,-,-,-,-,-,-,-
