table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Eastern (v),London (w),South East (x),South West (y),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s)
Table 108,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,Unweighted base,1769,849,920,222,197,282,273,311,279,402,469,501,388,411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,Weighted base,1778,867,911,253,222,304,259,300,259,403,490,504,368,416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,NET: Closely,1661,801,860,232,202,274,237,276,251,391,460,469,346,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,Very closely        (+2),1219,573,646,157,135,176,163,204,206,314,352,347,232,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,Fairly closely      (+1),442,228,215,75,67,99,74,72,46,76,108,122,114,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,Not very closely    (-1),71,40,31,15,15,20,14,15,4,3,19,19,18,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,Not at all closely  (-2),46,26,20,5,5,9,9,9,4,9,11,16,5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,NET: Not closely,117,66,51,21,21,29,23,24,8,12,30,35,23,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,Mean,1.53,1.48,1.58,1.44,1.4,1.36,1.42,1.49,1.72,1.7,1.57,1.52,1.49,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 108,Q13. How closely followed official advice in last week: Only meeting up with one other person at a time from outside your household in public and staying 2 metres apart,ONLINE Fieldwork: 29th to 31st May 2020,Standard deviation Standard error,0.89,0.94,0.84,0.93,0.97,1,0.99,0.96,0.69,0.72,0.87,0.92,0.84,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
