table,question,date,response,Total (a),Male (b),Female (c),16-24 (d),18-24 (e),25-34 (f),35-44 (g),45-54 (h),55-64 (i),65+ (j),AB (k),C1 (l),C2 (m),DE (n),Scotland (o),North East (p),North West (q),Yorkshire & Humberside (r),West Midlands (s),East Midlands (t),Wales (u),Eastern (v),London (w),South East (x),South West (y),Northern Ireland (z),Public (A),Private (B),Opinion Influencer (C),Broadcasters (b),NonBBC broadcasters (c),BBC services (d),Newspapers (e),Officials (f),Social Media (g),YouTube (h),Facebook (i),WhatsApp (j),Closed groups (k),Other online news sources (l),Family/ friends/ local ppl (m),Traditional media (n),Nonmainstream media (o),BBC TV (p),BBC Online (q),Direct from Govt (r),Yes (s),No (t),Drink more water (b),Gargle salt water (c),Eat warm food/ drink (d),Put clothes in sun (e),Natural remedies (f),Drink more lemon juice (g),Inhale steam (h),Theories linking Coronavirus to 5G technology (i),What's true/ false (j),Avoid news (k),Mainstream media exaggerating (l),Positive sides of society (m),Confusion (n),Wash hands 20 secs (o),Outside for essentials (p),Social distancing (q),Yes (r),No (s),18-24 (d),25-34 (e),35-44 (f),45-54 (g),55-64 (h),65+ (i)
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 9th to 13th April 2020,Unweighted base,2127,1021,1106,267,236,343,347,383,319,468,606,513,453,555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 9th to 13th April 2020,Weighted base,2127,1040,1087,294,258,355,329,366,306,477,578,600,432,517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 9th to 13th April 2020,NET: Closely,2090,1015,1075,284,248,343,321,363,303,477,573,588,426,503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 9th to 13th April 2020,Very closely        (+2),1777,838,939,219,186,265,263,305,276,449,500,494,361,422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 9th to 13th April 2020,Fairly closely      (+1),313,178,136,65,62,78,59,58,27,28,74,94,65,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 9th to 13th April 2020,Not very closely    (-1),27,17,10,8,8,8,6,2,3,-,4,10,5,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 9th to 13th April 2020,Not at all closely  (-2),10,8,2,2,2,4,2,1,1,-,1,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 9th to 13th April 2020,NET: Not closely,37,25,12,10,10,12,8,3,3,-,5,12,6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 9th to 13th April 2020,Mean,1.8,1.75,1.84,1.67,1.64,1.66,1.74,1.82,1.88,1.94,1.85,1.78,1.81,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 94,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 9th to 13th April 2020,Standard deviation Standard error,0.54,0.61,0.46,0.69,0.72,0.71,0.61,0.46,0.43,0.24,0.44,0.55,0.51,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 17th to 19th April 2020,Unweighted base,2136,1106,1030,299,268,338,352,370,311,466,629,639,307,561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 17th to 19th April 2020,Weighted base,2136,1045,1091,295,268,357,331,367,308,479,581,602,434,519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 17th to 19th April 2020,NET: Closely,2086,1009,1078,287,260,341,317,358,305,478,572,590,418,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 17th to 19th April 2020,Very closely        (+2),1736,802,934,217,191,253,253,289,280,443,473,492,324,447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 17th to 19th April 2020,Fairly closely      (+1),351,207,144,70,69,88,65,69,25,35,99,98,94,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 17th to 19th April 2020,Not very closely    (-1),37,24,13,7,7,13,8,9,1,-,8,10,10,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 17th to 19th April 2020,Not at all closely  (-2),12,12,1,1,1,3,6,1,2,1,2,2,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 17th to 19th April 2020,NET: Not closely,50,36,14,8,8,16,14,9,2,1,10,12,16,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 17th to 19th April 2020,Mean,1.76,1.69,1.83,1.68,1.65,1.61,1.66,1.73,1.89,1.92,1.78,1.77,1.66,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 83,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 17th to 19th April 2020,Standard deviation Standard error,0.6,0.7,0.47,0.63,0.65,0.74,0.76,0.6,0.42,0.3,0.54,0.56,0.72,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 15th to 17th May 2020,Unweighted base,2105,1038,1067,258,227,355,349,371,307,465,608,570,407,520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 15th to 17th May 2020,Weighted base,2105,1029,1076,290,248,351,326,362,303,472,573,594,427,512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 15th to 17th May 2020,NET: Closely,2049,993,1056,283,241,344,313,347,296,466,565,578,413,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 15th to 17th May 2020,Very closely        (+2),1618,749,869,207,171,239,246,273,245,408,441,471,313,393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 15th to 17th May 2020,Fairly closely      (+1),431,244,188,76,70,105,67,73,51,59,124,107,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 15th to 17th May 2020,Not very closely    (-1),43,27,16,6,6,5,11,14,5,2,6,13,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 15th to 17th May 2020,Not at all closely  (-2),13,9,4,1,1,2,2,1,2,4,1,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 92,Q13. How closely followed official advice in last week: Practised social distancing,ONLINE Fieldwork: 15th to 17th May 2020,NET: Not closely,56,36,19,7,7,7,13,15,7,6,7,16,14,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
